Team,Player,Position,Total Points,Points Average,Value,On start %,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J
Atlético,Oblak,PT,48,3.4,5.410.000,100,"['1', '7', '2', '9', '1']",1,7,2,9,1,4.0
Atlético,Lecomte,PT,0,0,280.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Atlético,José Giménez,DF,53,5.3,5.160.000,71,"['-', '4', '4', '7', '7']",0,4,4,7,7,4.4
Atlético,Savic,DF,56,4.7,5.070.000,86,"['2', '8', '2', '-', '3']",2,8,2,0,3,3.0
Atlético,Mario Hermoso,DF,43,3.3,3.100.000,86,"['3', '5', '2', '6', '2']",3,5,2,6,2,3.6
Atlético,Trippier,DF,39,3.3,4.370.000,64,"['3', '2', '2', '-', '-']",3,2,2,0,0,1.4
Atlético,Felipe,DF,33,4.7,1.680.000,36,"['7', '-', '-', '15', '2']",7,0,0,15,2,4.8
Atlético,Vrsaljko,DF,27,5.4,1.470.000,7,"['-', '-', '12', '6', '-']",0,0,12,6,0,3.6
Atlético,Renan Lodi,DF,22,2,1.440.000,21,"['0', '-', '-', '-', '-']",0,0,0,0,0,0.0
Atlético,Ferreira Carrasco,MD,84,6,10.240.000,86,"['2', '17', '2', '11', '11']",2,17,2,11,11,8.6
Atlético,Rodrigo de Paul,MD,69,5.3,8.810.000,57,"['4', '10', '4', '2', '8']",4,10,4,2,8,5.6
Atlético,Kondogbia,MD,42,4.7,3.770.000,29,"['-', '-', '-', '3', '14']",0,0,0,3,14,3.4
Atlético,Lemar,MD,53,6.6,7.430.000,50,"['-', '-', '-', '5', '7']",0,0,0,5,7,2.4
Atlético,Marcos Llorente,MD,44,4.4,9.880.000,71,"['-', '-', '1', '4', '-']",0,0,1,4,0,1.0
Atlético,Koke,MD,39,3.5,6.820.000,79,"['2', '4', '1', '6', '3']",2,4,1,6,3,3.2
Atlético,Héctor Herrera,MD,29,4.1,960.000,14,"['6', '2', '1', '-', '-']",6,2,1,0,0,1.8
Atlético,Carlos Martín,MD,3,3,390.000,0,"['-', '-', '-', '3', '-']",0,0,0,3,0,0.6
Atlético,Luis Suárez,DL,81,5.8,17.550.000,71,"['1', '0', '10', '2', '1']",1,0,10,2,1,2.8
Atlético,Correa,DL,78,5.6,9.600.000,64,"['2', '8', '7', '3', '10']",2,8,7,3,10,6.0
Atlético,Griezmann,DL,76,5.4,16.080.000,93,"['10', '10', '7', '3', '15']",10,10,7,3,15,9.0
Atlético,Matheus Cunha,DL,46,4.6,3.140.000,0,"['9', '5', '-', '4', '14']",9,5,0,4,14,6.4
Atlético,João Félix,DL,32,4.6,8.880.000,21,"['6', '9', '2', '-', '-']",6,9,2,0,0,3.4
Atlético,Saponjic,DL,0,0,270.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
