Team,Player,Position,Total Points,Points Average,Value,On start %,Last 5 matchs points,J28,J29,J30,J31,J32,Avg ultimas 5 J
Real Madrid,Courtois,PT,176,5.2,6.140.000,100,"['5', '0', '3', '2', '12']",5,0,3,2,12,4.4
Real Madrid,Lunin,PT,0,0,350.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Real Madrid,Éder Militão,DF,178,5.7,6.380.000,91,"['8', '4', '5', '6', '-']",8,4,5,6,0,4.6
Real Madrid,Alaba,DF,158,5.3,6.780.000,88,"['6', '2', '12', '-', '-']",6,2,12,0,0,4.0
Real Madrid,Lucas Vázquez,DF,124,4.8,3.840.000,50,"['15', '4', '13', '5', '4']",15,4,13,5,4,8.2
Real Madrid,Carvajal,DF,112,5.1,4.520.000,47,"['-', '11', '6', '-', '-']",0,11,6,0,0,3.4
Real Madrid,Nacho Fernández,DF,104,4.3,2.530.000,38,"['-', '11', '3', '7', '-']",0,11,3,7,0,4.2
Real Madrid,Ferland Mendy,DF,94,4.9,4.190.000,53,"['-', '-', '-', '5', '-']",0,0,0,5,0,1.0
Real Madrid,Marcelo,DF,53,4.8,1.650.000,15,"['8', '-', '-', '-', '9']",8,0,0,0,9,3.4
Real Madrid,Miguel Gutiérrez,DF,18,6,540.000,9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Real Madrid,Jesús Vallejo,DF,9,4.5,650.000,3,"['-', '-', '-', '-', '7']",0,0,0,0,7,1.4
Real Madrid,Sergio Santos,DF,0,0,280.000,0,"['-', '-', '-', '-', '3']",0,0,0,0,3,0.6
Real Madrid,Mario Gila,DF,0,0,410.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Real Madrid,Casemiro,MD,195,0,12.510.000,0,"['11', '-', '-', '-', '5']",11,0,0,0,5,3.2
Real Madrid,Kroos,MD,175,6.7,12.850.000,82,"['-', '7', '4', '10', '2']",0,7,4,10,2,4.6
Real Madrid,Modric,MD,141,7.3,10.970.000,65,"['-', '3', '-', '-', '7']",0,3,0,0,7,2.0
Real Madrid,Fede Valverde,MD,110,5.6,7.390.000,68,"['6', '5', '4', '7', '-']",6,5,4,7,0,4.4
Real Madrid,Camavinga,MD,108,4.1,6.380.000,50,"['5', '2', '9', '10', '10']",5,2,9,10,10,7.2
Real Madrid,Isco,MD,53,4.7,1.240.000,32,"['-', '-', '6', '-', '4']",0,0,6,0,4,2.0
Real Madrid,Dani Ceballos,MD,27,4.1,2.720.000,9,"['4', '-', '4', '-', '7']",4,0,4,0,7,3.0
Real Madrid,Antonio Blanco,MD,4,3,350.000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Real Madrid,Sergio Arribas,MD,0,4,270.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Real Madrid,Benzema,DL,312,0,19.730.000,0,"['6', '12', '2', '17', '10']",6,12,2,17,10,9.4
Real Madrid,Vinícius Júnior,DL,237,10.4,17.960.000,85,"['11', '1', '-', '3', '5']",11,1,0,3,5,4.0
Real Madrid,Asensio,DL,161,7.4,8.570.000,82,"['3', '3', '11', '-', '8']",3,3,11,0,8,5.0
Real Madrid,Rodrygo,DL,114,5.6,6.980.000,50,"['8', '14', '7', '-', '16']",8,14,7,0,16,9.0
Real Madrid,Eden Hazard,DL,72,3.9,2.240.000,38,"['-', '-', '-', '7', '-']",0,0,0,7,0,1.4
Real Madrid,Jovic,DL,38,4.2,710.000,21,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Real Madrid,Mariano Díaz,DL,21,2.9,920.000,0,"['-', '-', '-', '5', '-1']",0,0,0,5,-1,0.8
Real Madrid,Bale,DL,20,3,1.930.000,6,"['4', '-', '-', '-', '-']",4,0,0,0,0,0.8
Real Madrid,Peter González,DL,4,4,510.000,12,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4
Real Madrid,Marvin,DL,0,2,220.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
