Team,Player,Position,Total Points,Points Average,Value,On start %,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J
Valencia,Cillessen,PT,33,3.7,2.770.000,60,"['2', '6', '1', '7', '4']",2,6,1,7,4,4.0
Valencia,Mamardashvili,PT,26,4.3,1.890.000,40,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Valencia,Jaume Doménech,PT,0,0,280.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Valencia,Cristian Rivero,PT,0,0,210.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Valencia,Daniel Wass,DF,62,4.1,6.160.000,100,"['-2', '4', '1', '3', '2']",-2,4,1,3,2,1.6
Valencia,Gabriel Paulista,DF,58,4.8,3.990.000,80,"['9', '3', '-', '-', '-']",9,3,0,0,0,2.4
Valencia,Gayà,DF,57,5.2,6.080.000,73,"['0', '5', '7', '5', '2']",0,5,7,5,2,3.8
Valencia,Omar Alderete,DF,56,4,3.530.000,87,"['-1', '4', '4', '4', '6']",-1,4,4,4,6,3.4
Valencia,Foulquier,DF,45,3.2,1.930.000,87,"['1', '11', '2', '5', '2']",1,11,2,5,2,4.2
Valencia,Diakhaby,DF,32,2.5,1.360.000,33,"['1', '11', '5', '-', '5']",1,11,5,0,5,4.4
Valencia,Thierry Correia,DF,27,4.5,2.780.000,33,"['3', '4', '1', '4', '4']",3,4,1,4,4,3.2
Valencia,Guillamón,DF,32,2.7,2.160.000,80,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6
Valencia,Lato,DF,10,2.5,530.000,20,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Valencia,Jesús Vázquez,DF,4,2,310.000,7,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4
Valencia,Piccini,DF,2,2,380.000,0,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4
Valencia,Carlos Soler,MD,70,6.4,12.640.000,60,"['-', '8', '2', '5', '9']",0,8,2,5,9,4.8
Valencia,Racic,MD,29,2.9,1.310.000,33,"['2', '5', '2', '3', '-']",2,5,2,3,0,2.4
Valencia,Yunus Musah,MD,23,2.1,910.000,13,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8
Valencia,Denis Cheryshev,MD,23,3.8,1.600.000,27,"['1', '-', '2', '1', '1']",1,0,2,1,1,1.0
Valencia,Hélder Costa,MD,20,2.2,1.300.000,33,"['2', '0', '2', '2', '5']",2,0,2,2,5,2.2
Valencia,Jason,MD,13,2.6,480.000,7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Valencia,Koba,MD,10,2.5,350.000,0,"['-', '-', '2', '2', '2']",0,0,2,2,2,1.2
Valencia,Álex Blanco,MD,0,0,210.000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
Valencia,Guedes,DL,91,6.1,13.500.000,100,"['0', '1', '11', '2', '3']",0,1,11,2,3,3.4
Valencia,Hugo Duro,DL,57,4.4,3.760.000,60,"['3', '2', '17', '2', '2']",3,2,17,2,2,5.2
Valencia,Maxi Gómez,DL,42,3.8,7.100.000,60,"['-', '-', '-', '2', '4']",0,0,0,2,4,1.2
Valencia,Marcos André,DL,40,3.1,2.920.000,20,"['2', '4', '2', '2', '2']",2,4,2,2,2,2.4
Valencia,Manu Vallejo,DL,19,2.4,800.000,0,"['3', '-', '2', '-', '-']",3,0,2,0,0,1.0
