Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Club Atlético de Madrid,Oblak,PT,13,100,11,0,47,3.4,"['1', '7', '2', '9', '0']",1,7,2,9,0,3.8,5.410.000
Club Atlético de Madrid,Lecomte,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290.000
Club Atlético de Madrid,José Giménez,DF,9,71,0,0,53,5.3,"['-', '4', '4', '7', '7']",0,4,4,7,7,4.4,5.360.000
Club Atlético de Madrid,Savic,DF,11,86,0,0,56,4.7,"['2', '8', '2', '-', '3']",2,8,2,0,3,3.0,5.070.000
Club Atlético de Madrid,Mario Hermoso,DF,12,86,0,1,43,3.3,"['3', '5', '2', '6', '2']",3,5,2,6,2,3.6,3.210.000
Club Atlético de Madrid,Trippier,DF,12,64,0,0,39,3.3,"['3', '2', '2', '-', '-']",3,2,2,0,0,1.4,4.400.000
Club Atlético de Madrid,Felipe,DF,6,36,1,1,33,4.7,"['7', '-', '-', '15', '2']",7,0,0,15,2,4.8,1.740.000
Club Atlético de Madrid,Vrsaljko,DF,5,7,1,1,27,5.4,"['-', '-', '12', '6', '-']",0,0,12,6,0,3.6,1.480.000
Club Atlético de Madrid,Renan Lodi,DF,11,21,0,0,22,2,"['0', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.450.000
Club Atlético de Madrid,Rodrigo de Paul,MD,12,57,0,1,69,5.3,"['4', '10', '4', '2', '8']",4,10,4,2,8,5.6,8.810.000
Club Atlético de Madrid,Kondogbia,MD,9,29,0,0,42,4.7,"['-', '-', '-', '3', '14']",0,0,0,3,14,3.4,3.770.000
Club Atlético de Madrid,Lemar,MD,7,50,2,2,53,6.6,"['-', '-', '-', '5', '7']",0,0,0,5,7,2.4,7.430.000
Club Atlético de Madrid,Marcos Llorente,MD,9,71,0,0,44,4.4,"['-', '-', '1', '4', '-']",0,0,1,4,0,1.0,10.000.000
Club Atlético de Madrid,Koke,MD,10,79,0,0,39,3.5,"['2', '4', '1', '6', '3']",2,4,1,6,3,3.2,7.000.000
Club Atlético de Madrid,Héctor Herrera,MD,7,14,0,0,29,4.1,"['6', '2', '1', '-', '-']",6,2,1,0,0,1.8,990.000
Club Atlético de Madrid,Carlos Martín,MD,1,0,0,0,3,3,"['-', '-', '-', '3', '-']",0,0,0,3,0,0.6,390.000
Club Atlético de Madrid,Luis Suárez,DL,13,71,7,1,81,5.8,"['1', '0', '10', '2', '1']",1,0,10,2,1,2.8,17.550.000
Club Atlético de Madrid,Correa,DL,13,64,3,3,78,5.6,"['2', '8', '7', '3', '10']",2,8,7,3,10,6.0,9.720.000
Club Atlético de Madrid,Griezmann,DL,13,93,2,0,76,5.4,"['10', '10', '7', '3', '15']",10,10,7,3,15,9.0,16.080.000
Club Atlético de Madrid,Matheus Cunha,DL,9,0,1,0,46,4.6,"['9', '5', '-', '4', '14']",9,5,0,4,14,6.4,3.070.000
Club Atlético de Madrid,João Félix,DL,7,21,1,1,32,4.6,"['6', '9', '2', '-', '-']",6,9,2,0,0,3.4,8.880.000
Club Atlético de Madrid,Saponjic,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270.000
