Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
FC Barcelona,Ter Stegen,PT,12,86,13,0,39,3.3,"['3', '1', '-3', '8', '2']",3,1,-3,8,2,2.2,4.070.000
FC Barcelona,Neto,PT,2,14,3,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,470.000
FC Barcelona,Sergiño Dest,DF,11,71,0,3,61,5.5,"['6', '7', '6', '8', '6']",6,7,6,8,6,6.6,4.650.000
FC Barcelona,Jordi Alba,DF,10,71,0,4,61,6.1,"['6', '6', '-', '-', '-']",6,6,0,0,0,2.4,7.610.000
FC Barcelona,Piqué,DF,12,79,1,0,51,4.3,"['4', '2', '-', '4', '4']",4,2,0,4,4,2.8,5.250.000
FC Barcelona,Mingueza,DF,11,50,0,0,40,3.6,"['-', '-', '1', '2', '7']",0,0,1,2,7,2.0,2.650.000
FC Barcelona,Ronald Araujo,DF,10,36,1,0,43,4.3,"['-', '4', '2', '2', '2']",0,4,2,2,2,2.0,4.770.000
FC Barcelona,Eric García,DF,11,79,0,0,34,3.1,"['5', '4', '2', '5', '1']",5,4,2,5,1,3.4,3.350.000
FC Barcelona,Lenglet,DF,6,14,0,0,14,2.3,"['-', '2', '4', '-', '-']",0,2,4,0,0,1.2,1.370.000
FC Barcelona,Umtiti,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,470.000
FC Barcelona,Sergio Busquets,MD,14,100,1,0,79,5.6,"['9', '7', '12', '7', '4']",9,7,12,7,4,7.8,8.390.000
FC Barcelona,De Jong,MD,11,79,1,2,71,6.5,"['-', '-', '8', '6', '13']",0,0,8,6,13,5.4,13.210.000
FC Barcelona,Sergi Roberto,MD,9,29,2,1,41,4.6,"['5', '6', '6', '4', '4']",5,6,6,4,4,5.0,3.400.000
FC Barcelona,Gavi,MD,12,64,0,1,38,3.5,"['5', '-', '-', '-', '-']",5,0,0,0,0,1.0,8.860.000
FC Barcelona,Coutinho,MD,10,29,2,0,42,4.2,"['1', '5', '2', '6', '4']",1,5,2,6,4,3.6,3.800.000
FC Barcelona,Pedri,MD,2,14,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,8.560.000
FC Barcelona,Depay,DL,14,100,8,2,126,9,"['6', '12', '9', '12', '8']",6,12,9,12,8,9.4,21.770.000
FC Barcelona,Ansu Fati,DL,5,21,3,0,42,8.4,"['-', '-', '10', '-', '-']",0,0,10,0,0,2.0,16.220.000
FC Barcelona,Braithwaite,DL,3,21,2,1,22,7.3,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,3.190.000
FC Barcelona,Luuk de Jong,DL,6,14,1,0,23,3.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,4.290.000
FC Barcelona,Demir,DL,6,14,0,0,13,2.2,"['-', '2', '4', '5', '5']",0,2,4,5,5,3.2,1.810.000
FC Barcelona,Agüero,DL,4,14,1,0,13,3.3,"['2', '2', '-', '-', '-']",2,2,0,0,0,0.8,9.720.000
FC Barcelona,Abde Ezzalzouli,DL,4,7,0,0,16,4,"['2', '-', '-', '1', '-']",2,0,0,1,0,0.6,1.260.000
FC Barcelona,Ilias Akhomach,DL,1,7,0,0,4,4,"['-', '-', '-', '4', '-']",0,0,0,4,0,0.8,670.000
FC Barcelona,Dembélé,DL,1,0,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,8.970.000
