Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Elche CF,Kiko Casilla,PT,12,86,15,0,59,4.9,"['6', '2', '-', '-', '-']",6,2,0,0,0,1.6,3.320.000
Elche CF,Axel Werner,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200.000
Elche CF,Édgar Badía,PT,2,14,5,0,-1,-0.5,"['-', '-', '-1', '0', '-']",0,0,-1,0,0,-0.2,990.000
Elche CF,Johan Mojica,DF,14,93,1,2,62,4.4,"['3', '2', '6', '2', '-']",3,2,6,2,0,2.6,5.150.000
Elche CF,Enzo Roco,DF,12,79,1,0,44,3.7,"['4', '7', '4', '-1', '-']",4,7,4,-1,0,2.8,2.950.000
Elche CF,Helibelton Palacios,DF,11,50,0,0,36,3.3,"['6', '3', '-', '2', '-']",6,3,0,2,0,2.2,1.190.000
Elche CF,Bigas,DF,9,64,0,0,34,3.8,"['7', '1', '5', '-3', '-']",7,1,5,-3,0,2.0,1.970.000
Elche CF,Diego González,DF,10,36,0,0,32,3.2,"['-', '-', '1', '4', '-']",0,0,1,4,0,1.0,1.210.000
Elche CF,Gonzalo Verdú,DF,8,57,0,0,26,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.790.000
Elche CF,Barragán,DF,6,36,0,0,15,2.5,"['-', '-', '1', '-1', '-']",0,0,1,-1,0,0.0,600.000
Elche CF,Josema,DF,4,7,0,0,6,1.5,"['-', '-', '-1', '-', '-']",0,0,-1,0,0,-0.2,510.000
Elche CF,John Donald,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220.000
Elche CF,Fidel,MD,12,86,0,2,42,3.5,"['2', '4', '4', '-', '-']",2,4,4,0,0,2.0,3.450.000
Elche CF,Raúl Guti,MD,13,71,0,0,36,2.8,"['2', '-1', '-', '4', '-']",2,-1,0,4,0,1.0,2.070.000
Elche CF,Omar Mascarell,MD,11,71,0,0,35,3.2,"['4', '1', '4', '2', '-']",4,1,4,2,0,2.2,1.700.000
Elche CF,Iván Marcone,MD,8,29,0,0,25,3.1,"['2', '2', '-', '5', '-']",2,2,0,5,0,1.8,850.000
Elche CF,Gumbau,MD,9,29,0,0,24,2.7,"['4', '2', '2', '4', '-']",4,2,2,4,0,2.4,510.000
Elche CF,Josan,MD,8,36,0,1,23,2.9,"['-', '-', '3', '3', '-']",0,0,3,3,0,1.2,1.030.000
Elche CF,Pastore,MD,8,29,0,0,21,2.6,"['3', '5', '2', '1', '-']",3,5,2,1,0,2.2,2.480.000
Elche CF,Piatti,MD,3,14,0,0,13,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,800.000
Elche CF,Lucas Boyé,DL,11,71,4,0,61,5.5,"['1', '5', '17', '2', '-']",1,5,17,2,0,5.0,5.910.000
Elche CF,Benedetto,DL,12,43,2,1,48,4,"['1', '5', '2', '-', '-']",1,5,2,0,0,1.6,3.250.000
Elche CF,Lucas Pérez,DL,11,64,2,0,42,3.8,"['4', '4', '2', '6', '-']",4,4,2,6,0,3.2,5.670.000
Elche CF,Pere Milla,DL,10,14,1,0,30,3,"['3', '9', '-', '-', '-']",3,9,0,0,0,2.4,1.280.000
Elche CF,Guido Carrillo,DL,10,7,0,0,28,2.8,"['2', '-', '-', '5', '-']",2,0,0,5,0,1.4,810.000
