Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
RCD Espanyol de Barcelona,Diego López,PT,14,100,13,0,102,6.8,"['8', '6', '11', '7', '11']",8,6,11,7,11,8.6,4.350.000
RCD Espanyol de Barcelona,Oier Olazábal,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290.000
RCD Espanyol de Barcelona,Leandro Cabrera,DF,14,100,1,0,71,4.7,"['7', '4', '5', '1', '5']",7,4,5,1,5,4.4,4.510.000
RCD Espanyol de Barcelona,Sergi Gómez,DF,13,93,1,0,66,4.7,"['5', '13', '7', '9', '4']",5,13,7,9,4,7.6,3.860.000
RCD Espanyol de Barcelona,Adrià Pedrosa,DF,13,93,1,1,61,4.4,"['2', '2', '15', '2', '4']",2,2,15,2,4,5.0,3.150.000
RCD Espanyol de Barcelona,Aleix Vidal,DF,10,60,2,0,44,4,"['-2', '0', '8', '4', '1']",-2,0,8,4,1,2.2,3.160.000
RCD Espanyol de Barcelona,Óscar Gil,DF,9,60,0,0,22,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,880.000
RCD Espanyol de Barcelona,Dídac Vilà,DF,3,7,0,0,8,2.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,470.000
RCD Espanyol de Barcelona,Calero,DF,1,7,0,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,500.000
RCD Espanyol de Barcelona,Lluís Recasens,DF,1,0,0,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210.000
RCD Espanyol de Barcelona,Miguelón,DF,0,0,0,0,2,2,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,340.000
RCD Espanyol de Barcelona,Embarba,MD,14,100,0,2,62,4.1,"['3', '5', '2', '2', '1']",3,5,2,2,1,2.6,8.030.000
RCD Espanyol de Barcelona,Sergi Darder,MD,13,93,0,2,60,4.3,"['3', '2', '12', '2', '4']",3,2,12,2,4,4.6,4.070.000
RCD Espanyol de Barcelona,Morlanes,MD,12,33,1,0,51,3.9,"['5', '2', '5', '7', '2']",5,2,5,7,2,4.2,2.190.000
RCD Espanyol de Barcelona,David López,MD,10,40,0,0,33,3.3,"['-', '-', '4', '2', '-']",0,0,4,2,0,1.2,1.550.000
RCD Espanyol de Barcelona,Melendo,MD,8,47,0,0,28,3.5,"['-', '2', '2', '-', '5']",0,2,2,0,5,1.8,1.020.000
RCD Espanyol de Barcelona,Keidi Bare,MD,9,33,0,1,30,3,"['2', '3', '-', '-', '-']",2,3,0,0,0,1.0,1.050.000
RCD Espanyol de Barcelona,Fran Mérida,MD,4,13,0,0,11,2.8,"['3', '2', '2', '2', '5']",3,2,2,2,5,2.8,450.000
RCD Espanyol de Barcelona,Yangel Herrera,MD,5,20,0,0,23,3.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2.960.000
RCD Espanyol de Barcelona,Vadillo,MD,3,0,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340.000
RCD Espanyol de Barcelona,Gori,MD,1,0,0,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270.000
RCD Espanyol de Barcelona,Raúl de Tomás,DL,13,93,7,2,94,6.7,"['5', '-', '6', '6', '5']",5,0,6,6,5,4.4,19.810.000
RCD Espanyol de Barcelona,Dimata,DL,12,20,0,0,24,2,"['-', '2', '3', '4', '2']",0,2,3,4,2,2.2,1.810.000
RCD Espanyol de Barcelona,Wu Lei,DL,11,20,0,0,25,2.1,"['2', '2', '2', '1', '-']",2,2,2,1,0,1.4,950.000
