Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Getafe CF,David Soria,PT,15,100,19,0,57,3.8,"['3', '4', '4', '9', '7']",3,4,4,9,7,5.4,2.710.000
Getafe CF,Rubén Yáñez,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240.000
Getafe CF,Diego Conde,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,180.000
Getafe CF,Damián Suárez,DF,13,73,0,1,73,5.6,"['5', '7', '-', '11', '7']",5,7,0,11,7,6.0,3.610.000
Getafe CF,Jorge Cuenca,DF,12,73,1,0,55,4.6,"['4', '3', '4', '16', '5']",4,3,4,16,5,6.4,1.400.000
Getafe CF,Mathías Olivera,DF,13,87,1,0,51,3.9,"['-', '-', '2', '13', '5']",0,0,2,13,5,4.0,1.600.000
Getafe CF,Mitrovic,DF,11,67,0,0,37,3.4,"['6', '4', '4', '4', '6']",6,4,4,4,6,4.8,1.320.000
Getafe CF,Djené,DF,14,93,0,0,32,2.3,"['-', '4', '5', '6', '4']",0,4,5,6,4,3.8,1.760.000
Getafe CF,Jonathan Silva,DF,7,0,0,0,10,1.4,"['0', '3', '-', '-', '-']",0,3,0,0,0,0.6,770.000
Getafe CF,Cabaco,DF,4,13,0,1,7,1.8,"['6', '-', '-', '3', '-']",6,0,0,3,0,1.8,390.000
Getafe CF,Chema,DF,1,7,0,0,1,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250.000
Getafe CF,Maksimovic,MD,15,100,0,1,62,4.1,"['2', '2', '2', '5', '6']",2,2,2,5,6,3.4,3.840.000
Getafe CF,Mauro Arambarri,MD,12,80,0,2,51,4.3,"['1', '4', '2', '13', '2']",1,4,2,13,2,4.4,3.830.000
Getafe CF,Aleñá,MD,14,93,0,2,38,2.7,"['4', '7', '0', '4', '3']",4,7,0,4,3,3.6,2.520.000
Getafe CF,Florentino Luís,MD,10,33,0,1,35,3.5,"['2', '3', '-', '5', '4']",2,3,0,5,4,2.8,1.930.000
Getafe CF,Timor,MD,7,20,0,0,13,1.9,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,460.000
Getafe CF,Vitolo,MD,6,7,0,0,12,2,"['-', '-', '1', '2', '-']",0,0,1,2,0,0.6,1.880.000
Getafe CF,Jankto,MD,4,20,0,0,10,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,980.000
Getafe CF,Nyom,MD,4,20,0,0,10,2.5,"['2', '3', '3', '-', '-']",2,3,3,0,0,1.6,620.000
Getafe CF,Enes Ünal,DL,15,73,4,0,67,4.5,"['10', '16', '2', '10', '4']",10,16,2,10,4,8.4,5.380.000
Getafe CF,Jaime Mata,DL,13,20,1,0,37,2.8,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8,2.160.000
Getafe CF,Sandro Ramírez,DL,10,53,2,0,37,3.7,"['1', '4', '2', '10', '1']",1,4,2,10,1,3.6,4.220.000
Getafe CF,Darío Poveda,DL,11,20,0,0,23,2.1,"['2', '3', '1', '3', '-']",2,3,1,3,0,1.8,720.000
Getafe CF,José Macías,DL,7,13,0,0,16,2.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.350.000
