Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
CA Osasuna,Sergio Herrera,PT,13,93,15,0,57,4.4,"['8', '-', '1', '1', '-']",8,0,1,1,0,2.0,3.900.000
CA Osasuna,Juan Pérez,PT,1,7,2,0,-2,-2,"['-', '-2', '-', '-', '-']",0,-2,0,0,0,-0.4,340.000
CA Osasuna,David García Zub.,DF,14,100,2,0,81,5.8,"['7', '3', '6', '6', '-']",7,3,6,6,0,4.4,4.930.000
CA Osasuna,Nacho Vidal,DF,13,86,0,0,54,4.2,"['7', '-', '3', '2', '-']",7,0,3,2,0,2.4,2.600.000
CA Osasuna,Unai García,DF,9,57,0,0,35,3.9,"['5', '4', '0', '6', '-']",5,4,0,6,0,3.0,1.280.000
CA Osasuna,José Ángel Cote,DF,8,21,1,1,29,3.6,"['-', '2', '2', '-', '-']",0,2,2,0,0,0.8,1.360.000
CA Osasuna,Aridane Hernández,DF,6,43,0,0,15,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2.070.000
CA Osasuna,Juan Cruz,DF,4,21,0,0,12,3,"['4', '-', '-', '4', '-']",4,0,0,4,0,1.6,430.000
CA Osasuna,Jesús Areso,DF,2,14,0,0,0,0,"['-', '0', '-', '-', '-']",0,0,0,0,0,0.0,270.000
CA Osasuna,Ramalho,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240.000
CA Osasuna,Lucas Torró,MD,12,86,1,0,64,5.3,"['2', '-', '4', '4', '-']",2,0,4,4,0,2.0,4.210.000
CA Osasuna,Rubén García,MD,13,79,0,1,60,4.6,"['2', '4', '6', '-', '-']",2,4,6,0,0,2.4,7.130.000
CA Osasuna,Roberto Torres,MD,10,36,2,2,53,5.3,"['-', '6', '2', '-', '-']",0,6,2,0,0,1.6,5.510.000
CA Osasuna,Jon Moncayola,MD,13,79,1,1,52,4,"['2', '2', '2', '5', '-']",2,2,2,5,0,2.2,4.020.000
CA Osasuna,Brasanac,MD,14,93,0,1,42,3,"['2', '3', '2', '4', '-']",2,3,2,4,0,2.2,2.110.000
CA Osasuna,Javi Martínez Calvo,MD,9,21,1,0,33,3.7,"['5', '-', '-', '-', '-']",5,0,0,0,0,1.0,1.390.000
CA Osasuna,Oier,MD,11,29,0,0,15,1.4,"['-', '2', '-', '2', '-']",0,2,0,2,0,0.8,660.000
CA Osasuna,Iñigo Pérez,MD,5,14,1,0,13,2.6,"['-', '2', '-', '1', '-']",0,2,0,1,0,0.6,490.000
CA Osasuna,Kike Barja,MD,14,21,2,0,12,4,"['-', '-', '5', '-', '-']",0,0,5,0,0,1.0,1.950.000
CA Osasuna,Kike García,DL,14,79,2,0,52,3.7,"['2', '4', '2', '2', '-']",2,4,2,2,0,2.0,5.280.000
CA Osasuna,Robert Ibáñez,MD,4,7,0,0,11,2.8,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,360.000
CA Osasuna,Ontiveros,MD,3,0,0,0,3,1,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8,850.000
CA Osasuna,Jaume Grau,MD,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230.000
CA Osasuna,Barbero,DL,6,0,0,0,4,1.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270.000
CA Osasuna,Ezequiel Ávila,DL,14,36,2,0,52,3.7,"['4', '2', '3', '3', '-']",4,2,3,3,0,2.4,7.270.000
CA Osasuna,Budimir,DL,5,7,0,0,12,2.4,"['-', '3', '2', '3', '-']",0,3,2,3,0,1.6,3.900.000
