Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Rayo Vallecano de Madrid,Dimitrievski,PT,15,93,15,0,78,5.2,"['12', '10', '3', '4', '4']",12,10,3,4,4,6.6,3.840.000
Rayo Vallecano de Madrid,Iván Arboleda,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,180.000
Rayo Vallecano de Madrid,Luca Zidane,PT,1,7,3,0,-10,-10,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,520.000
Rayo Vallecano de Madrid,Catena,DF,15,100,0,1,68,4.5,"['4', '6', '2', '4', '4']",4,6,2,4,4,4.0,3.940.000
Rayo Vallecano de Madrid,Fran García,DF,15,100,0,0,61,4.1,"['4', '8', '3', '4', '5']",4,8,3,4,5,4.8,2.570.000
Rayo Vallecano de Madrid,Balliu,DF,14,93,0,1,44,3.1,"['4', '5', '5', '2', '4']",4,5,5,2,4,4.0,1.830.000
Rayo Vallecano de Madrid,Saveljich,DF,11,73,0,0,33,3,"['6', '-', '2', '2', '2']",6,0,2,2,2,2.4,1.260.000
Rayo Vallecano de Madrid,Mario Hernández,DF,2,13,1,0,12,6,"['-', '5', '-', '-', '-']",0,5,0,0,0,1.0,330.000
Rayo Vallecano de Madrid,Nikola Maras,DF,5,20,0,0,12,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,570.000
Rayo Vallecano de Madrid,Kevin Rodrigues,DF,5,0,0,0,9,1.8,"['-', '-', '-', '1', '-']",0,0,0,1,0,0.2,450.000
Rayo Vallecano de Madrid,Trejo,MD,13,80,3,7,91,7,"['10', '2', '4', '14', '-']",10,2,4,14,0,6.0,9.820.000
Rayo Vallecano de Madrid,Álvaro García,MD,15,93,5,1,86,5.7,"['4', '4', '5', '10', '3']",4,4,5,10,3,5.2,8.080.000
Rayo Vallecano de Madrid,Comesaña,MD,15,87,1,2,78,5.2,"['4', '6', '4', '10', '4']",4,6,4,10,4,5.6,5.840.000
Rayo Vallecano de Madrid,Randy Nteka,MD,13,40,3,0,57,4.4,"['2', '5', '2', '5', '12']",2,5,2,5,12,5.2,5.750.000
Rayo Vallecano de Madrid,Pathé Ciss,MD,12,40,1,1,51,4.3,"['4', '2', '3', '-', '-']",4,2,3,0,0,1.8,3.300.000
Rayo Vallecano de Madrid,Isi Palazón,MD,15,73,2,0,61,4.1,"['3', '2', '-', '-', '-']",3,2,0,0,0,1.0,3.200.000
Rayo Vallecano de Madrid,Bebé,MD,12,7,0,2,46,3.8,"['-', '3', '7', '2', '-1']",0,3,7,2,-1,2.2,2.210.000
Rayo Vallecano de Madrid,Óscar Valentín,MD,13,60,0,0,46,3.5,"['4', '4', '6', '2', '4']",4,4,6,2,4,4.0,1.490.000
Rayo Vallecano de Madrid,Unai López,MD,12,33,0,0,39,3.3,"['3', '2', '5', '2', '2']",3,2,5,2,2,2.8,1.980.000
Rayo Vallecano de Madrid,Merquelanz,MD,4,20,0,0,13,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.340.000
Rayo Vallecano de Madrid,Mario Suárez,MD,3,7,0,0,3,1,"['-', '-', '2', '1', '7']",0,0,2,1,7,2.0,550.000
Rayo Vallecano de Madrid,Pozo,MD,4,0,0,0,10,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330.000
Rayo Vallecano de Madrid,Falcao,DL,8,27,5,0,57,7.1,"['8', '4', '10', '-', '-']",8,4,10,0,0,4.4,11.150.000
Rayo Vallecano de Madrid,Sergi Guardiola,DL,10,27,2,2,36,3.6,"['-', '2', '2', '8', '2']",0,2,2,8,2,2.8,2.750.000
Rayo Vallecano de Madrid,Andrés Martín,DL,5,7,0,0,6,1.2,"['-', '-', '-', '2', '1']",0,0,0,2,1,0.6,320.000
Rayo Vallecano de Madrid,Yacine Qasmi,DL,1,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,810.000
Rayo Vallecano de Madrid,Sergio Moreno,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210.000
