Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Real Betis Balompié,Rui Silva,PT,7,53,6,0,29,3.6,"['-', '-', '-', '10', '2']",0,0,0,10,2,2.4,1.660.000
Real Betis Balompié,Claudio Bravo,PT,7,47,9,0,23,3.3,"['4', '7', '0', '-', '-']",4,7,0,0,0,2.2,1.520.000
Real Betis Balompié,Joel Robles,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250.000
Real Betis Balompié,Álex Moreno,DF,11,73,1,1,53,4.4,"['6', '2', '1', '7', '6']",6,2,1,7,6,4.4,2.790.000
Real Betis Balompié,Pezzella,DF,9,53,1,0,29,3.2,"['5', '-', '-', '5', '3']",5,0,0,5,3,2.6,1.760.000
Real Betis Balompié,Víctor Ruiz,DF,7,53,0,0,30,3.8,"['13', '0', '3', '5', '-']",13,0,3,5,0,4.2,2.440.000
Real Betis Balompié,Martín Montoya,DF,6,40,0,1,26,4.3,"['1', '1', '-', '-', '-']",1,1,0,0,0,0.4,1.940.000
Real Betis Balompié,Héctor Bellerín,DF,8,53,0,1,22,2.8,"['-', '-', '-1', '-6', '-']",0,0,-1,-6,0,-1.4,3.750.000
Real Betis Balompié,Juan Miranda,DF,4,27,0,0,17,4.3,"['-', '-', '-', '-', '5']",0,0,0,0,5,1.0,880.000
Real Betis Balompié,Marc Bartra,DF,3,27,0,0,21,5.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.720.000
Real Betis Balompié,Kike Hermoso,DF,1,7,1,0,13,13,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,470.000
Real Betis Balompié,Sabaly,DF,--,0,--,--,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,830.000
Real Betis Balompié,Fekir,MD,0,93,0,0,88,6.3,"['6', '-', '4', '12', '7']",6,0,4,12,7,5.8,12.850.000
Real Betis Balompié,Yassin Fekir,MD,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300.000
Real Betis Balompié,Canales,MD,13,87,1,2,68,4.9,"['3', '2', '2', '2', '7']",3,2,2,2,7,3.2,12.240.000
Real Betis Balompié,William Carvalho,MD,12,47,0,1,58,4.5,"['6', '4', '4', '2', '2']",6,4,4,2,2,3.6,3.770.000
Real Betis Balompié,Édgar González,MD,11,60,0,1,48,4,"['2', '2', '-5', '-', '8']",2,2,-5,0,8,1.4,2.940.000
Real Betis Balompié,Guido Rodríguez,MD,11,67,0,2,50,4.2,"['-', '0', '2', '4', '3']",0,0,2,4,3,1.8,5.840.000
Real Betis Balompié,Rodrigo Sánchez,MD,10,53,1,1,42,4.2,"['-', '1', '1', '-', '-']",0,1,1,0,0,0.4,3.490.000
Real Betis Balompié,Guardado,MD,12,47,0,0,33,2.5,"['5', '4', '2', '2', '3']",5,4,2,2,3,3.2,1.140.000
Real Betis Balompié,Joaquín,MD,8,0,0,1,23,2.9,"['0', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.150.000
Real Betis Balompié,Tello,MD,9,7,0,0,19,2.1,"['-', '4', '3', '2', '-']",0,4,3,2,0,1.8,1.280.000
Real Betis Balompié,Aitor Ruibal,MD,8,33,0,0,19,2.1,"['2', '2', '-', '2', '6']",2,2,0,2,6,2.4,990.000
Real Betis Balompié,Camarasa,MD,5,0,0,0,12,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,560.000
Real Betis Balompié,Rober González,MD,4,7,0,0,12,3,"['2', '2', '-', '5', '-']",2,2,0,5,0,1.8,370.000
Real Betis Balompié,Paul Akouokou,MD,2,13,0,0,9,4.5,"['-', '-', '-', '4', '-']",0,0,0,4,0,0.8,390.000
Real Betis Balompié,Diego Lainez,MD,1,0,0,0,2,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,860.000
Real Betis Balompié,Juanmi Jiménez,DL,12,60,5,1,94,7.2,"['14', '1', '2', '11', '21']",14,1,2,11,21,9.8,5.230.000
Real Betis Balompié,Willian José,DL,11,60,5,0,71,5.9,"['4', '1', '2', '9', '10']",4,1,2,9,10,5.2,9.980.000
Real Betis Balompié,Borja Iglesias,DL,12,33,3,0,50,4.2,"['16', '4', '-', '-', '-']",16,4,0,0,0,4.0,6.230.000
