Team,Player,Position,Matchs,On start %,Goals / Goals Received,Assistances,Total Points,Points Average,Last 5 matchs points,J10,J11,J12,J13,J14,Avg ultimas 5 J,Value
Real Madrid CF,Courtois,PT,13,108,14,0,54,3.9,"['5', '4', '7', '3', '-']",5,4,7,3,0,3.8,6.370.000
Real Madrid CF,Lunin,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,380.000
Real Madrid CF,Alaba,DF,12,100,1,3,73,5.6,"['6', '5', '6', '3', '-']",6,5,6,3,0,4.0,9.140.000
Real Madrid CF,Éder Militão,DF,12,100,0,0,60,4.6,"['7', '8', '6', '-', '-']",7,8,6,0,0,4.2,6.970.000
Real Madrid CF,Nacho Fernández,DF,9,62,2,0,49,5.4,"['-', '-', '-', '15', '-']",0,0,0,15,0,3.0,3.150.000
Real Madrid CF,Carvajal,DF,9,54,1,0,44,4.4,"['6', '2', '7', '6', '-']",6,2,7,6,0,4.2,6.470.000
Real Madrid CF,Ferland Mendy,DF,5,38,1,0,33,5.5,"['6', '3', '4', '15', '-']",6,3,4,15,0,5.6,5.440.000
Real Madrid CF,Miguel Gutiérrez,DF,3,23,0,1,18,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1.270.000
Real Madrid CF,Marcelo,DF,3,8,0,0,7,2.3,"['2', '5', '-', '-', '-']",2,5,0,0,0,1.4,890.000
Real Madrid CF,Sergio Santos,DF,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,420.000
Real Madrid CF,Jesús Vallejo,DF,1,0,0,0,2,2,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,360.000
Real Madrid CF,Casemiro,MD,12,92,0,2,72,5.5,"['8', '4', '5', '11', '-']",8,4,5,11,0,5.6,11.280.000
Real Madrid CF,Kroos,MD,6,54,1,2,56,8,"['10', '9', '15', '13', '-']",10,9,15,13,0,9.4,16.190.000
Real Madrid CF,Modric,MD,8,69,0,3,42,4.7,"['-', '11', '-', '6', '-']",0,11,0,6,0,3.4,10.760.000
Real Madrid CF,Camavinga,MD,9,31,1,0,37,4.1,"['4', '3', '5', '2', '-']",4,3,5,2,0,2.8,7.300.000
Real Madrid CF,Lucas Vázquez,MD,10,38,1,0,37,3.7,"['2', '4', '2', '-', '-']",2,4,2,0,0,1.6,4.090.000
Real Madrid CF,Isco,MD,7,15,1,0,30,4.3,"['-', '-', '-', '1', '-']",0,0,0,1,0,0.2,1.830.000
Real Madrid CF,Antonio Blanco,MD,1,0,0,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,450.000
Real Madrid CF,Dani Ceballos,MD,--,0,--,--,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,800.000
Real Madrid CF,Benzema,DL,12,100,10,7,135,10.4,"['7', '-', '10', '7', '-']",7,0,10,7,0,4.8,26.860.000
Real Madrid CF,Vinícius Júnior,DL,13,92,8,2,106,7.6,"['4', '16', '2', '12', '-']",4,16,2,12,0,6.8,16.880.000
Real Madrid CF,Asensio,DL,11,46,4,0,56,4.7,"['2', '4', '6', '10', '-']",2,4,6,10,0,4.4,6.360.000
Real Madrid CF,Eden Hazard,DL,10,31,0,1,42,4.2,"['3', '2', '2', '-', '-']",3,2,2,0,0,1.4,6.810.000
Real Madrid CF,Rodrygo,DL,12,31,0,1,30,2.5,"['2', '2', '-', '2', '-']",2,2,0,2,0,1.2,3.200.000
Real Madrid CF,Bale,DL,3,23,1,0,15,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,4.770.000
Real Madrid CF,Jovic,DL,6,0,0,1,14,2.3,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,910.000
Real Madrid CF,Mariano Díaz,DL,1,8,0,1,8,8,"['-', '8', '-', '-', '-']",0,8,0,0,0,1.6,640.000
