Team_id,Team,Player,Position,Matches_Played,On_start_%,Goals_/_Goals_Received,Assists,Total_Points,Points_Average,Last_5_games_points,J_13,J_14,J_15,J_16,J_17,Avg_last_5_games,Value
1,Athletic Club,Unai Simón,PT,15,88,11,0,79,5.3,"['6', '8', '0', '10', '1']",6,8,0,10,1,5.0,4500000
1,Athletic Club,Agirrezabala,PT,2,12,1,0,10,5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,410000
1,Athletic Club,Ezkieta,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
1,Athletic Club,Iñigo Martínez,DF,14,82,2,0,78,5.6,"['-', '7', '-3', '8', '6']",0,7,-3,8,6,3.6,7050000
1,Athletic Club,Lekue,DF,0,94,0,0,70,4.1,"['5', '5', '3', '8', '1']",5,5,3,8,1,4.4,2890000
1,Athletic Club,Balenziaga,DF,0,76,0,0,49,3.8,"['2', '6', '0', '-', '5']",2,6,0,0,5,2.6,1840000
1,Athletic Club,Yeray Álvarez,DF,8,47,0,0,42,5.3,"['4', '8', '5', '5', '4']",4,8,5,5,4,5.2,3500000
1,Athletic Club,De Marcos,DF,7,29,0,0,29,4.1,"['-', '-', '-', '5', '-']",0,0,0,5,0,1.0,1200000
1,Athletic Club,Unai Núñez,DF,5,18,0,0,17,3.4,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,760000
1,Athletic Club,Álex Petxarroman,DF,4,0,0,0,9,2.3,"['-', '-', '2', '2', '4']",0,0,2,2,4,1.6,420000
1,Athletic Club,Yuri Berchiche,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1750000
1,Athletic Club,Capa,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,960000
1,Athletic Club,Nolaskoain,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,320000
1,Athletic Club,Muniain,MD,0,94,0,0,108,6.8,"['6', '4', '9', '-', '0']",6,4,9,0,0,3.8,10270000
1,Athletic Club,Unai Vencedor,MD,16,88,0,0,60,3.8,"['-', '5', '4', '4', '5']",0,5,4,4,5,3.6,3300000
1,Athletic Club,Dani García,MD,0,88,0,0,44,2.6,"['2', '2', '1', '5', '4']",2,2,1,5,4,2.8,1570000
1,Athletic Club,Nico Williams,MD,17,29,0,0,42,2.5,"['1', '5', '2', '5', '2']",1,5,2,5,2,3.0,2740000
1,Athletic Club,Sancet,MD,13,35,0,1,42,3.2,"['4', '2', '0', '4', '2']",4,2,0,4,2,2.4,2520000
1,Athletic Club,Álex Berenguer,MD,16,65,0,1,40,2.5,"['-1', '2', '-', '2', '2']",-1,2,0,2,2,1.0,4850000
1,Athletic Club,Zarraga,MD,13,18,0,0,31,2.4,"['-', '2', '3', '3', '2']",0,2,3,3,2,2.0,940000
1,Athletic Club,Mikel Vesga,MD,13,18,0,0,25,1.9,"['5', '-', '-', '-', '-']",5,0,0,0,0,1.0,800000
1,Athletic Club,Jon Morcillo,MD,6,0,0,0,8,1.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,490000
1,Athletic Club,Williams,DL,17,88,3,1,81,4.8,"['3', '2', '2', '4', '4']",3,2,2,4,4,3.0,9380000
1,Athletic Club,Raúl García,DL,16,71,3,0,71,4.4,"['4', '2', '11', '4', '2']",4,2,11,4,2,4.6,5690000
1,Athletic Club,Villalibre,DL,7,6,0,0,16,2.3,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4,1140000
2,Club Atlético de Madrid,Oblak,PT,0,100,0,0,49,3.1,"['2', '9', '1', '1', '0']",2,9,1,1,0,2.6,5320000
2,Club Atlético de Madrid,Lecomte,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
2,Club Atlético de Madrid,Savic,DF,0,81,0,0,58,4.5,"['4', '7', '7', '2', '-']",4,7,7,2,0,4.0,4260000
2,Club Atlético de Madrid,José Giménez,DF,10,63,0,0,53,5.3,"['2', '-', '3', '-', '-']",2,0,3,0,0,1.0,4530000
2,Club Atlético de Madrid,Mario Hermoso,DF,0,81,0,0,47,3.1,"['2', '6', '2', '2', '2']",2,6,2,2,2,2.8,3310000
2,Club Atlético de Madrid,Trippier,DF,0,56,0,0,39,3.3,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,3780000
2,Club Atlético de Madrid,Felipe,DF,0,44,0,0,39,4.3,"['-', '15', '2', '5', '1']",0,15,2,5,1,4.6,2430000
2,Club Atlético de Madrid,Renan Lodi,DF,0,25,0,0,31,2.4,"['-', '-', '-', '6', '3']",0,0,0,6,3,1.8,1670000
2,Club Atlético de Madrid,Vrsaljko,DF,6,6,1,1,28,4.7,"['12', '6', '-', '1', '-']",12,6,0,1,0,3.8,1350000
2,Club Atlético de Madrid,Rodrigo de Paul,MD,0,63,0,0,80,5.3,"['4', '2', '8', '5', '6']",4,2,8,5,6,5.0,8820000
2,Club Atlético de Madrid,Lemar,MD,10,44,3,2,59,5.9,"['-', '3', '14', '2', '4']",0,3,14,2,4,4.6,6830000
2,Club Atlético de Madrid,Kondogbia,MD,11,38,0,0,52,4.7,"['-', '5', '7', '4', '4']",0,5,7,4,4,4.0,3460000
2,Club Atlético de Madrid,Marcos Llorente,MD,0,75,0,0,52,4.3,"['1', '4', '-', '6', '4']",1,4,0,6,4,3.0,9900000
2,Club Atlético de Madrid,Koke,MD,0,81,0,0,51,3.9,"['1', '6', '3', '8', '4']",1,6,3,8,4,4.4,6190000
2,Club Atlético de Madrid,Héctor Herrera,MD,0,13,0,0,34,4.3,"['1', '-', '-', '-', '5']",1,0,0,0,5,1.2,900000
2,Club Atlético de Madrid,Carlos Martín,MD,1,0,0,0,3,3,"['-', '3', '-', '-', '-']",0,3,0,0,0,0.6,350000
2,Club Atlético de Madrid,Correa,DL,0,69,0,0,86,5.4,"['7', '3', '10', '6', '2']",7,3,10,6,2,5.6,10260000
2,Club Atlético de Madrid,Luis Suárez,DL,16,63,7,1,85,5.3,"['10', '2', '1', '2', '2']",10,2,1,2,2,3.4,15450000
2,Club Atlético de Madrid,Griezmann,DL,16,94,3,1,84,5.3,"['7', '3', '15', '5', '3']",7,3,15,5,3,6.6,15640000
2,Club Atlético de Madrid,Matheus Cunha,DL,12,13,3,1,59,4.9,"['-', '4', '14', '11', '2']",0,4,14,11,2,6.2,5680000
2,Club Atlético de Madrid,João Félix,DL,9,19,1,1,38,4.2,"['2', '-', '-', '2', '4']",2,0,0,2,4,1.6,8570000
2,Club Atlético de Madrid,Saponjic,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
3,CA Osasuna,Sergio Herrera,PT,0,94,0,0,69,4.3,"['1', '1', '3', '9', '0']",1,1,3,9,0,2.8,4260000
3,CA Osasuna,Juan Pérez,PT,1,6,2,0,-2,-2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
3,CA Osasuna,David García Zub.,DF,17,100,3,0,101,5.9,"['6', '6', '4', '7', '9']",6,6,4,7,9,6.4,5280000
3,CA Osasuna,Nacho Vidal,DF,16,88,0,0,68,4.3,"['3', '2', '8', '5', '2']",3,2,8,5,2,4.0,2710000
3,CA Osasuna,Unai García,DF,12,65,0,0,46,3.8,"['0', '6', '2', '6', '3']",0,6,2,6,3,3.4,1340000
3,CA Osasuna,José Ángel Cote,DF,11,24,1,1,38,3.5,"['2', '-', '6', '-', '3']",2,0,6,0,3,2.2,1250000
3,CA Osasuna,Juan Cruz,DF,6,29,0,0,19,3.2,"['-', '4', '-', '5', '2']",0,4,0,5,2,2.2,450000
3,CA Osasuna,Aridane Hernández,DF,6,35,0,0,15,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1850000
3,CA Osasuna,Jesús Areso,DF,2,12,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
3,CA Osasuna,Ramalho,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
3,CA Osasuna,Lucas Torró,MD,14,82,1,0,71,5.1,"['4', '4', '-', '4', '3']",4,4,0,4,3,3.0,4410000
3,CA Osasuna,Jon Moncayola,MD,16,82,1,2,68,4.3,"['2', '5', '4', '5', '7']",2,5,4,5,7,4.6,4030000
3,CA Osasuna,Rubén García,MD,16,76,0,1,64,4,"['6', '-', '2', '2', '0']",6,0,2,2,0,2.0,5870000
3,CA Osasuna,Roberto Torres,MD,12,29,2,2,58,4.8,"['2', '-', '2', '-', '3']",2,0,2,0,3,1.4,4640000
3,CA Osasuna,Brasanac,MD,17,82,0,1,50,2.9,"['2', '4', '4', '2', '2']",2,4,4,2,2,2.8,1780000
3,CA Osasuna,Javi Martínez Calvo,MD,10,18,1,0,39,3.9,"['-', '-', '-', '6', '-']",0,0,0,6,0,1.2,1110000
3,CA Osasuna,Kike Barja,MD,16,29,2,0,20,2.9,"['5', '-', '6', '2', '1']",5,0,6,2,1,2.8,1590000
3,CA Osasuna,Kike García,DL,16,76,2,0,58,3.6,"['2', '2', '4', '-', '2']",2,2,4,0,2,2.0,4400000
3,CA Osasuna,Oier,MD,13,29,0,0,17,1.3,"['-', '2', '2', '-', '-']",0,2,2,0,0,0.8,580000
3,CA Osasuna,Iñigo Pérez,MD,5,12,1,0,13,2.6,"['-', '1', '-', '-', '-']",0,1,0,0,0,0.2,470000
3,CA Osasuna,Robert Ibáñez,MD,4,6,0,0,11,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,350000
3,CA Osasuna,Ontiveros,MD,3,0,0,0,3,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,740000
3,CA Osasuna,Jaume Grau,MD,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000
3,CA Osasuna,Barbero,DL,6,0,0,0,4,1.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
3,CA Osasuna,Ezequiel Ávila,DL,17,35,3,0,68,4,"['3', '3', '2', '4', '10']",3,3,2,4,10,4.4,6450000
3,CA Osasuna,Budimir,DL,8,18,1,0,23,2.9,"['2', '3', '7', '2', '2']",2,3,7,2,2,3.2,3610000
4,RCD Espanyol de Barcelona,Diego López,PT,0,100,0,0,105,6.2,"['11', '7', '11', '2', '1']",11,7,11,2,1,6.4,4330000
4,RCD Espanyol de Barcelona,Oier Olazábal,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
4,RCD Espanyol de Barcelona,Leandro Cabrera,DF,17,100,1,0,75,4.4,"['5', '1', '5', '2', '2']",5,1,5,2,2,3.0,4410000
4,RCD Espanyol de Barcelona,Sergi Gómez,DF,16,94,1,1,73,4.6,"['7', '9', '4', '2', '5']",7,9,4,2,5,5.4,3680000
4,RCD Espanyol de Barcelona,Adrià Pedrosa,DF,16,94,1,1,71,4.4,"['15', '2', '4', '8', '2']",15,2,4,8,2,6.2,3350000
4,RCD Espanyol de Barcelona,Aleix Vidal,DF,13,65,2,0,46,3.5,"['8', '4', '1', '1', '1']",8,4,1,1,1,3.0,2750000
4,RCD Espanyol de Barcelona,Óscar Gil,DF,9,53,0,0,22,2.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,720000
4,RCD Espanyol de Barcelona,Dídac Vilà,DF,3,6,0,0,8,2.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,440000
4,RCD Espanyol de Barcelona,Calero,DF,2,6,0,0,6,3,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,450000
4,RCD Espanyol de Barcelona,Lluís Recasens,DF,1,0,0,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
4,RCD Espanyol de Barcelona,Miguelón,DF,1,0,0,0,2,2,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4,310000
4,RCD Espanyol de Barcelona,Sergi Darder,MD,16,94,1,2,73,4.6,"['12', '2', '4', '2', '11']",12,2,4,2,11,6.2,3920000
4,RCD Espanyol de Barcelona,Embarba,MD,17,100,0,2,68,4,"['2', '2', '1', '3', '3']",2,2,1,3,3,2.2,7300000
4,RCD Espanyol de Barcelona,Morlanes,MD,15,35,1,0,56,3.7,"['5', '7', '2', '3', '2']",5,7,2,3,2,3.8,2050000
4,RCD Espanyol de Barcelona,Keidi Bare,MD,12,35,0,1,36,3,"['2', '-', '5', '4', '2']",2,0,5,4,2,2.6,1110000
4,RCD Espanyol de Barcelona,David López,MD,10,35,0,0,33,3.3,"['4', '2', '-', '-', '-']",4,2,0,0,0,1.2,1270000
4,RCD Espanyol de Barcelona,Yangel Herrera,MD,8,29,1,1,32,4,"['2', '1', '12', '2', '7']",2,1,12,2,7,4.8,3160000
4,RCD Espanyol de Barcelona,Melendo,MD,9,41,0,0,30,3.3,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4,890000
4,RCD Espanyol de Barcelona,Vadillo,MD,3,0,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000
4,RCD Espanyol de Barcelona,Fran Mérida,MD,4,12,0,0,11,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,440000
4,RCD Espanyol de Barcelona,Gori,MD,1,0,0,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
4,RCD Espanyol de Barcelona,Raúl de Tomás,DL,16,94,8,2,111,6.9,"['6', '6', '5', '5', '12']",6,6,5,5,12,6.8,18430000
4,RCD Espanyol de Barcelona,Wu Lei,DL,12,18,0,0,25,2.1,"['3', '4', '2', '-', '-']",3,4,2,0,0,1.8,880000
4,RCD Espanyol de Barcelona,Dimata,DL,12,18,0,0,24,2,"['2', '1', '-', '-', '-']",2,1,0,0,0,0.6,1470000
5,FC Barcelona,Ter Stegen,PT,0,88,0,0,42,3,"['-3', '8', '2', '2', '1']",-3,8,2,2,1,2.0,3970000
5,FC Barcelona,Neto,PT,0,13,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,410000
5,FC Barcelona,Jordi Alba,DF,11,69,0,4,66,6,"['6', '8', '6', '5', '-']",6,8,6,5,0,5.0,7530000
5,FC Barcelona,Piqué,DF,14,75,1,0,62,4.4,"['-', '4', '4', '4', '7']",0,4,4,4,7,3.8,5010000
5,FC Barcelona,Sergiño Dest,DF,0,69,0,0,62,5.2,"['-', '-', '-', '1', '-']",0,0,0,1,0,0.2,4260000
5,FC Barcelona,Ronald Araujo,DF,12,44,1,0,53,4.4,"['1', '2', '7', '6', '4']",1,2,7,6,4,4.0,5500000
5,FC Barcelona,Mingueza,DF,12,44,0,0,42,3.5,"['2', '2', '2', '-', '2']",2,2,2,0,2,1.6,2250000
5,FC Barcelona,Eric García,DF,0,69,0,0,34,3.1,"['2', '5', '1', '-', '-']",2,5,1,0,0,1.6,3070000
5,FC Barcelona,Lenglet,DF,0,19,0,0,20,2.9,"['4', '-', '-', '6', '-']",4,0,0,6,0,2.0,1200000
5,FC Barcelona,Umtiti,DF,0,6,0,0,4,4,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,540000
5,FC Barcelona,Sergio Busquets,MD,16,100,1,0,93,5.8,"['12', '7', '4', '9', '5']",12,7,4,9,5,7.4,9340000
5,FC Barcelona,De Jong,MD,13,75,1,2,76,5.8,"['8', '6', '13', '2', '3']",8,6,13,2,3,6.4,12990000
5,FC Barcelona,Gavi,MD,14,69,0,2,46,3.5,"['2', '6', '4', '2', '6']",2,6,4,2,6,4.0,9580000
5,FC Barcelona,Coutinho,MD,12,31,2,0,47,3.9,"['-', '2', '13', '3', '2']",0,2,13,3,2,4.0,4200000
