Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
3,CA Osasuna,Sergio Herrera,PT,17,94,0,0,74,4.4,"['3', '9', '0', '5', '-']",3,9,0,5,0,3.4,3990000
3,CA Osasuna,Juan Pérez,PT,1,6,0,0,-2,-2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
3,CA Osasuna,David García Zub.,DF,17,94,3,0,101,5.9,"['4', '7', '9', '-', '-']",4,7,9,0,0,4.0,5100000
3,CA Osasuna,Nacho Vidal,DF,17,89,0,0,71,4.2,"['8', '5', '2', '3', '-']",8,5,2,3,0,3.6,2800000
3,CA Osasuna,Unai García,DF,13,67,0,0,52,4,"['2', '6', '3', '6', '-']",2,6,3,6,0,3.4,1270000
3,CA Osasuna,José Ángel Cote,DF,11,22,1,1,38,3.5,"['6', '-', '3', '-', '-']",6,0,3,0,0,1.8,1120000
3,CA Osasuna,Juan Cruz,DF,7,33,0,0,24,3.4,"['-', '5', '2', '5', '-']",0,5,2,5,0,2.4,730000
3,CA Osasuna,Aridane Hernández,DF,6,33,0,0,15,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1670000
3,CA Osasuna,Jesús Areso,DF,2,11,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,280000
3,CA Osasuna,Ramalho,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
3,CA Osasuna,Lucas Torró,MD,15,83,1,0,75,5,"['-', '4', '3', '4', '-']",0,4,3,4,0,2.2,4950000
3,CA Osasuna,Jon Moncayola,MD,17,83,1,2,72,4.2,"['2', '2', '0', '8', '-']",2,2,0,8,0,2.4,3710000
3,CA Osasuna,Rubén García,MD,17,78,0,1,72,4.2,"['4', '5', '7', '4', '-']",4,5,7,4,0,4.0,5550000
3,CA Osasuna,Roberto Torres,MD,13,28,2,2,58,4.5,"['2', '-', '3', '-', '-']",2,0,3,0,0,1.0,3980000
3,CA Osasuna,Brasanac,MD,18,83,0,1,51,2.8,"['4', '2', '2', '1', '-']",4,2,2,1,0,1.8,1840000
3,CA Osasuna,Javi Martínez Calvo,MD,11,17,1,0,39,3.5,"['-', '6', '-', '0', '-']",0,6,0,0,0,1.2,1000000
3,CA Osasuna,Kike Barja,MD,16,33,2,0,22,2.8,"['6', '2', '1', '2', '-']",6,2,1,2,0,2.2,1460000
3,CA Osasuna,Kike García,DL,16,72,2,0,58,3.6,"['4', '-', '2', '-', '-']",4,0,2,0,0,1.2,4000000
3,CA Osasuna,Oier,MD,14,28,0,0,17,1.2,"['2', '-', '-', '0', '-']",2,0,0,0,0,0.4,530000
3,CA Osasuna,Iñigo Pérez,MD,5,11,1,0,13,2.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,430000
3,CA Osasuna,Robert Ibáñez,MD,4,6,0,0,11,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000
3,CA Osasuna,Ontiveros,MD,3,0,0,0,3,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,650000
3,CA Osasuna,Jaume Grau,MD,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000
3,CA Osasuna,Barbero,DL,4,0,0,0,4,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
3,CA Osasuna,Ezequiel Ávila,DL,18,39,3,0,71,3.9,"['2', '4', '10', '3', '-']",2,4,10,3,0,3.8,6020000
3,CA Osasuna,Budimir,DL,8,17,1,0,23,2.9,"['7', '2', '2', '-', '-']",7,2,2,0,0,2.2,3430000
