Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games,Value
2,Club Atlético de Madrid,Oblak,PT,33,100,0,0,107,3.2,"['8', '1', '4', '3', '7']",8,1,4,3,7,4.6,3930000
2,Club Atlético de Madrid,Lecomte,PT,26,0,1,1,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250000
2,Club Atlético de Madrid,Savic,DF,25,73,0,2,103,4.3,"['6', '2', '4', '1', '6']",6,2,4,1,6,3.8,4280000
2,Club Atlético de Madrid,Mario Hermoso,DF,24,61,0,0,96,3.8,"['-', '-', '-', '-', '9']",0,0,0,0,9,1.8,2250000
2,Club Atlético de Madrid,José Giménez,DF,29,61,5,5,95,4.8,"['5', '4', '-', '-', '-']",5,4,0,0,0,1.8,3250000
2,Club Atlético de Madrid,Renan Lodi,DF,31,36,1,1,85,3.3,"['3', '0', '2', '2', '5']",3,0,2,2,5,2.4,3570000
2,Club Atlético de Madrid,Felipe,DF,25,42,2,1,70,3.2,"['-', '-', '4', '4', '-']",0,0,4,4,0,1.6,2020000
2,Club Atlético de Madrid,Vrsaljko,DF,31,24,11,5,68,3.8,"['-', '6', '1', '2', '3']",0,6,1,2,3,2.4,1590000
2,Club Atlético de Madrid,Reinildo Mandava,DF,20,30,0,1,48,4,"['6', '4', '2', '4', '5']",6,4,2,4,5,4.2,4300000
2,Club Atlético de Madrid,Ferreira Carrasco,MD,31,70,11,2,168,5.8,"['-', '4', '7', '17', '8']",0,4,7,17,8,7.2,8190000
2,Club Atlético de Madrid,Rodrigo de Paul,MD,23,64,4,5,151,4.9,"['7', '4', '4', '3', '7']",7,4,4,3,7,5.0,6710000
2,Club Atlético de Madrid,Lemar,MD,21,52,3,2,114,5,"['-', '2', '2', '2', '-']",0,2,2,2,0,1.2,5610000
2,Club Atlético de Madrid,Kondogbia,MD,23,48,1,2,111,4.8,"['4', '4', '4', '-1', '-']",4,4,4,-1,0,2.2,4100000
2,Club Atlético de Madrid,Marcos Llorente,MD,22,76,2,1,103,4.1,"['5', '2', '4', '3', '2']",5,2,4,3,2,3.2,7760000
2,Club Atlético de Madrid,Koke,MD,24,76,8,4,102,3.9,"['10', '-', '2', '4', '4']",10,0,2,4,4,4.0,4130000
2,Club Atlético de Madrid,Daniel Wass,MD,26,58,2,1,76,3.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,3420000
2,Club Atlético de Madrid,Héctor Herrera,MD,15,21,0,0,68,3.8,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,1990000
2,Club Atlético de Madrid,Carlos Martín,MD,12,0,0,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
2,Club Atlético de Madrid,Javi Serrano,MD,18,3,1,2,0,0,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8,610000
2,Club Atlético de Madrid,Correa,DL,18,61,0,0,166,5.4,"['-7', '-', '-', '3', '4']",-7,0,0,3,4,0.0,12710000
2,Club Atlético de Madrid,Luis Suárez,DL,24,55,5,4,160,5.2,"['4', '15', '4', '-', '5']",4,15,4,0,5,5.6,10240000
2,Club Atlético de Madrid,João Félix,DL,3,39,0,1,150,6.3,"['7', '18', '3', '1', '-']",7,18,3,1,0,5.8,15190000
2,Club Atlético de Madrid,Griezmann,DL,5,61,0,0,116,4.8,"['5', '4', '4', '2', '4']",5,4,4,2,4,3.8,12390000
2,Club Atlético de Madrid,Matheus Cunha,DL,1,15,0,0,109,4.5,"['-', '9', '2', '7', '0']",0,9,2,7,0,3.6,5640000
