Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
2,Club Atlético de Madrid,Oblak,PT,107,3.2,3930000,100,"['8', '1', '4', '3', '7']",8,1,4,3,7,4.6
2,Club Atlético de Madrid,Lecomte,PT,0,0,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Savic,DF,103,4.3,4280000,73,"['6', '2', '4', '1', '6']",6,2,4,1,6,3.8
2,Club Atlético de Madrid,Mario Hermoso,DF,96,3.8,2250000,61,"['-', '-', '-', '-', '9']",0,0,0,0,9,1.8
2,Club Atlético de Madrid,José Giménez,DF,95,4.8,3250000,61,"['5', '4', '-', '-', '-']",5,4,0,0,0,1.8
2,Club Atlético de Madrid,Renan Lodi,DF,85,3.3,3570000,36,"['3', '0', '2', '2', '5']",3,0,2,2,5,2.4
2,Club Atlético de Madrid,Felipe,DF,70,3.2,2020000,42,"['-', '-', '4', '4', '-']",0,0,4,4,0,1.6
2,Club Atlético de Madrid,Vrsaljko,DF,68,3.8,1590000,24,"['-', '6', '1', '2', '3']",0,6,1,2,3,2.4
2,Club Atlético de Madrid,Reinildo Mandava,DF,48,4,4300000,30,"['6', '4', '2', '4', '5']",6,4,2,4,5,4.2
2,Club Atlético de Madrid,Ferreira Carrasco,MD,168,5.8,8190000,70,"['-', '4', '7', '17', '8']",0,4,7,17,8,7.2
2,Club Atlético de Madrid,Rodrigo de Paul,MD,151,4.9,6710000,64,"['7', '4', '4', '3', '7']",7,4,4,3,7,5.0
2,Club Atlético de Madrid,Lemar,MD,114,5,5610000,52,"['-', '2', '2', '2', '-']",0,2,2,2,0,1.2
2,Club Atlético de Madrid,Kondogbia,MD,111,4.8,4100000,48,"['4', '4', '4', '-1', '-']",4,4,4,-1,0,2.2
2,Club Atlético de Madrid,Marcos Llorente,MD,103,4.1,7760000,76,"['5', '2', '4', '3', '2']",5,2,4,3,2,3.2
2,Club Atlético de Madrid,Koke,MD,102,3.9,4130000,76,"['10', '-', '2', '4', '4']",10,0,2,4,4,4.0
2,Club Atlético de Madrid,Daniel Wass,MD,76,3.8,3420000,58,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Héctor Herrera,MD,68,3.8,1990000,21,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4
2,Club Atlético de Madrid,Carlos Martín,MD,3,3,270000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Javi Serrano,MD,0,0,610000,3,"['-', '-', '-', '-', '4']",0,0,0,0,4,0.8
2,Club Atlético de Madrid,Correa,DL,166,5.4,12710000,61,"['-7', '-', '-', '3', '4']",-7,0,0,3,4,0.0
2,Club Atlético de Madrid,Luis Suárez,DL,160,5.2,10240000,55,"['4', '15', '4', '-', '5']",4,15,4,0,5,5.6
2,Club Atlético de Madrid,João Félix,DL,150,6.3,15190000,39,"['7', '18', '3', '1', '-']",7,18,3,1,0,5.8
2,Club Atlético de Madrid,Griezmann,DL,116,4.8,12390000,61,"['5', '4', '4', '2', '4']",5,4,4,2,4,3.8
2,Club Atlético de Madrid,Matheus Cunha,DL,109,4.5,5640000,15,"['-', '9', '2', '7', '0']",0,9,2,7,0,3.6
