Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games,Value
17,Cádiz CF,Jeremías Ledesma,PT,33,100,0,0,159,4.8,"['7', '6', '-1', '12', '9']",7,6,-1,12,9,6.6,3010000
17,Cádiz CF,David Gil,PT,32,0,2,2,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
17,Cádiz CF,Espino,DF,29,97,6,2,132,4.1,"['5', '2', '2', '0', '2']",5,2,2,0,2,2.2,3200000
17,Cádiz CF,Fali,DF,27,58,5,2,81,3.4,"['-', '-', '-', '8', '4']",0,0,0,8,4,2.4,930000
17,Cádiz CF,Akapo,DF,23,52,0,0,78,3.7,"['6', '9', '5', '4', '0']",6,9,5,4,0,4.8,1580000
17,Cádiz CF,Víctor Chust,DF,24,58,0,2,76,3.3,"['6', '5', '1', '2', '2']",6,5,1,2,2,3.2,1630000
17,Cádiz CF,Varazdat Haroyan,DF,27,48,3,1,64,3.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,540000
17,Cádiz CF,Iza Carcelén,DF,21,48,0,0,63,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,880000
17,Cádiz CF,Luis Hernández,DF,21,30,2,1,50,4.5,"['8', '5', '1', '6', '4']",8,5,1,6,4,4.8,1820000
17,Cádiz CF,Arzamendia,DF,17,15,1,0,32,2.5,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,470000
17,Cádiz CF,Cala,DF,21,30,0,0,24,1.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,500000
17,Cádiz CF,Raúl Parra,DF,21,3,0,1,3,1.5,"['-', '-', '-', '3', '-']",0,0,0,3,0,0.6,210000
17,Cádiz CF,Álex Fernández,MD,28,52,2,1,96,3.6,"['-', '-', '3', '2', '5']",0,0,3,2,5,2.0,1710000
17,Cádiz CF,Jens Jonsson,MD,19,48,0,1,83,4,"['-', '-', '-', '6', '-']",0,0,0,6,0,1.2,920000
17,Cádiz CF,Tomás Alarcón,MD,13,45,0,0,77,4.1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1300000
17,Cádiz CF,Salvi,MD,11,52,0,0,69,3.3,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,930000
17,Cádiz CF,Rubén Alcaraz,MD,11,30,2,0,68,6.2,"['5', '4', '2', '-', '4']",5,4,2,0,4,3.0,5250000
17,Cádiz CF,Iván Alejo,MD,11,27,0,0,67,3.9,"['2', '2', '11', '4', '7']",2,2,11,4,7,5.2,840000
17,Cádiz CF,Alberto Perea,MD,17,24,2,2,49,2.7,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,700000
17,Cádiz CF,Fede San Emeterio,MD,18,30,0,1,30,2.7,"['3', '1', '1', '2', '0']",3,1,1,2,0,1.4,740000
17,Cádiz CF,Álvaro Bastida,MD,8,6,1,1,14,2,"['3', '-2', '-', '4', '3']",3,-2,0,4,3,1.6,300000
17,Cádiz CF,José Mari,MD,10,3,2,1,14,2.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,450000
17,Cádiz CF,Kike Carrasco,MD,13,0,1,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
17,Cádiz CF,Negredo,DL,9,64,0,0,148,5.1,"['5', '6', '4', '-', '11']",5,6,4,0,11,5.2,6450000
17,Cádiz CF,Choco Lozano,DL,10,64,0,0,110,4.1,"['4', '1', '2', '-', '4']",4,1,2,0,4,2.2,2800000
17,Cádiz CF,Lucas Pérez,DL,6,67,0,0,108,3.9,"['6', '3', '4', '7', '11']",6,3,4,7,11,6.2,4660000
17,Cádiz CF,Sobrino,DL,9,45,0,0,83,2.9,"['10', '2', '2', '0', '8']",10,2,2,0,8,4.4,1370000
17,Cádiz CF,Idrissi,DL,5,27,0,0,55,4.2,"['4', '2', '4', '-', '6']",4,2,4,0,6,3.2,2490000
17,Cádiz CF,Iván Chapela,DL,6,12,0,0,23,2.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000
17,Cádiz CF,Florin Andone,DL,3,3,0,0,13,2.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,430000
