Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
15,Cádiz CF,Jeremías Ledesma,PT,15,5,3740000,100,"['10', '0', '5', 0, 0]",10,0,5,0,0,3.0
15,Cádiz CF,David Gil,PT,0,0,190000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Luis Hernández,DF,15,5,3080000,100,"['8', '6', '1', 0, 0]",8,6,1,0,0,3.0
15,Cádiz CF,Fali,DF,11,3.7,2080000,100,"['6', '3', '2', 0, 0]",6,3,2,0,0,2.2
15,Cádiz CF,Víctor Chust,DF,8,2.7,1330000,67,"['5', '1', '2', 0, 0]",5,1,2,0,0,1.6
15,Cádiz CF,Zaldua,DF,7,2.3,1930000,100,"['4', '2', '1', 0, 0]",4,2,1,0,0,1.4
15,Cádiz CF,Arzamendia,DF,4,1.3,620000,67,"['2', '4', '-1', 0, 0]",2,4,-1,0,0,1.0
15,Cádiz CF,Espino,DF,3,1,3340000,100,"['1', '2', '0', 0, 0]",1,2,0,0,0,0.6
15,Cádiz CF,Cala,DF,0,0,350000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Iza Carcelén,DF,0,0,400000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Momo Mbaye,DF,0,0,330000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,José Mari,MD,7,2.3,920000,67,"['1', '3', '3', 0, 0]",1,3,3,0,0,1.4
15,Cádiz CF,Awer Mabil,MD,6,2,1750000,33,"['4', '2', '0', 0, 0]",4,2,0,0,0,1.2
15,Cádiz CF,Fede San Emeterio,MD,5,2.5,640000,0,"['-', '4', '1', 0, 0]",0,4,1,0,0,1.0
15,Cádiz CF,Mamady Diarra,MD,4,2,360000,33,"['2', '2', '-', 0, 0]",2,2,0,0,0,0.8
15,Cádiz CF,Tomás Alarcón,MD,3,1.5,690000,33,"['2', '2', '-1', 0, 0]",2,2,-1,0,0,0.6
15,Cádiz CF,Iván Alejo,MD,3,1,720000,33,"['4', '-1', '-', 0, 0]",4,-1,0,0,0,0.6
15,Cádiz CF,Alberto Perea,MD,2,2,540000,33,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
15,Cádiz CF,Álex Fernández,MD,2,2,1880000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
15,Cádiz CF,Antonio Blanco,MD,1,1,1050000,33,"['-', '-', '1', 0, 0]",0,0,1,0,0,0.2
15,Cádiz CF,Brian Ocampo,MD,0,0,720000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Álvaro Bastida,MD,0,0,240000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Martín Calderón,MD,0,0,240000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Rubén Alcaraz,MD,0,0,2590000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Jon Ander Garrido,MD,0,0,200000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Pombo,MD,0,0,280000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Bongonda,MD,0,0,1930000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Negredo,DL,9,3,3470000,33,"['2', '2', '5', 0, 0]",2,2,5,0,0,1.8
15,Cádiz CF,Lucas Pérez,DL,5,1.7,5020000,67,"['1', '2', '2', 0, 0]",1,2,2,0,0,1.0
15,Cádiz CF,Choco Lozano,DL,5,1.7,3110000,100,"['4', '0', '1', 0, 0]",4,0,1,0,0,1.0
15,Cádiz CF,Iván Chapela,DL,0,0,270000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Álvaro Giménez,DL,0,0,240000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
15,Cádiz CF,Sobrino,DL,0,0,1360000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
