Player,Matchs,Goals,Assists
Luis Hernández,3,0,0
Jeremías Ledesma,3,0,0
Joseba Zaldúa,3,0,0
Anthony Lozano,3,0,0
Alfonso Espino,3,0,0
Fali,3,0,0
Víctor Chust,3,0,0
Santiago Arzamendia,3,0,0
Lucas Pérez,3,0,0
José Mari,3,0,0
Iván Alejo,3,0,0
Awer Mabil,3,0,0
Álvaro Negredo,3,0,0
Tomás Alarcón,2,0,0
Mamady Diarra,2,0,0
Blanco,1,0,0
Alberto Perea,1,0,0
Fede S,2,0,0
Álex Fernández,1,0,0
Theo Bongonda,0,0,0
Cala,0,0,0
Karl Etta,0,0,0
David Gil,0,0,0
Álvaro Giménez,0,0,0
Kikín,0,0,0
Mamadou Mbaye,0,0,0
Curro Muñoz,0,0,0
Rubén Sobrino,0,0,0
