Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
16,Deportivo Alavés,Pacheco,PT,115,3.8,1960000,88,"['-2', '1', '11', '8', '1']",-2,1,11,8,1,3.8
16,Deportivo Alavés,Sivera,PT,8,2.7,260000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
16,Deportivo Alavés,Owono,PT,3,3,210000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
16,Deportivo Alavés,Laguardia,DF,117,3.9,2840000,88,"['2', '0', '2', '5', '2']",2,0,2,5,2,2.2
16,Deportivo Alavés,Rubén Duarte,DF,107,3.6,1750000,79,"['-1', '2', '1', '5', '3']",-1,2,1,5,3,2.0
16,Deportivo Alavés,Lejeune,DF,85,3.4,1610000,74,"['4', '2', '5', '6', '4']",4,2,5,6,4,4.2
16,Deportivo Alavés,Martín Aguirregabiria,DF,56,2.8,740000,47,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8
16,Deportivo Alavés,Miazga,DF,42,3.8,580000,26,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
16,Deportivo Alavés,Nahuel Tenaglia,DF,38,3.8,1200000,26,"['1', '2', '7', '5', '-']",1,2,7,5,0,3.0
16,Deportivo Alavés,Ximo Navarro,DF,37,2.6,600000,35,"['-', '0', '-3', '8', '2']",0,0,-3,8,2,1.4
16,Deportivo Alavés,Javi López Carballo,DF,11,1.6,280000,12,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
16,Deportivo Alavés,Saúl García,DF,3,3,270000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
16,Deportivo Alavés,Alexandru Tirlea,DF,2,2,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
16,Deportivo Alavés,Keller,DF,0,0,260000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
16,Deportivo Alavés,Luis Rioja,MD,105,3.2,2740000,94,"['7', '0', '4', '2', '3']",7,0,4,2,3,3.2
16,Deportivo Alavés,Mamadou Loum,MD,98,3.5,1580000,65,"['1', '3', '2', '2', '4']",1,3,2,2,4,2.4
16,Deportivo Alavés,Edgar Méndez,MD,86,3,1160000,44,"['5', '7', '4', '5', '2']",5,7,4,5,2,4.6
16,Deportivo Alavés,Toni Moya,MD,77,3,940000,47,"['0', '-', '1', '-', '-']",0,0,1,0,0,0.2
16,Deportivo Alavés,Manu García Alonso,MD,73,3.5,600000,24,"['-', '-', '-', '6', '2']",0,0,0,6,2,1.6
16,Deportivo Alavés,Tomás Pina,MD,66,2.5,800000,44,"['-', '4', '1', '2', '4']",0,4,1,2,4,2.2
16,Deportivo Alavés,Gonzalo Escalante,MD,63,4.5,3190000,35,"['10', '9', '5', '4', '4']",10,9,5,4,4,6.4
16,Deportivo Alavés,Pere Pons,MD,47,2.1,670000,44,"['2', '2', '-', '-', '-']",2,2,0,0,0,0.8
16,Deportivo Alavés,Facundo Pellistri,MD,41,2,550000,18,"['-', '1', '1', '-', '3']",0,1,1,0,3,1.0
16,Deportivo Alavés,Jason,MD,37,2.5,890000,24,"['4', '-', '-', '2', '-']",4,0,0,2,0,1.2
16,Deportivo Alavés,Joselu,DL,222,6.7,12290000,91,"['4', '4', '2', '12', '7']",4,4,2,12,7,5.8
16,Deportivo Alavés,Manu Vallejo,DL,47,2.8,1270000,6,"['14', '2', '1', '-', '-']",14,2,1,0,0,3.4
16,Deportivo Alavés,Miguel de la Fuente,DL,45,2.4,480000,21,"['2', '2', '-', '2', '2']",2,2,0,2,2,1.6
16,Deportivo Alavés,Guidetti,DL,27,2.7,450000,6,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
