Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_2,J_1,J_0,J_-1,J_-2,Avg_last_5_games
17,Elche CF,Édgar Badía,PT,9,4.5,3000000,100,"['2', '7', 0, 0, 0]",2,7,0,0,0,1.8
17,Elche CF,Axel Werner,PT,0,0,310000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
17,Elche CF,Johan Mojica,DF,8,4,4150000,100,"['1', '7', 0, 0, 0]",1,7,0,0,0,1.6
17,Elche CF,Bigas,DF,6,3,1350000,100,"['0', '6', 0, 0, 0]",0,6,0,0,0,1.2
17,Elche CF,Pol Lirola,DF,6,6,1100000,50,"['-', '6', 0, 0, 0]",0,6,0,0,0,1.2
17,Elche CF,Helibelton Palacios,DF,4,4,1650000,50,"['-2', '6', 0, 0, 0]",-2,6,0,0,0,0.8
17,Elche CF,Enzo Roco,DF,4,2,1690000,100,"['4', '-', 0, 0, 0]",4,0,0,0,0,0.8
17,Elche CF,Diego González,DF,2,2,480000,0,"['2', '-', 0, 0, 0]",2,0,0,0,0,0.4
17,Elche CF,Clerc,DF,0,0,530000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
17,Elche CF,Gonzalo Verdú,DF,0,0,670000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
17,Elche CF,John Donald,DF,-8,-8,220000,50,"['-8', '-', 0, 0, 0]",-8,0,0,0,0,-1.6
17,Elche CF,Álex Collado,MD,8,8,2060000,50,"['-', '8', 0, 0, 0]",0,8,0,0,0,1.6
17,Elche CF,Gumbau,MD,7,3.5,1810000,100,"['2', '5', 0, 0, 0]",2,5,0,0,0,1.4
17,Elche CF,Josan,MD,4,2,1180000,0,"['-', '5', 0, 0, 0]",0,5,0,0,0,1.0
17,Elche CF,Domingos Quina,MD,4,4,960000,0,"['2', '2', 0, 0, 0]",2,2,0,0,0,0.8
17,Elche CF,Omar Mascarell,MD,3,1.5,2160000,100,"['1', '2', 0, 0, 0]",1,2,0,0,0,0.6
17,Elche CF,Tete Morente,MD,3,1.5,1270000,50,"['0', '3', 0, 0, 0]",0,3,0,0,0,0.6
17,Elche CF,Pastore,MD,1,1,400000,0,"['1', '-', 0, 0, 0]",1,0,0,0,0,0.2
17,Elche CF,Fidel,MD,1,1,3890000,50,"['-', '1', 0, 0, 0]",0,1,0,0,0,0.2
17,Elche CF,Álex Alfaro,MD,0,0,200000,0,"['1', '-', 0, 0, 0]",1,0,0,0,0,0.2
17,Elche CF,Raúl Guti,MD,0,0,700000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
17,Elche CF,Ezequiel Ponce,DL,7,3.5,1610000,50,"['3', '4', 0, 0, 0]",3,4,0,0,0,1.4
17,Elche CF,Pere Milla,DL,6,3,4030000,50,"['1', '5', 0, 0, 0]",1,5,0,0,0,1.2
17,Elche CF,Roger,DL,6,3,4910000,100,"['-', '4', 0, 0, 0]",0,4,0,0,0,0.8
17,Elche CF,Lucas Boyé,DL,4,4,5390000,0,"['2', '2', 0, 0, 0]",2,2,0,0,0,0.8
