Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
17,Elche CF,Édgar Badía,PT,19,6.3,2930000,100,"['2', '7', '10', 0, 0]",2,7,10,0,0,3.8
17,Elche CF,Axel Werner,PT,0,0,290000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
17,Elche CF,Bigas,DF,10,3.3,1600000,100,"['1', '7', '2', 0, 0]",1,7,2,0,0,2.0
17,Elche CF,Johan Mojica,DF,10,3.3,4030000,100,"['0', '6', '4', 0, 0]",0,6,4,0,0,2.0
17,Elche CF,Helibelton Palacios,DF,8,4,1530000,33,"['4', '-', '4', 0, 0]",4,0,4,0,0,1.6
17,Elche CF,Pol Lirola,DF,7,3.5,1460000,67,"['-', '6', '1', 0, 0]",0,6,1,0,0,1.4
17,Elche CF,Enzo Roco,DF,6,2,1690000,100,"['-2', '6', '2', 0, 0]",-2,6,2,0,0,1.2
17,Elche CF,Diego González,DF,2,2,460000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
17,Elche CF,Clerc,DF,0,0,520000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
17,Elche CF,Gonzalo Verdú,DF,0,0,630000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
17,Elche CF,John Donald,DF,-8,-8,240000,33,"['-8', '-', '-', 0, 0]",-8,0,0,0,0,-1.6
17,Elche CF,Álex Collado,MD,16,8,2520000,67,"['-', '8', '8', 0, 0]",0,8,8,0,0,3.2
17,Elche CF,Gumbau,MD,9,3,1710000,100,"['2', '5', '2', 0, 0]",2,5,2,0,0,1.8
17,Elche CF,Domingos Quina,MD,8,4,890000,0,"['-', '5', '4', 0, 0]",0,5,4,0,0,1.8
17,Elche CF,Omar Mascarell,MD,6,2,2010000,100,"['1', '2', '3', 0, 0]",1,2,3,0,0,1.2
17,Elche CF,Tete Morente,MD,5,1.7,1150000,67,"['0', '3', '2', 0, 0]",0,3,2,0,0,1.0
17,Elche CF,Josan,MD,4,2,1080000,0,"['2', '2', '-', 0, 0]",2,2,0,0,0,0.8
17,Elche CF,Raúl Guti,MD,4,4,730000,0,"['-', '-', '4', 0, 0]",0,0,4,0,0,0.8
17,Elche CF,Pastore,MD,1,1,490000,0,"['1', '-', '-', 0, 0]",1,0,0,0,0,0.2
17,Elche CF,Fidel,MD,1,1,3580000,33,"['-', '1', '-', 0, 0]",0,1,0,0,0,0.2
17,Elche CF,Álex Alfaro,MD,0,0,210000,0,"['1', '-', '-', 0, 0]",1,0,0,0,0,0.2
17,Elche CF,Pere Milla,DL,10,3.3,3770000,33,"['3', '4', '2', 0, 0]",3,4,2,0,0,1.8
17,Elche CF,Ezequiel Ponce,DL,9,3,1930000,67,"['1', '5', '2', 0, 0]",1,5,2,0,0,1.6
17,Elche CF,Roger,DL,8,2.7,4860000,100,"['2', '2', '4', 0, 0]",2,2,4,0,0,1.6
17,Elche CF,Lucas Boyé,DL,5,2.5,5380000,0,"['-', '4', '1', 0, 0]",0,4,1,0,0,1.0
