Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
5,FC Barcelona,Neto,PT,2,11,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,390000
5,FC Barcelona,Jordi Alba,DF,13,72,0,4,76,5.8,"['6', '5', '-', '4', '-']",6,5,0,4,0,3.0,7240000
5,FC Barcelona,Ronald Araujo,DF,14,50,2,0,70,5,"['7', '6', '4', '4', '-']",7,6,4,4,0,4.2,6010000
5,FC Barcelona,Piqué,DF,15,72,1,0,69,4.6,"['4', '4', '7', '-', '-']",4,4,7,0,0,3.0,5460000
5,FC Barcelona,Sergiño Dest,DF,12,61,0,3,62,5.2,"['-', '1', '-', '-', '-']",0,1,0,0,0,0.2,3760000
5,FC Barcelona,Mingueza,DF,12,39,0,0,42,3.5,"['2', '-', '2', '-', '-']",2,0,2,0,0,0.8,1900000
5,FC Barcelona,Eric García,DF,13,72,0,0,40,3.1,"['1', '-', '-', '4', '-']",1,0,0,4,0,1.0,3260000
5,FC Barcelona,Lenglet,DF,9,22,0,1,29,3.2,"['-', '6', '-', '7', '-']",0,6,0,7,0,2.6,1390000
5,FC Barcelona,Umtiti,DF,1,6,0,0,4,4,"['-', '-', '4', '-', '-']",0,0,4,0,0,0.8,590000
5,FC Barcelona,Alejandro Balde,DF,4,6,0,0,3,0.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,550000
5,FC Barcelona,Sergio Busquets,MD,18,100,1,0,102,5.7,"['4', '9', '5', '2', '-']",4,9,5,2,0,4.0,8970000
5,FC Barcelona,Gavi,MD,16,72,1,3,66,4.4,"['4', '2', '10', '11', '-']",4,2,10,11,0,5.4,9390000
5,FC Barcelona,Coutinho,MD,12,28,2,0,47,3.9,"['13', '3', '2', '-', '-']",13,3,2,0,0,3.6,3720000
5,FC Barcelona,Sergi Roberto,MD,9,22,2,1,41,4.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2180000
5,FC Barcelona,Riqui Puig,MD,9,0,0,0,22,2.4,"['-', '2', '-', '3', '-']",0,2,0,3,0,1.0,1570000
5,FC Barcelona,Pedri,MD,2,11,0,0,6,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,7070000
5,FC Barcelona,Depay,DL,15,83,8,2,130,8.7,"['8', '4', '-', '-', '-']",8,4,0,0,0,2.4,17710000
5,FC Barcelona,Ansu Fati,DL,5,17,3,0,42,8.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,15660000
5,FC Barcelona,Abde Ezzalzouli,DL,8,28,1,0,40,5,"['5', '2', '9', '7', '-']",5,2,9,7,0,4.6,4750000
5,FC Barcelona,Dembélé,DL,5,17,0,2,34,6.8,"['2', '5', '6', '10', '-']",2,5,6,10,0,4.6,10900000
5,FC Barcelona,Luuk de Jong,DL,9,17,1,0,34,3.8,"['-', '3', '4', '-', '-']",0,3,4,0,0,1.4,3700000
5,FC Barcelona,Braithwaite,DL,3,17,2,1,22,7.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2300000
5,FC Barcelona,Demir,DL,6,11,0,0,13,2.2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1420000
5,FC Barcelona,Ferrán Jutglà,DL,3,11,1,0,11,5.5,"['-', '-', '-', '9', '-']",0,0,0,9,0,1.8,1180000
5,FC Barcelona,Ilias Akhomach,DL,1,6,0,0,4,4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1440000
