Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_2,J_1,J_0,J_-1,J_-2,Avg_last_5_games
5,FC Barcelona,Ter Stegen,PT,15,7.5,5870000,100,"['8', '7', 0, 0, 0]",8,7,0,0,0,3.0
5,FC Barcelona,Iñaki Peña,PT,0,0,700000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Eric García,DF,10,5,2730000,100,"['6', '4', 0, 0, 0]",6,4,0,0,0,2.0
5,FC Barcelona,Christensen,DF,10,5,5140000,100,"['5', '5', 0, 0, 0]",5,5,0,0,0,2.0
5,FC Barcelona,Ronald Araujo,DF,7,3.5,9260000,100,"['4', '3', 0, 0, 0]",4,3,0,0,0,1.4
5,FC Barcelona,Alejandro Balde,DF,5,5,610000,50,"['2', '3', 0, 0, 0]",2,3,0,0,0,1.0
5,FC Barcelona,Jordi Alba,DF,5,2.5,7540000,50,"['-', '5', 0, 0, 0]",0,5,0,0,0,1.0
5,FC Barcelona,Kounde,DF,0,0,10550000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Piqué,DF,0,0,3230000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Sergiño Dest,DF,0,0,1230000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Umtiti,DF,0,0,280000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Pedri,MD,14,7,17480000,100,"['5', '9', 0, 0, 0]",5,9,0,0,0,2.8
5,FC Barcelona,De Jong,MD,11,5.5,6520000,50,"['6', '5', 0, 0, 0]",6,5,0,0,0,2.2
5,FC Barcelona,Sergi Roberto,MD,6,3,830000,0,"['2', '4', 0, 0, 0]",2,4,0,0,0,1.2
5,FC Barcelona,Gavi,MD,6,3,12500000,100,"['2', '4', 0, 0, 0]",2,4,0,0,0,1.2
5,FC Barcelona,Kessié,MD,4,2,5290000,0,"['2', '2', 0, 0, 0]",2,2,0,0,0,0.8
5,FC Barcelona,Sergio Busquets,MD,3,3,9140000,50,"['3', '-', 0, 0, 0]",3,0,0,0,0,0.6
5,FC Barcelona,Pjanic,MD,0,0,1190000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Álvaro Sanz,MD,0,0,220000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Lewandowski,DL,23,11.5,33080000,100,"['6', '17', 0, 0, 0]",6,17,0,0,0,4.6
5,FC Barcelona,Ansu Fati,DL,20,10,16610000,0,"['4', '16', 0, 0, 0]",4,16,0,0,0,4.0
5,FC Barcelona,Dembélé,DL,15,7.5,19300000,100,"['7', '8', 0, 0, 0]",7,8,0,0,0,3.0
5,FC Barcelona,Raphinha,DL,10,5,19110000,50,"['6', '4', 0, 0, 0]",6,4,0,0,0,2.0
5,FC Barcelona,Aubameyang,DL,3,3,10990000,0,"['3', '-', 0, 0, 0]",3,0,0,0,0,0.6
5,FC Barcelona,Ferrán Torres,DL,2,2,8420000,50,"['-', '2', 0, 0, 0]",0,2,0,0,0,0.4
5,FC Barcelona,Depay,DL,0,0,4880000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Abde Ezzalzouli,DL,0,0,2180000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Ilias Akhomach,DL,0,0,340000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Estanis,DL,0,0,220000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
5,FC Barcelona,Braithwaite,DL,0,0,1720000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
