Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
5,FC Barcelona,Ter Stegen,PT,131,4.4,5330000,94,"['10', '8', '9', '4', '11']",10,8,9,4,11,8.4
5,FC Barcelona,Neto,PT,6,3,460000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Jordi Alba,DF,161,6.4,12790000,78,"['6', '8', '6', '9', '2']",6,8,6,9,2,6.2
5,FC Barcelona,Ronald Araujo,DF,142,5.7,7860000,63,"['13', '8', '4', '-', '4']",13,8,4,0,4,5.8
5,FC Barcelona,Piqué,DF,136,5.2,6800000,75,"['7', '8', '-', '-', '7']",7,8,0,0,7,4.4
5,FC Barcelona,Eric García,DF,86,3.7,3210000,63,"['8', '-', '7', '6', '3']",8,0,7,6,3,4.8
5,FC Barcelona,Sergiño Dest,DF,86,4.3,2550000,50,"['-', '-', '-', '4', '4']",0,0,0,4,4,1.6
5,FC Barcelona,Mingueza,DF,56,3.5,1050000,25,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Dani Alves,DF,54,6,6550000,25,"['2', '9', '1', '-', '4']",2,9,1,0,4,3.2
5,FC Barcelona,Lenglet,DF,36,2.3,1340000,16,"['-', '-', '-4', '2', '2']",0,0,-4,2,2,0.0
5,FC Barcelona,Umtiti,DF,4,4,320000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Alejandro Balde,DF,3,0.8,380000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Sergio Busquets,MD,185,6,9150000,97,"['7', '5', '5', '7', '8']",7,5,5,7,8,6.4
5,FC Barcelona,De Jong,MD,150,5.6,12500000,78,"['6', '5', '2', '4', '9']",6,5,2,4,9,5.2
5,FC Barcelona,Gavi,MD,119,4.4,8300000,69,"['3', '4', '5', '5', '3']",3,4,5,5,3,4.0
5,FC Barcelona,Nico González,MD,90,3.5,3790000,38,"['2', '-', '2', '-', '-']",2,0,2,0,0,0.8
5,FC Barcelona,Pedri,MD,82,6.8,13900000,31,"['6', '13', '10', '-', '-']",6,13,10,0,0,5.8
5,FC Barcelona,Sergi Roberto,MD,41,4.6,920000,13,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Riqui Puig,MD,39,3.5,880000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Álvaro Sanz,MD,3,1.5,280000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Depay,DL,161,7.3,10000000,50,"['2', '2', '-', '3', '-']",2,2,0,3,0,1.4
5,FC Barcelona,Dembélé,DL,133,8.3,20170000,38,"['11', '11', '11', '11', '2']",11,11,11,11,2,9.2
5,FC Barcelona,Aubameyang,DL,89,8.1,26770000,25,"['18', '5', '9', '1', '8']",18,5,9,1,8,8.2
5,FC Barcelona,Luuk de Jong,DL,88,4.9,2990000,19,"['-', '-', '9', '1', '2']",0,0,9,1,2,2.4
5,FC Barcelona,Ferrán Torres,DL,75,6.3,20530000,34,"['15', '4', '5', '2', '9']",15,4,5,2,9,7.0
5,FC Barcelona,Abde Ezzalzouli,DL,44,4.4,1940000,19,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Ansu Fati,DL,42,8.4,14120000,9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Adama Traoré,DL,36,4.5,11180000,9,"['2', '-', '2', '5', '-']",2,0,2,5,0,1.8
5,FC Barcelona,Braithwaite,DL,24,6,1370000,9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Ferrán Jutglà,DL,21,4.2,1230000,13,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Ilias Akhomach,DL,12,6,860000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
5,FC Barcelona,Estanis,DL,2,2,270000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
