Player,Matchs,Goals,Assists
Eric García,3,0,0
Robert Lewandowski,3,4,0
Marc-André t,3,0,0
Pedri,3,1,0
Ousmane Dembélé,3,1,2
Ronald Araújo,3,0,0
Gavi Paez,3,0,0
Sergio Busquets,2,0,0
Alejandro Balde,2,0,1
Andreas Christensen,2,0,0
Raphinha,3,0,1
Frenkie ,3,0,0
Jordi Alba,2,0,0
Jules Koundé,1,0,0
Ferrán Torres,2,0,0
Ansu Fati,3,1,2
Sergi Roberto,3,1,0
Franck Kessié,3,0,0
Pierre-Emerick Aubameyang,1,0,0
Memphis Depay,0,0,0
Iñaki Pe,0,0,0
Gerard Piqué,0,0,0
Miralem Pjanić,0,0,0
Arnau Tenas,0,0,0
Pablo Torre,0,0,0
