Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
6,Getafe CF,David Soria,PT,18,100,0,0,75,4.2,"['7', '8', '2', '8', '-']",7,8,2,8,0,5.0,3070000
6,Getafe CF,Rubén Yáñez,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,230000
6,Getafe CF,Diego Conde,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,170000
6,Getafe CF,Damián Suárez,DF,16,78,0,3,86,5.4,"['7', '0', '6', '7', '-']",7,0,6,7,0,4.0,3900000
6,Getafe CF,Mathías Olivera,DF,16,89,1,0,70,4.4,"['5', '5', '7', '7', '-']",5,5,7,7,0,4.8,2410000
6,Getafe CF,Jorge Cuenca,DF,15,78,1,0,68,4.5,"['5', '5', '4', '4', '-']",5,5,4,4,0,3.6,1860000
6,Getafe CF,Mitrovic,DF,14,72,1,0,50,3.6,"['6', '6', '3', '4', '-']",6,6,3,4,0,3.8,1850000
6,Getafe CF,Djené,DF,17,94,0,0,44,2.6,"['4', '3', '4', '5', '-']",4,3,4,5,0,3.2,1650000
6,Getafe CF,Juan Iglesias,DF,10,22,0,0,26,2.6,"['-', '-', '4', '-', '-']",0,0,4,0,0,0.8,660000
6,Getafe CF,Jonathan Silva,DF,7,0,0,0,10,1.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,640000
6,Getafe CF,Cabaco,DF,4,11,0,1,7,1.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,370000
6,Getafe CF,Chema,DF,1,6,0,0,1,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
6,Getafe CF,Maksimovic,MD,18,100,0,1,76,4.2,"['2', '10', '7', '8', '-']",2,10,7,8,0,5.4,4380000
6,Getafe CF,Mauro Arambarri,MD,15,83,0,2,76,5.1,"['6', '4', '4', '6', '-']",6,4,4,6,0,4.0,4530000
6,Getafe CF,Aleñá,MD,17,94,0,2,49,2.9,"['3', '5', '4', '2', '-']",3,5,4,2,0,2.8,2530000
6,Getafe CF,Florentino Luís,MD,10,28,0,1,35,3.5,"['4', '-', '-', '-', '-']",4,0,0,0,0,0.8,1230000
6,Getafe CF,Jankto,MD,7,17,0,0,17,2.4,"['-', '2', '2', '3', '-']",0,2,2,3,0,1.4,880000
6,Getafe CF,Timor,MD,7,17,0,0,13,1.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,410000
6,Getafe CF,Vitolo,MD,6,6,0,0,12,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1330000
6,Getafe CF,Nyom,MD,4,17,0,0,10,2.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,570000
6,Getafe CF,Enes Ünal,DL,18,78,5,0,88,4.9,"['4', '4', '10', '7', '-']",4,4,10,7,0,5.0,5960000
6,Getafe CF,Sandro Ramírez,DL,13,61,2,0,44,3.4,"['2', '2', '2', '3', '-']",2,2,2,3,0,1.8,3600000
6,Getafe CF,Jaime Mata,DL,15,17,1,0,42,2.8,"['1', '4', '1', '-', '-']",1,4,1,0,0,1.2,1720000
6,Getafe CF,Darío Poveda,DL,13,17,1,0,34,2.6,"['-', '-', '1', '10', '-']",0,0,1,10,0,2.2,630000
