Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
6,Getafe CF,David Soria,PT,11,3.7,3570000,100,"['0', '4', '11', 0, 0]",0,4,11,0,0,3.0
6,Getafe CF,Diego Conde,PT,0,0,230000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Kiko Casilla,PT,0,0,290000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Juan Iglesias,DF,13,4.3,1120000,100,"['5', '3', '4', 0, 0]",5,3,4,0,0,2.4
6,Getafe CF,Domingos Duarte,DF,11,3.7,2130000,100,"['4', '-1', '7', 0, 0]",4,-1,7,0,0,2.0
6,Getafe CF,Djené,DF,6,2,2200000,100,"['1', '0', '4', 0, 0]",1,0,4,0,0,1.0
6,Getafe CF,Gastón Álvarez,DF,4,4,630000,33,"['-', '-', '4', 0, 0]",0,0,4,0,0,0.8
6,Getafe CF,Kofi,DF,0,0,510000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Omar Alderete,DF,0,0,2130000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Damián Suárez,DF,0,0,2450000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Mitrovic,DF,-1,-0.5,1180000,67,"['-1', '0', '-', 0, 0]",-1,0,0,0,0,-0.2
6,Getafe CF,Angileri,DF,-2,-1,1720000,67,"['1', '-3', '-', 0, 0]",1,-3,0,0,0,-0.4
6,Getafe CF,Mauro Arambarri,MD,15,5,4570000,100,"['6', '4', '5', 0, 0]",6,4,5,0,0,3.0
6,Getafe CF,Maksimovic,MD,6,2,3710000,67,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2
6,Getafe CF,Jaime Seoane,MD,6,2,1870000,33,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2
6,Getafe CF,Aleñá,MD,3,1,1550000,100,"['0', '1', '2', 0, 0]",0,1,2,0,0,0.6
6,Getafe CF,Moi Parra,MD,0,0,290000,0,"['3', '-', '-', 0, 0]",3,0,0,0,0,0.6
6,Getafe CF,Luis Milla,MD,0,0,5230000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
6,Getafe CF,Enes Ünal,DL,19,6.3,13000000,100,"['4', '11', '4', 0, 0]",4,11,4,0,0,3.8
6,Getafe CF,Portu,DL,7,2.3,5480000,33,"['3', '2', '4', 0, 0]",3,2,4,0,0,1.8
6,Getafe CF,Jaime Mata,DL,4,2,520000,0,"['-1', '1', '4', 0, 0]",-1,1,4,0,0,0.8
6,Getafe CF,Borja Mayoral,DL,3,1,6850000,100,"['2', '-', '2', 0, 0]",2,0,2,0,0,0.8
6,Getafe CF,Latasa,DL,2,2,1190000,0,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
