Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
6,Getafe CF,David Soria,PT,142,4.3,3280000,97,"['11', '7', '6', '2', '7']",11,7,6,2,7,6.6
6,Getafe CF,Diego Conde,PT,2,2,230000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Rubén Yáñez,PT,0,0,210000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Mathías Olivera,DF,129,4.6,4110000,82,"['7', '2', '0', '6', '2']",7,2,0,6,2,3.4
6,Getafe CF,Damián Suárez,DF,128,4.3,3650000,82,"['2', '2', '4', '5', '4']",2,2,4,5,4,3.4
6,Getafe CF,Mitrovic,DF,97,3.3,1710000,82,"['6', '7', '0', '-', '5']",6,7,0,0,5,3.6
6,Getafe CF,Djené,DF,97,3.2,2000000,88,"['2', '3', '5', '1', '4']",2,3,5,1,4,3.0
6,Getafe CF,Jorge Cuenca,DF,90,3.2,1960000,79,"['-8', '-', '2', '2', '5']",-8,0,2,2,5,0.2
6,Getafe CF,Juan Iglesias,DF,45,2.6,480000,15,"['2', '2', '-', '2', '-']",2,2,0,2,0,1.2
6,Getafe CF,Cabaco,DF,19,1.9,330000,15,"['-', '-', '4', '0', '-']",0,0,4,0,0,0.8
6,Getafe CF,Jonathan Silva,DF,13,1.4,470000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Kofi,DF,5,2.5,260000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Gastón Álvarez,DF,0,0,270000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Mauro Arambarri,MD,128,4.9,4430000,76,"['-', '2', '-', '4', '3']",0,2,0,4,3,1.8
6,Getafe CF,Maksimovic,MD,126,4.2,3250000,88,"['-', '2', '4', '1', '-']",0,2,4,1,0,1.4
6,Getafe CF,Óscar Rodríguez,MD,81,3.4,2980000,29,"['6', '4', '2', '5', '9']",6,4,2,5,9,5.2
6,Getafe CF,Aleñá,MD,80,2.8,1660000,82,"['1', '3', '2', '1', '-']",1,3,2,1,0,1.4
6,Getafe CF,Florentino Luís,MD,51,2.8,710000,24,"['-', '-', '2', '-', '3']",0,0,2,0,3,1.0
6,Getafe CF,Okay Yokuslu,MD,39,2.8,680000,9,"['5', '4', '-', '-', '-']",5,4,0,0,0,1.8
6,Getafe CF,Gonzalo Villar,MD,27,3.9,1150000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Jankto,MD,30,2.3,520000,15,"['4', '7', '5', '1', '-']",4,7,5,1,0,3.4
6,Getafe CF,Vitolo,MD,16,2.3,620000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Sabit Abdulai,MD,0,0,200000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,John Patrick,MD,0,0,230000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
6,Getafe CF,Enes Ünal,DL,196,6.1,9450000,82,"['12', '2', '4', '10', '6']",12,2,4,10,6,6.8
6,Getafe CF,Sandro Ramírez,DL,84,3.4,2400000,56,"['2', '3', '3', '4', '-']",2,3,3,4,0,2.4
6,Getafe CF,Borja Mayoral,DL,77,5.9,6190000,18,"['2', '10', '2', '3', '17']",2,10,2,3,17,6.8
6,Getafe CF,Jaime Mata,DL,56,2.5,770000,12,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6
