Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_2,J_1,J_0,J_-1,J_-2,Avg_last_5_games
18,Girona FC,Juan Carlos Martín,PT,4,2,2480000,100,"['2', '2', 0, 0, 0]",2,2,0,0,0,0.8
18,Girona FC,Santiago Bueno,DF,13,6.5,2310000,100,"['7', '6', 0, 0, 0]",7,6,0,0,0,2.6
18,Girona FC,Miguel Gutiérrez,DF,8,4,2440000,50,"['3', '5', 0, 0, 0]",3,5,0,0,0,1.6
18,Girona FC,Juanpe,DF,7,3.5,2600000,100,"['5', '2', 0, 0, 0]",5,2,0,0,0,1.4
18,Girona FC,Yan Couto,DF,6,3,820000,100,"['4', '2', 0, 0, 0]",4,2,0,0,0,1.2
18,Girona FC,David López,DF,3,1.5,1610000,100,"['2', '1', 0, 0, 0]",2,1,0,0,0,0.6
18,Girona FC,Valery,DF,2,2,1130000,50,"['2', '-', 0, 0, 0]",2,0,0,0,0,0.4
18,Girona FC,Arnau Martínez,DF,2,2,1890000,0,"['2', '-', 0, 0, 0]",2,0,0,0,0,0.4
18,Girona FC,Javi Hernández,DF,1,1,900000,0,"['-', '1', 0, 0, 0]",0,1,0,0,0,0.2
18,Girona FC,Bernardo,DF,0,0,2590000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
18,Girona FC,Aleix García,MD,14,7,3820000,100,"['6', '8', 0, 0, 0]",6,8,0,0,0,2.8
18,Girona FC,Yangel Herrera,MD,9,4.5,2280000,50,"['2', '7', 0, 0, 0]",2,7,0,0,0,1.8
18,Girona FC,Rodrigo Riquelme,MD,7,3.5,3380000,100,"['2', '5', 0, 0, 0]",2,5,0,0,0,1.4
18,Girona FC,Samu Sáiz,MD,4,2,2670000,50,"['1', '3', 0, 0, 0]",1,3,0,0,0,0.8
18,Girona FC,Ramón Terrats,MD,3,1.5,1270000,50,"['2', '1', 0, 0, 0]",2,1,0,0,0,0.6
18,Girona FC,Óscar Ureña,MD,3,3,790000,0,"['3', '-', 0, 0, 0]",3,0,0,0,0,0.6
18,Girona FC,Reinier,MD,2,2,1330000,0,"['-', '2', 0, 0, 0]",0,2,0,0,0,0.4
18,Girona FC,Iván Martín,MD,0,0,390000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
18,Girona FC,Borja García,MD,0,0,1240000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
18,Girona FC,Ibrahima Kébé,MD,0,0,300000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
18,Girona FC,Valentín Castellanos,DL,13,6.5,5870000,100,"['4', '9', 0, 0, 0]",4,9,0,0,0,2.6
18,Girona FC,Stuani,DL,10,5,10050000,50,"['2', '8', 0, 0, 0]",2,8,0,0,0,2.0
