Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
18,Girona FC,Juan Carlos Martín,PT,12,4,2410000,100,"['2', '2', '8', 0, 0]",2,2,8,0,0,2.4
18,Girona FC,Santiago Bueno,DF,19,6.3,2610000,100,"['7', '6', '6', 0, 0]",7,6,6,0,0,3.8
18,Girona FC,Miguel Gutiérrez,DF,14,4.7,2730000,67,"['3', '5', '6', 0, 0]",3,5,6,0,0,2.8
18,Girona FC,David López,DF,11,3.7,1850000,100,"['2', '1', '8', 0, 0]",2,1,8,0,0,2.2
18,Girona FC,Yan Couto,DF,10,3.3,1090000,100,"['4', '2', '4', 0, 0]",4,2,4,0,0,2.0
18,Girona FC,Juanpe,DF,9,3,2170000,100,"['5', '2', '2', 0, 0]",5,2,2,0,0,1.8
18,Girona FC,Javi Hernández,DF,5,2.5,760000,0,"['-', '1', '4', 0, 0]",0,1,4,0,0,1.0
18,Girona FC,Valery,DF,2,2,1030000,33,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
18,Girona FC,Arnau Martínez,DF,2,2,1700000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
18,Girona FC,Bernardo,DF,0,0,2440000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
18,Girona FC,Aleix García,MD,21,7,5140000,100,"['6', '8', '7', 0, 0]",6,8,7,0,0,4.2
18,Girona FC,Yangel Herrera,MD,10,3.3,2620000,67,"['2', '7', '1', 0, 0]",2,7,1,0,0,2.0
18,Girona FC,Samu Sáiz,MD,8,2.7,2300000,33,"['1', '3', '4', 0, 0]",1,3,4,0,0,1.6
18,Girona FC,Rodrigo Riquelme,MD,7,3.5,3860000,67,"['2', '5', '-', 0, 0]",2,5,0,0,0,1.4
18,Girona FC,Óscar Ureña,MD,5,2.5,730000,33,"['3', '-', '2', 0, 0]",3,0,2,0,0,1.0
18,Girona FC,Ramón Terrats,MD,4,1.3,1160000,33,"['-', '2', '2', 0, 0]",0,2,2,0,0,0.8
18,Girona FC,Reinier,MD,4,2,1500000,0,"['2', '1', '1', 0, 0]",2,1,1,0,0,0.8
18,Girona FC,Joel Roca,MD,0,0,400000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
18,Girona FC,Iván Martín,MD,0,0,360000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
18,Girona FC,Borja García,MD,0,0,1080000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
18,Girona FC,Ibrahima Kébé,MD,0,0,290000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
18,Girona FC,Valentín Castellanos,DL,15,5,6590000,100,"['4', '9', '2', 0, 0]",4,9,2,0,0,3.0
18,Girona FC,Stuani,DL,14,4.7,8600000,67,"['2', '8', '4', 0, 0]",2,8,4,0,0,2.8
