Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
7,Granada CF,Luís Maximiano,PT,15,83,0,0,80,5.3,"['2', '4', '4', '4', '-']",2,4,4,4,0,2.8,3900000
7,Granada CF,Aarón Escandell,PT,4,17,0,0,12,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,760000
7,Granada CF,Antonio Puertas,MD,14,50,3,1,53,3.8,"['-', '14', '1', '15', '-']",0,14,1,15,0,6.0,1980000
7,Granada CF,Ángel Jiménez,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
7,Granada CF,Carlos Neva,DF,17,83,0,0,61,3.6,"['2', '-', '6', '3', '-']",2,0,6,3,0,2.2,1910000
7,Granada CF,Germán Sánchez,DF,15,72,2,0,60,4,"['3', '5', '5', '2', '-']",3,5,5,2,0,3.0,2170000
7,Granada CF,Sergio Escudero,DF,14,22,0,1,33,2.4,"['2', '2', '2', '3', '-']",2,2,2,3,0,1.8,820000
7,Granada CF,Víctor Díaz,DF,10,39,0,0,33,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,790000
7,Granada CF,Luis Abram,DF,8,33,0,0,30,3.8,"['-', '16', '1', '3', '-']",0,16,1,3,0,4.0,1040000
7,Granada CF,Domingos Duarte,DF,7,39,1,0,28,4,"['7', '1', '-', '-', '-']",7,1,0,0,0,1.6,1350000
7,Granada CF,Arias,DF,8,17,1,0,26,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1360000
7,Granada CF,Quini,DF,13,67,0,0,24,1.8,"['0', '3', '2', '2', '-']",0,3,2,2,0,1.4,740000
7,Granada CF,Raúl Torrente,DF,7,28,0,0,14,2.8,"['2', '2', '2', '3', '-']",2,2,2,3,0,1.8,540000
7,Granada CF,Pepe Sánchez,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
7,Granada CF,Sergio Barcia,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
7,Granada CF,Luis Milla,MD,14,72,1,2,70,5,"['-', '6', '9', '7', '-']",0,6,9,7,0,4.4,4870000
7,Granada CF,Montoro,MD,15,50,1,1,59,3.9,"['4', '-', '7', '-', '-']",4,0,7,0,0,2.2,2280000
7,Granada CF,Rochina,MD,10,44,1,3,52,5.2,"['3', '-', '-', '-', '-']",3,0,0,0,0,0.6,2770000
7,Granada CF,Darwin Machís,MD,11,50,2,0,48,4.4,"['10', '-', '-', '1', '-']",10,0,0,1,0,2.2,3270000
7,Granada CF,Gonalons,MD,14,72,0,1,48,3.4,"['6', '5', '1', '3', '-']",6,5,1,3,0,3.0,2180000
7,Granada CF,Alberto Soro,MD,10,39,0,0,33,3.3,"['-', '4', '3', '-', '-']",0,4,3,0,0,1.4,1050000
7,Granada CF,Monchu,MD,14,39,0,0,27,1.9,"['-', '1', '-', '-', '-']",0,1,0,0,0,0.2,1080000
7,Granada CF,Isma Ruiz,MD,3,6,0,0,7,2.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
7,Granada CF,Jorge Molina,DL,16,44,7,2,93,5.8,"['14', '4', '10', '21', '-']",14,4,10,21,0,9.8,3700000
7,Granada CF,Luis Javier Suárez,DL,18,94,4,3,91,5.1,"['4', '2', '4', '11', '-']",4,2,4,11,0,4.2,6260000
7,Granada CF,Bacca,DL,12,22,0,1,37,3.1,"['-', '-', '4', '-', '-']",0,0,4,0,0,0.8,2160000
