Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
7,Granada CF,Luís Maximiano,PT,138,4.6,2940000,88,"['10', '2', '0', '2', '7']",10,2,0,2,7,4.2
7,Granada CF,Aarón Escandell,PT,12,3,370000,9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,João Costa,PT,0,0,180000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Ángel Jiménez,PT,0,0,220000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Carlos Neva,DF,85,3.3,1540000,71,"['1', '-', '-', '-', '-']",1,0,0,0,0,0.2
7,Granada CF,Germán Sánchez,DF,82,3,1660000,71,"['1', '5', '1', '-4', '-']",1,5,1,-4,0,0.6
7,Granada CF,Sergio Escudero,DF,65,2.8,1180000,32,"['11', '5', '-1', '4', '2']",11,5,-1,4,2,4.2
7,Granada CF,Quini,DF,64,2.3,790000,68,"['4', '2', '-1', '1', '5']",4,2,-1,1,5,2.2
7,Granada CF,Domingos Duarte,DF,54,3.2,1300000,44,"['2', '5', '2', '4', '9']",2,5,2,4,9,4.4
7,Granada CF,Víctor Díaz,DF,53,2.9,860000,41,"['-', '-', '10', '0', '4']",0,0,10,0,4,2.8
7,Granada CF,Raúl Torrente,DF,48,3,860000,44,"['-', '-', '2', '-', '-']",0,0,2,0,0,0.4
7,Granada CF,Arias,DF,26,3.3,600000,9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Pepe Sánchez,DF,0,0,230000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Sergio Barcia,DF,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Neyder Lozano,DF,0,0,290000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Luis Milla,MD,166,5.7,7600000,82,"['4', '13', '11', '4', '7']",4,13,11,4,7,7.8
7,Granada CF,Darwin Machís,MD,104,4.5,4230000,44,"['7', '10', '10', '5', '4']",7,10,10,5,4,7.2
7,Granada CF,Antonio Puertas,MD,100,3.6,1900000,59,"['9', '3', '-', '3', '1']",9,3,0,3,1,3.2
7,Granada CF,Montoro,MD,81,3.5,970000,35,"['-', '-', '-', '2', '4']",0,0,0,2,4,1.2
7,Granada CF,Gonalons,MD,71,3.6,1080000,53,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Rochina,MD,61,4.1,1170000,24,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Álex Collado,MD,45,3.8,1120000,24,"['9', '1', '-', '11', '4']",9,1,0,11,4,5.0
7,Granada CF,Alberto Soro,MD,43,2.9,550000,21,"['2', '2', '2', '-', '-']",2,2,2,0,0,1.2
7,Granada CF,Petrovic,MD,32,2.9,1310000,21,"['2', '1', '-1', '4', '8']",2,1,-1,4,8,2.8
7,Granada CF,Raba,MD,23,2.6,470000,0,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
7,Granada CF,Isma Ruiz,MD,18,2.3,270000,9,"['-', '-', '-', '0', '-']",0,0,0,0,0,0.0
7,Granada CF,Yan Eteki,MD,14,1.6,350000,6,"['1', '2', '1', '-', '-']",1,2,1,0,0,0.8
7,Granada CF,Daniel Plomer,MD,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
7,Granada CF,Jorge Molina,DL,152,5.1,4600000,47,"['10', '8', '4', '5', '-']",10,8,4,5,0,5.4
7,Granada CF,Luis Javier Suárez,DL,143,4.5,5130000,88,"['7', '2', '4', '-', '3']",7,2,4,0,3,3.2
7,Granada CF,Bacca,DL,45,2.8,1000000,12,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
7,Granada CF,Myrto Uzuni,DL,22,2,1280000,21,"['1', '2', '2', '2', '3']",1,2,2,2,3,2.0
7,Granada CF,Matías Arezo,DL,11,1.8,1200000,3,"['-', '2', '2', '1', '-']",0,2,2,1,0,1.0
