Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
10,Levante UD,Dani Cárdenas,PT,62,3.1,1150000,61,"['2', '8', '2', '4', '1']",2,8,2,4,1,3.4
10,Levante UD,Aitor Fernández,PT,50,3.8,1120000,39,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Rúben Vezo,DF,97,3.6,1460000,73,"['2', '2', '1', '6', '4']",2,2,1,6,4,3.0
10,Levante UD,Óscar Duarte,DF,66,3.3,910000,52,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8
10,Levante UD,Rober Pier,DF,63,2.7,870000,52,"['0', '6', '2', '3', '0']",0,6,2,3,0,2.2
10,Levante UD,Son,DF,62,2.8,890000,55,"['1', '3', '0', '2', '1']",1,3,0,2,1,1.4
10,Levante UD,Jorge Miramón,DF,60,2.5,580000,58,"['2', '6', '1', '1', '3']",2,6,1,1,3,2.6
10,Levante UD,Clerc,DF,50,2.6,760000,55,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Mustafi,DF,44,4,700000,24,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4
10,Levante UD,Enric Franquesa,DF,28,1.8,420000,18,"['2', '0', '-', '-', '-']",2,0,0,0,0,0.4
10,Levante UD,Sergio Postigo,DF,24,2.4,470000,24,"['-', '7', '2', '2', '1']",0,7,2,2,1,2.4
10,Levante UD,Martín Cáceres,DF,18,2,920000,24,"['-1', '3', '-', '-', '-']",-1,3,0,0,0,0.4
10,Levante UD,Marc Pubill,DF,14,1.6,470000,15,"['-1', '-', '-', '6', '-']",-1,0,0,6,0,1.0
10,Levante UD,Coke,DF,10,2.5,290000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Marcelo Saracchi,DF,2,2,340000,0,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
10,Levante UD,Jorge de Frutos,MD,102,4.1,3010000,61,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Bardhi,MD,100,4,2310000,45,"['2', '-', '1', '-', '1']",2,0,1,0,1,0.8
10,Levante UD,Pepelu,MD,99,4.1,2170000,61,"['5', '7', '6', '7', '5']",5,7,6,7,5,6.0
10,Levante UD,Melero,MD,97,3.9,3060000,55,"['-', '2', '8', '1', '2']",0,2,8,1,2,2.6
10,Levante UD,Mickael Malsa,MD,79,3.3,970000,30,"['2', '1', '-', '9', '-']",2,1,0,9,0,2.4
10,Levante UD,Campaña,MD,70,4.4,3470000,39,"['-', '3', '2', '-', '-']",0,3,2,0,0,1.0
10,Levante UD,Radoja,MD,46,3.1,720000,39,"['-', '5', '0', '5', '4']",0,5,0,5,4,2.8
10,Levante UD,Alejandro Cantero,MD,41,1.9,430000,6,"['1', '-', '2', '-1', '2']",1,0,2,-1,2,0.8
10,Levante UD,Vukcevic,MD,15,2.5,350000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Giorgi Kochorashvili,MD,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Edgar Sevikyan,MD,0,0,230000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
10,Levante UD,Morales,DL,152,5.1,6680000,79,"['5', '16', '8', '16', '11']",5,16,8,16,11,11.2
10,Levante UD,Roger,DL,106,4.2,4070000,70,"['10', '7', '-1', '-', '-']",10,7,-1,0,0,3.2
10,Levante UD,Dani Gómez,DL,78,3.3,1320000,24,"['1', '-', '4', '10', '2']",1,0,4,10,2,3.4
10,Levante UD,Soldado,DL,51,3.2,960000,21,"['6', '-', '-', '10', '9']",6,0,0,10,9,5.0
