Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games,Value
19,RC Celta de Vigo,Matías Dituro,PT,33,100,0,0,160,4.8,"['7', '8', '0', '8', '1']",7,8,0,8,1,4.8,4140000
19,RC Celta de Vigo,Rubén Blanco,PT,32,0,0,3,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,320000
19,RC Celta de Vigo,Javi Galán,DF,32,97,14,4,137,4.3,"['-', '7', '1', '6', '3']",0,7,1,6,3,3.4,4550000
19,RC Celta de Vigo,Aidoo,DF,32,76,4,5,95,3.5,"['6', '3', '4', '5', '4']",6,3,4,5,4,4.4,2010000
19,RC Celta de Vigo,Néstor Araujo,DF,33,73,3,3,91,3.1,"['2', '-', '4', '4', '5']",2,0,4,4,5,3.0,1650000
19,RC Celta de Vigo,Hugo Mallo,DF,32,64,7,3,87,4.1,"['9', '-', '-', '-', '-']",9,0,0,0,0,1.8,2860000
19,RC Celta de Vigo,Jeison Murillo,DF,33,36,1,0,55,3.2,"['4', '1', '-', '2', '-']",4,1,0,2,0,1.4,1030000
19,RC Celta de Vigo,Kevin Vázquez,DF,27,33,0,0,54,4.5,"['-', '2', '7', '6', '2']",0,2,7,6,2,3.4,1240000
19,RC Celta de Vigo,Carlos Domínguez,DF,29,9,0,0,20,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,310000
19,RC Celta de Vigo,José Fontán,DF,21,9,1,1,11,1.8,"['5', '-', '-', '-', '-']",5,0,0,0,0,1.0,370000
19,RC Celta de Vigo,Denis Suárez,MD,30,88,3,3,155,4.7,"['3', '5', '5', '5', '4']",3,5,5,5,4,4.4,5370000
19,RC Celta de Vigo,Brais Méndez,MD,29,94,2,0,147,4.6,"['6', '2', '4', '8', '2']",6,2,4,8,2,4.4,4720000
19,RC Celta de Vigo,Fran Beltrán,MD,25,82,0,0,145,4.4,"['5', '3', '6', '12', '4']",5,3,6,12,4,6.0,4200000
19,RC Celta de Vigo,Franco Cervi,MD,17,55,0,0,123,4.1,"['-', '5', '4', '5', '2']",0,5,4,5,2,3.2,3740000
19,RC Celta de Vigo,Nolito,MD,12,42,0,1,78,2.7,"['2', '8', '-', '2', '3']",2,8,0,2,3,3.0,1900000
19,RC Celta de Vigo,Renato Tapia,MD,26,36,1,1,75,3,"['1', '4', '-', '2', '-']",1,4,0,2,0,1.4,1240000
19,RC Celta de Vigo,Augusto Solari,MD,6,6,0,0,38,1.7,"['-', '-', '1', '-', '2']",0,0,1,0,2,0.6,440000
19,RC Celta de Vigo,Orbelín Pineda,MD,6,0,0,0,2,2,"['2', '5', '-', '-', '2']",2,5,0,0,2,1.8,1310000
19,RC Celta de Vigo,Gabriel Veiga,MD,22,0,0,0,4,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250000
19,RC Celta de Vigo,Hugo Álvarez,MD,8,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
19,RC Celta de Vigo,Holsgrove,MD,5,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,250000
19,RC Celta de Vigo,Alfonso González,MD,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,360000
19,RC Celta de Vigo,Iago Aspas,DL,2,94,0,0,234,7.3,"['6', '5', '3', '10', '2']",6,5,3,10,2,5.2,16410000
19,RC Celta de Vigo,Santi Mina,DL,1,88,0,0,155,4.8,"['2', '2', '3', '3', '4']",2,2,3,3,4,2.8,6190000
19,RC Celta de Vigo,Thiago Galhardo,DL,1,15,0,0,76,2.9,"['4', '2', '2', '-', '3']",4,2,2,0,3,2.2,1940000
19,RC Celta de Vigo,Íker Losada,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,300000
19,RC Celta de Vigo,Miguel Rodríguez,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
19,RC Celta de Vigo,Lautaro de León,DL,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000
