Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
19,RC Celta de Vigo,Marchesin,PT,11,3.7,3130000,100,"['0', '3', '8', 0, 0]",0,3,8,0,0,2.2
19,RC Celta de Vigo,Iván Villar,PT,0,0,330000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
19,RC Celta de Vigo,Unai Núñez,DF,12,4,2960000,100,"['3', '1', '8', 0, 0]",3,1,8,0,0,2.4
19,RC Celta de Vigo,Aidoo,DF,9,3,2410000,100,"['2', '2', '5', 0, 0]",2,2,5,0,0,1.8
19,RC Celta de Vigo,Hugo Mallo,DF,8,2.7,3010000,100,"['4', '0', '4', 0, 0]",4,0,4,0,0,1.6
19,RC Celta de Vigo,Javi Galán,DF,7,2.3,5100000,100,"['3', '2', '2', 0, 0]",3,2,2,0,0,1.4
19,RC Celta de Vigo,Carlos Domínguez,DF,0,0,270000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
19,RC Celta de Vigo,Kevin Vázquez,DF,0,0,460000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
19,RC Celta de Vigo,Mingueza,DF,-4,-4,1390000,0,"['-4', '-', '-', 0, 0]",-4,0,0,0,0,-0.8
19,RC Celta de Vigo,Óscar Rodríguez,MD,15,5,5850000,100,"['5', '4', '6', 0, 0]",5,4,6,0,0,3.0
19,RC Celta de Vigo,Renato Tapia,MD,12,4,790000,67,"['4', '2', '6', 0, 0]",4,2,6,0,0,2.4
19,RC Celta de Vigo,Franco Cervi,MD,11,3.7,3230000,100,"['4', '3', '4', 0, 0]",4,3,4,0,0,2.2
19,RC Celta de Vigo,Carles Pérez,MD,11,3.7,2600000,33,"['1', '3', '7', 0, 0]",1,3,7,0,0,2.2
19,RC Celta de Vigo,Fran Beltrán,MD,10,3.3,3330000,100,"['2', '4', '4', 0, 0]",2,4,4,0,0,2.0
19,RC Celta de Vigo,Gabriel Veiga,MD,5,1.7,450000,0,"['3', '-', '2', 0, 0]",3,0,2,0,0,1.0
19,RC Celta de Vigo,Augusto Solari,MD,5,2.5,830000,33,"['1', '2', '2', 0, 0]",1,2,2,0,0,1.0
19,RC Celta de Vigo,Luca de la Torre,MD,2,2,1220000,0,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4
19,RC Celta de Vigo,Denis Suárez,MD,0,0,3270000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
19,RC Celta de Vigo,Hugo Álvarez,MD,0,0,210000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
19,RC Celta de Vigo,Miguel Baeza,MD,0,0,300000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
19,RC Celta de Vigo,Swedberg,MD,0,0,1460000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
19,RC Celta de Vigo,Iago Aspas,DL,30,10,23490000,100,"['10', '10', '10', 0, 0]",10,10,10,0,0,6.0
19,RC Celta de Vigo,Gonzalo Paciencia,DL,13,4.3,6650000,67,"['9', '2', '2', 0, 0]",9,2,2,0,0,2.6
