Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
19,RC Celta de Vigo,Matías Dituro,PT,160,4.8,4140000,100,"['7', '8', '0', '8', '1']",7,8,0,8,1,4.8
19,RC Celta de Vigo,Rubén Blanco,PT,0,0,320000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
19,RC Celta de Vigo,Javi Galán,DF,137,4.3,4550000,97,"['-', '7', '1', '6', '3']",0,7,1,6,3,3.4
19,RC Celta de Vigo,Aidoo,DF,95,3.5,2010000,76,"['6', '3', '4', '5', '4']",6,3,4,5,4,4.4
19,RC Celta de Vigo,Néstor Araujo,DF,91,3.1,1650000,73,"['2', '-', '4', '4', '5']",2,0,4,4,5,3.0
19,RC Celta de Vigo,Hugo Mallo,DF,87,4.1,2860000,64,"['9', '-', '-', '-', '-']",9,0,0,0,0,1.8
19,RC Celta de Vigo,Jeison Murillo,DF,55,3.2,1030000,36,"['4', '1', '-', '2', '-']",4,1,0,2,0,1.4
19,RC Celta de Vigo,Kevin Vázquez,DF,54,4.5,1240000,33,"['-', '2', '7', '6', '2']",0,2,7,6,2,3.4
19,RC Celta de Vigo,Carlos Domínguez,DF,20,3.3,310000,9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
19,RC Celta de Vigo,José Fontán,DF,11,1.8,370000,9,"['5', '-', '-', '-', '-']",5,0,0,0,0,1.0
19,RC Celta de Vigo,Denis Suárez,MD,155,4.7,5370000,88,"['3', '5', '5', '5', '4']",3,5,5,5,4,4.4
19,RC Celta de Vigo,Brais Méndez,MD,147,4.6,4720000,94,"['6', '2', '4', '8', '2']",6,2,4,8,2,4.4
19,RC Celta de Vigo,Fran Beltrán,MD,145,4.4,4200000,82,"['5', '3', '6', '12', '4']",5,3,6,12,4,6.0
19,RC Celta de Vigo,Franco Cervi,MD,123,4.1,3740000,55,"['-', '5', '4', '5', '2']",0,5,4,5,2,3.2
19,RC Celta de Vigo,Nolito,MD,78,2.7,1900000,42,"['2', '8', '-', '2', '3']",2,8,0,2,3,3.0
19,RC Celta de Vigo,Renato Tapia,MD,75,3,1240000,36,"['1', '4', '-', '2', '-']",1,4,0,2,0,1.4
19,RC Celta de Vigo,Augusto Solari,MD,38,1.7,440000,6,"['-', '-', '1', '-', '2']",0,0,1,0,2,0.6
19,RC Celta de Vigo,Orbelín Pineda,MD,2,2,1310000,0,"['2', '5', '-', '-', '2']",2,5,0,0,2,1.8
19,RC Celta de Vigo,Gabriel Veiga,MD,4,2,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
19,RC Celta de Vigo,Hugo Álvarez,MD,0,0,260000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
19,RC Celta de Vigo,Holsgrove,MD,0,0,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
19,RC Celta de Vigo,Alfonso González,MD,0,0,360000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
19,RC Celta de Vigo,Iago Aspas,DL,234,7.3,16410000,94,"['6', '5', '3', '10', '2']",6,5,3,10,2,5.2
19,RC Celta de Vigo,Santi Mina,DL,155,4.8,6190000,88,"['2', '2', '3', '3', '4']",2,2,3,3,4,2.8
19,RC Celta de Vigo,Thiago Galhardo,DL,76,2.9,1940000,15,"['4', '2', '2', '-', '3']",4,2,2,0,3,2.2
19,RC Celta de Vigo,Íker Losada,DL,0,0,300000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
19,RC Celta de Vigo,Miguel Rodríguez,DL,0,0,210000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
19,RC Celta de Vigo,Lautaro de León,DL,0,0,340000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
