Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
9,RCD Mallorca,Rajkovic,PT,18,6,4000000,100,"['11', '1', '6', 0, 0]",11,1,6,0,0,3.6
9,RCD Mallorca,Greif,PT,0,0,240000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
9,RCD Mallorca,Leo Román,PT,0,0,920000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
9,RCD Mallorca,Martin Valjent,DF,18,6,2200000,100,"['8', '3', '7', 0, 0]",8,3,7,0,0,3.6
9,RCD Mallorca,Maffeo,DF,16,5.3,3540000,100,"['5', '4', '7', 0, 0]",5,4,7,0,0,3.2
9,RCD Mallorca,Copete,DF,16,5.3,2870000,100,"['7', '2', '7', 0, 0]",7,2,7,0,0,3.2
9,RCD Mallorca,Raíllo,DF,15,5,2910000,100,"['5', '3', '7', 0, 0]",5,3,7,0,0,3.0
9,RCD Mallorca,Jaume Costa,DF,13,4.3,2170000,100,"['3', '5', '5', 0, 0]",3,5,5,0,0,2.6
9,RCD Mallorca,Braian Cufré,DF,0,0,390000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
9,RCD Mallorca,Josep Gayá,DF,0,0,230000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
9,RCD Mallorca,Giovanni González,DF,0,0,340000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
9,RCD Mallorca,Franco Russo,DF,0,0,420000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
9,RCD Mallorca,Kang-In Lee,MD,26,8.7,2820000,100,"['4', '11', '11', 0, 0]",4,11,11,0,0,5.2
9,RCD Mallorca,Grenier,MD,12,4,2090000,100,"['4', '4', '4', 0, 0]",4,4,4,0,0,2.4
9,RCD Mallorca,Dani Rodríguez,MD,9,3,3130000,100,"['4', '0', '5', 0, 0]",4,0,5,0,0,1.8
9,RCD Mallorca,Idrissu Baba,MD,6,3,1810000,0,"['2', '4', '-', 0, 0]",2,4,0,0,0,1.2
9,RCD Mallorca,Rodrigo Battaglia,MD,5,1.7,1250000,100,"['4', '-1', '2', 0, 0]",4,-1,2,0,0,1.0
9,RCD Mallorca,Antonio Sánchez,MD,4,1.3,680000,0,"['1', '2', '1', 0, 0]",1,2,1,0,0,0.8
9,RCD Mallorca,Lago Júnior,MD,4,2,380000,0,"['2', '2', '-', 0, 0]",2,2,0,0,0,0.8
9,RCD Mallorca,Ruiz de Galarreta,MD,2,2,720000,0,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
9,RCD Mallorca,Javi Llabres,MD,2,2,220000,0,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
9,RCD Mallorca,Amath Ndiaye,MD,0,0,310000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
9,RCD Mallorca,Muriqi,DL,22,7.3,9950000,100,"['2', '9', '11', 0, 0]",2,9,11,0,0,4.4
9,RCD Mallorca,Abdón Prats,DL,8,2.7,870000,0,"['2', '4', '2', 0, 0]",2,4,2,0,0,1.6
9,RCD Mallorca,Kadewere,DL,0,0,1000000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
9,RCD Mallorca,Ángel Rodríguez,DL,0,0,1540000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
