Player,Matchs,Goals,Assists
Jaume Costa,3,0,0
Pablo Maffeo,3,0,0
Antonio Raillo,3,0,0
Predrag Rajković,3,0,0
Martin Valjent,3,0,0
Copete,3,0,0
Vedat Muriqi,3,2,0
Rodrigo Battaglia,3,0,0
Lee Kangin,3,1,1
Dani Rodríguez,3,0,1
Clément Grenier,3,0,0
Antonio Sánchez,3,0,0
Abdón Prats,3,0,0
Iddrisu Baba,2,0,0
Javi,1,0,0
Lago Junior,2,0,0
Iñigo Ru,1,0,0
Josep Anto,0,0,0
Braian Cufré,0,0,0
Giovanni González,0,0,0
Pere Joan,0,0,0
Miguel Llabrés,0,0,0
Ángel Rodríguez,0,0,0
Leonardo Román,0,0,0
Franco Russo,0,0,0
