Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games,Value
9,Rayo Vallecano de Madrid,Dimitrievski,PT,30,78,2,2,124,4.8,"['3', '7', '2', '2', '9']",3,7,2,2,9,4.6,2660000
9,Rayo Vallecano de Madrid,Luca Zidane,PT,30,22,1,2,11,1.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,590000
9,Rayo Vallecano de Madrid,Catena,DF,29,94,1,0,151,5,"['4', '13', '4', '5', '8']",4,13,4,5,8,6.8,3580000
9,Rayo Vallecano de Madrid,Fran García,DF,30,91,5,3,111,3.8,"['2', '2', '-', '4', '5']",2,2,0,4,5,2.6,3040000
9,Rayo Vallecano de Madrid,Balliu,DF,30,94,1,2,106,3.5,"['5', '5', '5', '-4', '-']",5,5,5,-4,0,2.2,2360000
9,Rayo Vallecano de Madrid,Saveljich,DF,26,66,0,0,69,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1040000
9,Rayo Vallecano de Madrid,Nikola Maras,DF,29,22,0,0,35,3.2,"['-', '1', '5', '2', '5']",0,1,5,2,5,2.6,550000
9,Rayo Vallecano de Madrid,Mario Hernández,DF,31,9,2,3,23,3.8,"['-', '1', '-', '3', '4']",0,1,0,3,4,1.6,590000
9,Rayo Vallecano de Madrid,Kevin Rodrigues,DF,29,13,3,9,20,2,"['-', '-', '1', '-', '-']",0,0,1,0,0,0.2,470000
9,Rayo Vallecano de Madrid,Álvaro García,MD,21,88,0,0,161,5.4,"['2', '7', '5', '4', '4']",2,7,5,4,4,4.4,6100000
9,Rayo Vallecano de Madrid,Trejo,MD,27,72,6,2,148,5.1,"['7', '-', '3', '3', '2']",7,0,3,3,2,3.0,6570000
9,Rayo Vallecano de Madrid,Comesaña,MD,28,88,3,0,131,4.4,"['2', '-1', '-', '4', '5']",2,-1,0,4,5,2.0,4950000
9,Rayo Vallecano de Madrid,Óscar Valentín,MD,26,75,1,1,120,4.1,"['4', '5', '9', '4', '5']",4,5,9,4,5,5.4,2670000
9,Rayo Vallecano de Madrid,Isi Palazón,MD,22,75,0,0,116,3.7,"['2', '5', '6', '8', '6']",2,5,6,8,6,5.4,4010000
9,Rayo Vallecano de Madrid,Bebé,MD,11,13,0,0,93,3.7,"['0', '-', '2', '2', '-']",0,0,2,2,0,0.8,2200000
9,Rayo Vallecano de Madrid,Pathé Ciss,MD,17,28,5,0,84,3.2,"['2', '4', '0', '-', '4']",2,4,0,0,4,2.0,1690000
9,Rayo Vallecano de Madrid,Unai López,MD,7,28,0,0,62,2.8,"['-', '1', '2', '1', '2']",0,1,2,1,2,1.2,1090000
9,Rayo Vallecano de Madrid,Mario Suárez,MD,10,19,0,0,17,1.7,"['2', '0', '-', '-', '-']",2,0,0,0,0,0.4,1010000
9,Rayo Vallecano de Madrid,Merquelanz,MD,25,9,1,2,13,3.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,520000
9,Rayo Vallecano de Madrid,Álvaro Aguirre,MD,10,0,0,0,2,2,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,210000
9,Rayo Vallecano de Madrid,Sergi Guardiola,DL,6,53,1,0,114,4.2,"['4', '10', '9', '1', '9']",4,10,9,1,9,6.6,4110000
9,Rayo Vallecano de Madrid,Randy Nteka,DL,4,38,0,0,91,3.3,"['2', '2', '3', '5', '-']",2,2,3,5,0,2.4,2270000
9,Rayo Vallecano de Madrid,Falcao,DL,9,22,0,0,79,4.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,4020000
9,Rayo Vallecano de Madrid,Mamadou Sylla,DL,7,16,0,0,51,2.3,"['4', '2', '4', '-', '-']",4,2,4,0,0,2.0,770000
