Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
8,Rayo Vallecano de Madrid,Dimitrievski,PT,18,6,3860000,100,"['11', '6', '1', 0, 0]",11,6,1,0,0,3.6
8,Rayo Vallecano de Madrid,Miguel Morro,PT,0,0,180000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
8,Rayo Vallecano de Madrid,Diego López,PT,0,0,2310000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
8,Rayo Vallecano de Madrid,Catena,DF,14,4.7,4200000,100,"['6', '5', '3', 0, 0]",6,5,3,0,0,2.8
8,Rayo Vallecano de Madrid,Fran García,DF,12,4,3350000,100,"['5', '3', '4', 0, 0]",5,3,4,0,0,2.4
8,Rayo Vallecano de Madrid,Balliu,DF,12,4,2310000,100,"['2', '6', '4', 0, 0]",2,6,4,0,0,2.4
8,Rayo Vallecano de Madrid,Mario Suárez,DF,2,2,460000,0,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4
8,Rayo Vallecano de Madrid,Mario Hernández,DF,0,0,400000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
8,Rayo Vallecano de Madrid,Saveljich,DF,0,0,720000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
8,Rayo Vallecano de Madrid,Lejeune,DF,-1,-0.5,2190000,67,"['5', '-6', '-', 0, 0]",5,-6,0,0,0,-0.2
8,Rayo Vallecano de Madrid,Pathé Ciss,MD,24,8,3530000,100,"['7', '12', '5', 0, 0]",7,12,5,0,0,4.8
8,Rayo Vallecano de Madrid,Isi Palazón,MD,16,8,4200000,67,"['7', '9', '-', 0, 0]",7,9,0,0,0,3.2
8,Rayo Vallecano de Madrid,Álvaro García,MD,13,4.3,7220000,100,"['3', '6', '4', 0, 0]",3,6,4,0,0,2.6
8,Rayo Vallecano de Madrid,Óscar Valentín,MD,12,4,2260000,33,"['4', '2', '6', 0, 0]",4,2,6,0,0,2.4
8,Rayo Vallecano de Madrid,Trejo,MD,10,3.3,6650000,100,"['2', '2', '6', 0, 0]",2,2,6,0,0,2.0
8,Rayo Vallecano de Madrid,Salvi,MD,10,3.3,740000,33,"['2', '4', '4', 0, 0]",2,4,4,0,0,2.0
8,Rayo Vallecano de Madrid,Unai López,MD,9,3,1170000,100,"['2', '5', '2', 0, 0]",2,5,2,0,0,1.8
8,Rayo Vallecano de Madrid,Pozo,MD,7,3.5,670000,0,"['4', '-', '3', 0, 0]",4,0,3,0,0,1.4
8,Rayo Vallecano de Madrid,Comesaña,MD,4,4,2630000,0,"['-', '-', '4', 0, 0]",0,0,4,0,0,0.8
8,Rayo Vallecano de Madrid,Bebé,MD,2,2,1050000,0,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
8,Rayo Vallecano de Madrid,Álvaro Aguirre,MD,0,0,210000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
8,Rayo Vallecano de Madrid,Randy Nteka,DL,8,4,1260000,0,"['-', '4', '4', 0, 0]",0,4,4,0,0,1.6
8,Rayo Vallecano de Madrid,Sergio Camello,DL,6,2,2330000,67,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2
8,Rayo Vallecano de Madrid,Falcao,DL,5,1.7,4310000,33,"['2', '1', '2', 0, 0]",2,1,2,0,0,1.0
8,Rayo Vallecano de Madrid,Andrés Martín,DL,0,0,210000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
