Player,Matchs,Goals,Assists
Catena,30,2,2
Iván Balliu,30,1,2
Francisco Garcia,29,1,0
Álvaro García,30,5,3
Santi Comesaña,30,1,2
Stole Dimitrievski,26,0,0
Óscar Valentín,29,0,0
Isaac Palaz,31,2,3
Óscar Trejo,29,3,9
Esteban Saveljich,21,0,0
Sergi Guardiola,27,6,2
Randy Ntekja,28,3,0
Pathé Ciss,26,1,1
Unai López,22,0,0
Nikola Maraš,11,0,0
Radamel Falcao,17,5,0
Luca Zidane,7,0,0
Mario Suárez,10,0,0
Bebé,25,1,2
Kévin Rodrigues,10,0,0
Mario Hernández,6,1,0
Martín Merquelanz,4,0,0
Mamadou Sylla,9,0,0
Andrés Martín,7,0,0
José Pozo,5,0,0
Álvaro Aguirre,1,0,0
Yacine Qasmi,1,0,0
Iván Arboleda,0,0,0
Alejandro Asensio,0,0,0
Jorge Moreno,0,0,0
Sergio Moreno,0,0,0
Morro,0,0,0
Manuel Navarro,0,0,0
Adrian Quintela,0,0,0
Iker Recio,0,0,0
