Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games,Value
2,Real Betis Balompié,Rui Silva,PT,29,53,6,7,69,3.8,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2,1390000
2,Real Betis Balompié,Claudio Bravo,PT,29,44,4,6,52,3.5,"['8', '2', '3', '9', '-']",8,2,3,9,0,4.4,670000
2,Real Betis Balompié,Joel Robles,PT,27,0,1,2,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,200000
2,Real Betis Balompié,Álex Moreno,DF,25,68,5,3,124,5,"['-', '16', '3', '8', '3']",0,16,3,8,3,6.0,4960000
2,Real Betis Balompié,Héctor Bellerín,DF,28,62,14,3,88,4,"['5', '7', '3', '5', '-']",5,7,3,5,0,4.0,3070000
2,Real Betis Balompié,Marc Bartra,DF,22,59,0,2,88,4.4,"['8', '2', '4', '7', '5']",8,2,4,7,5,5.2,2440000
2,Real Betis Balompié,Édgar González,DF,20,38,0,0,86,4.5,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2010000
2,Real Betis Balompié,Pezzella,DF,18,50,0,0,73,4.1,"['2', '-', '8', '6', '6']",2,0,8,6,6,4.4,870000
2,Real Betis Balompié,Víctor Ruiz,DF,29,47,2,3,63,3.7,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8,1050000
2,Real Betis Balompié,Juan Miranda,DF,18,26,1,0,51,4.6,"['6', '-', '-', '-', '6']",6,0,0,0,6,2.4,880000
2,Real Betis Balompié,Martín Montoya,DF,28,18,8,4,26,4.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,660000
2,Real Betis Balompié,Sabaly,DF,17,15,0,0,17,2.8,"['-', '-', '2', '-', '4']",0,0,2,0,4,1.2,900000
2,Real Betis Balompié,Kike Hermoso,DF,15,3,0,0,13,13,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,340000
2,Real Betis Balompié,Fekir,MD,28,82,9,0,195,6.7,"['-', '-', '7', '7', '7']",0,0,7,7,7,4.2,12980000
2,Real Betis Balompié,Canales,MD,25,82,0,1,172,5.9,"['3', '-', '2', '8', '5']",3,0,2,8,5,3.6,11820000
2,Real Betis Balompié,William Carvalho,MD,19,53,1,1,133,4.6,"['4', '10', '-', '2', '2']",4,10,0,2,2,3.6,6300000
2,Real Betis Balompié,Guido Rodríguez,MD,17,71,1,1,123,4.6,"['7', '5', '4', '4', '-']",7,5,4,4,0,4.0,4320000
2,Real Betis Balompié,Guardado,MD,11,44,0,1,73,2.9,"['-', '-', '11', '-', '1']",0,0,11,0,1,2.4,890000
2,Real Betis Balompié,Tello,MD,18,12,0,0,73,3.5,"['-', '2', '5', '-', '4']",0,2,5,0,4,2.2,1480000
2,Real Betis Balompié,Rodrigo Sánchez,MD,6,26,0,1,60,3.5,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8,850000
2,Real Betis Balompié,Joaquín,MD,8,6,0,0,52,3.1,"['2', '5', '4', '2', '2']",2,5,4,2,2,3.0,1030000
2,Real Betis Balompié,Aitor Ruibal,MD,6,24,0,1,39,2.2,"['-', '5', '-', '2', '-']",0,5,0,2,0,1.4,800000
2,Real Betis Balompié,Paul Akouokou,MD,21,18,2,2,23,2.9,"['4', '-', '-', '-', '0']",4,0,0,0,0,0.8,430000
2,Real Betis Balompié,Camarasa,MD,17,0,0,1,16,2.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,260000
2,Real Betis Balompié,Diego Lainez,MD,4,3,0,0,8,1.3,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,420000
2,Real Betis Balompié,Yassin Fekir,MD,6,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,290000
2,Real Betis Balompié,Juanmi Jiménez,DL,1,68,1,0,179,6.4,"['5', '20', '-1', '3', '7']",5,20,-1,3,7,6.8,10800000
2,Real Betis Balompié,Willian José,DL,7,50,0,0,127,4.5,"['-', '2', '2', '2', '5']",0,2,2,2,5,2.2,7130000
2,Real Betis Balompié,Borja Iglesias,DL,1,44,0,0,123,4.4,"['2', '-', '10', '3', '2']",2,0,10,3,2,3.4,8360000
2,Real Betis Balompié,Raúl García de Haro,DL,1,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,240000
