Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_2,J_1,J_0,J_-1,J_-2,Avg_last_5_games
10,Real Betis Balompié,Rui Silva,PT,16,8,2730000,100,"['7', '9', 0, 0, 0]",7,9,0,0,0,3.2
10,Real Betis Balompié,Dani Martín,PT,0,0,230000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Claudio Bravo,PT,0,0,1230000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Pezzella,DF,15,7.5,2770000,100,"['10', '5', 0, 0, 0]",10,5,0,0,0,3.0
10,Real Betis Balompié,Édgar González,DF,10,5,1840000,100,"['6', '4', 0, 0, 0]",6,4,0,0,0,2.0
10,Real Betis Balompié,Álex Moreno,DF,6,3,5790000,100,"['4', '2', 0, 0, 0]",4,2,0,0,0,1.2
10,Real Betis Balompié,Fran Delgado,DF,0,0,290000,0,"['2', '-', 0, 0, 0]",2,0,0,0,0,0.4
10,Real Betis Balompié,Sabaly,DF,0,0,2330000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Martín Montoya,DF,0,0,280000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Víctor Ruiz,DF,0,0,440000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Juan Miranda,DF,0,0,680000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Luiz Felipe,DF,0,0,4500000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Fekir,MD,12,6,14950000,100,"['7', '5', 0, 0, 0]",7,5,0,0,0,2.4
10,Real Betis Balompié,William Carvalho,MD,11,5.5,5260000,100,"['7', '4', 0, 0, 0]",7,4,0,0,0,2.2
10,Real Betis Balompié,Guido Rodríguez,MD,11,5.5,7510000,100,"['9', '2', 0, 0, 0]",9,2,0,0,0,2.2
10,Real Betis Balompié,Rober González,MD,8,4,580000,0,"['6', '2', 0, 0, 0]",6,2,0,0,0,1.6
10,Real Betis Balompié,Aitor Ruibal,MD,7,3.5,1300000,100,"['5', '2', 0, 0, 0]",5,2,0,0,0,1.4
10,Real Betis Balompié,Rodrigo Sánchez,MD,6,3,1070000,100,"['5', '1', 0, 0, 0]",5,1,0,0,0,1.2
10,Real Betis Balompié,Paul Akouokou,MD,0,0,340000,0,"['-', '3', 0, 0, 0]",0,3,0,0,0,0.6
10,Real Betis Balompié,Camarasa,MD,0,0,240000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Joaquín,MD,0,0,670000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Guardado,MD,0,0,570000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Luiz Henrique,MD,0,0,6410000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Canales,MD,0,0,13540000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
10,Real Betis Balompié,Borja Iglesias,DL,27,13.5,12980000,100,"['12', '15', 0, 0, 0]",12,15,0,0,0,5.4
10,Real Betis Balompié,Juanmi Jiménez,DL,15,7.5,15080000,100,"['16', '-1', 0, 0, 0]",16,-1,0,0,0,3.0
10,Real Betis Balompié,Loren Morón,DL,5,2.5,580000,0,"['3', '2', 0, 0, 0]",3,2,0,0,0,1.0
10,Real Betis Balompié,Willian José,DL,0,0,4690000,0,"['-', '-', 0, 0, 0]",0,0,0,0,0,0.0
