Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
2,Real Betis Balompié,Rui Silva,PT,69,3.8,1390000,53,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2
2,Real Betis Balompié,Claudio Bravo,PT,52,3.5,670000,44,"['8', '2', '3', '9', '-']",8,2,3,9,0,4.4
2,Real Betis Balompié,Joel Robles,PT,0,0,200000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Álex Moreno,DF,124,5,4960000,68,"['-', '16', '3', '8', '3']",0,16,3,8,3,6.0
2,Real Betis Balompié,Héctor Bellerín,DF,88,4,3070000,62,"['5', '7', '3', '5', '-']",5,7,3,5,0,4.0
2,Real Betis Balompié,Marc Bartra,DF,88,4.4,2440000,59,"['8', '2', '4', '7', '5']",8,2,4,7,5,5.2
2,Real Betis Balompié,Édgar González,DF,86,4.5,2010000,38,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Pezzella,DF,73,4.1,870000,50,"['2', '-', '8', '6', '6']",2,0,8,6,6,4.4
2,Real Betis Balompié,Víctor Ruiz,DF,63,3.7,1050000,47,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8
2,Real Betis Balompié,Juan Miranda,DF,51,4.6,880000,26,"['6', '-', '-', '-', '6']",6,0,0,0,6,2.4
2,Real Betis Balompié,Martín Montoya,DF,26,4.3,660000,18,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Sabaly,DF,17,2.8,900000,15,"['-', '-', '2', '-', '4']",0,0,2,0,4,1.2
2,Real Betis Balompié,Kike Hermoso,DF,13,13,340000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Fekir,MD,195,6.7,12980000,82,"['-', '-', '7', '7', '7']",0,0,7,7,7,4.2
2,Real Betis Balompié,Canales,MD,172,5.9,11820000,82,"['3', '-', '2', '8', '5']",3,0,2,8,5,3.6
2,Real Betis Balompié,William Carvalho,MD,133,4.6,6300000,53,"['4', '10', '-', '2', '2']",4,10,0,2,2,3.6
2,Real Betis Balompié,Guido Rodríguez,MD,123,4.6,4320000,71,"['7', '5', '4', '4', '-']",7,5,4,4,0,4.0
2,Real Betis Balompié,Guardado,MD,73,2.9,890000,44,"['-', '-', '11', '-', '1']",0,0,11,0,1,2.4
2,Real Betis Balompié,Tello,MD,73,3.5,1480000,12,"['-', '2', '5', '-', '4']",0,2,5,0,4,2.2
2,Real Betis Balompié,Rodrigo Sánchez,MD,60,3.5,850000,26,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8
2,Real Betis Balompié,Joaquín,MD,52,3.1,1030000,6,"['2', '5', '4', '2', '2']",2,5,4,2,2,3.0
2,Real Betis Balompié,Aitor Ruibal,MD,39,2.2,800000,24,"['-', '5', '-', '2', '-']",0,5,0,2,0,1.4
2,Real Betis Balompié,Paul Akouokou,MD,23,2.9,430000,18,"['4', '-', '-', '-', '0']",4,0,0,0,0,0.8
2,Real Betis Balompié,Camarasa,MD,16,2.3,260000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Diego Lainez,MD,8,1.3,420000,3,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4
2,Real Betis Balompié,Yassin Fekir,MD,0,0,290000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Real Betis Balompié,Juanmi Jiménez,DL,179,6.4,10800000,68,"['5', '20', '-1', '3', '7']",5,20,-1,3,7,6.8
2,Real Betis Balompié,Willian José,DL,127,4.5,7130000,50,"['-', '2', '2', '2', '5']",0,2,2,2,5,2.2
2,Real Betis Balompié,Borja Iglesias,DL,123,4.4,8360000,44,"['2', '-', '10', '3', '2']",2,0,10,3,2,3.4
2,Real Betis Balompié,Raúl García de Haro,DL,0,0,240000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
