Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
8,Real Madrid CF,Courtois,PT,164,5,6550000,100,"['4', '4', '5', '0', '3']",4,4,5,0,3,3.2
8,Real Madrid CF,Lunin,PT,0,0,350000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Éder Militão,DF,178,5.7,7070000,94,"['1', '6', '8', '4', '5']",1,6,8,4,5,4.8
8,Real Madrid CF,Alaba,DF,158,5.3,7260000,91,"['2', '3', '6', '2', '12']",2,3,6,2,12,5.0
8,Real Madrid CF,Lucas Vázquez,DF,120,4.8,2570000,48,"['2', '5', '15', '4', '13']",2,5,15,4,13,7.8
8,Real Madrid CF,Carvajal,DF,112,5.1,5040000,48,"['0', '2', '-', '11', '6']",0,2,0,11,6,3.8
8,Real Madrid CF,Nacho Fernández,DF,104,4.3,2270000,39,"['1', '4', '-', '11', '3']",1,4,0,11,3,3.8
8,Real Madrid CF,Ferland Mendy,DF,94,4.9,4380000,55,"['-', '6', '-', '-', '-']",0,6,0,0,0,1.2
8,Real Madrid CF,Marcelo,DF,44,4.4,1050000,12,"['-', '-', '8', '-', '-']",0,0,8,0,0,1.6
8,Real Madrid CF,Miguel Gutiérrez,DF,18,6,570000,9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Sergio Santos,DF,0,0,290000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Jesús Vallejo,DF,2,2,330000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Casemiro,MD,190,6.8,12380000,82,"['5', '6', '11', '-', '-']",5,6,11,0,0,4.4
8,Real Madrid CF,Kroos,MD,173,7.5,12780000,67,"['2', '6', '-', '7', '4']",2,6,0,7,4,3.8
8,Real Madrid CF,Modric,MD,134,5.6,11870000,67,"['0', '3', '-', '3', '-']",0,3,0,3,0,1.2
8,Real Madrid CF,Fede Valverde,MD,110,4.1,7460000,52,"['6', '1', '6', '5', '4']",6,1,6,5,4,4.4
8,Real Madrid CF,Camavinga,MD,98,4.5,5470000,30,"['2', '-', '5', '2', '9']",2,0,5,2,9,3.6
8,Real Madrid CF,Isco,MD,49,4.1,1230000,9,"['-', '-', '-', '-', '6']",0,0,0,0,6,1.2
8,Real Madrid CF,Dani Ceballos,MD,20,2.5,1460000,3,"['-', '2', '4', '-', '4']",0,2,4,0,4,2.0
8,Real Madrid CF,Antonio Blanco,MD,4,4,330000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Sergio Arribas,MD,0,0,260000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Benzema,DL,302,10.4,19730000,88,"['-', '11', '6', '12', '2']",0,11,6,12,2,6.2
8,Real Madrid CF,Vinícius Júnior,DL,232,7.5,17870000,85,"['2', '2', '11', '1', '-']",2,2,11,1,0,3.2
8,Real Madrid CF,Asensio,DL,153,5.5,8780000,48,"['3', '4', '3', '3', '11']",3,4,3,3,11,4.8
8,Real Madrid CF,Rodrygo,DL,98,3.5,5510000,36,"['2', '5', '8', '14', '7']",2,5,8,14,7,7.2
8,Real Madrid CF,Eden Hazard,DL,72,4.2,2730000,21,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Jovic,DL,38,2.9,730000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Mariano Díaz,DL,22,3.7,480000,3,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4
8,Real Madrid CF,Bale,DL,20,4,1690000,12,"['-', '-', '4', '-', '-']",0,0,4,0,0,0.8
8,Real Madrid CF,Peter González,DL,4,2,560000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
8,Real Madrid CF,Marvin,DL,0,0,230000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
