Player,Matchs,Goals,Assists
Karim Benzema,3,3,1
Thibaut Courtois,3,0,0
Vinicius Júnior,3,2,1
Aurélien Tchouaméni,3,0,1
Federico Valverde,3,1,0
Antonio Rüdiger,3,0,0
Lucas Vázquez,3,1,0
David Alaba,3,1,1
Éder Militão,2,0,0
Luka Modrić,3,1,1
Ferland Mendy,2,0,0
Toni Kroos,2,0,0
Eduardo Camavinga,3,0,0
Nacho,1,0,0
Dani Carvajal,2,0,0
Eden Hazard,2,0,0
Dani Ceballos,3,0,0
Rodrygo,1,0,1
Marco Asensio,1,0,0
Casemiro,1,0,0
Luis López,0,0,0
Andriy Lunin,0,0,0
Mariano,0,0,0
Álvaro Odriozola,0,0,0
Jesús Vallejo,0,0,0
