Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
11,Real Sociedad de Fútbol,Alex Remiro,PT,17,5.7,5190000,100,"['7', '-1', '11', 0, 0]",7,-1,11,0,0,3.4
11,Real Sociedad de Fútbol,Andoni Zubiaurre,PT,0,0,400000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
11,Real Sociedad de Fútbol,Le Normand,DF,12,4,6380000,100,"['6', '1', '5', 0, 0]",6,1,5,0,0,2.4
11,Real Sociedad de Fútbol,Zubeldia,DF,11,3.7,1700000,100,"['5', '2', '4', 0, 0]",5,2,4,0,0,2.2
11,Real Sociedad de Fútbol,Aritz Elustondo,DF,10,3.3,3910000,67,"['6', '0', '4', 0, 0]",6,0,4,0,0,2.0
11,Real Sociedad de Fútbol,Gorosabel,DF,7,3.5,1810000,33,"['-', '2', '5', 0, 0]",0,2,5,0,0,1.4
11,Real Sociedad de Fútbol,Aihen Muñoz,DF,5,1.7,780000,67,"['2', '-1', '4', 0, 0]",2,-1,4,0,0,1.0
11,Real Sociedad de Fútbol,Diego Rico,DF,3,3,2620000,33,"['3', '-', '-', 0, 0]",3,0,0,0,0,0.6
11,Real Sociedad de Fútbol,Jon Pacheco,DF,2,2,360000,0,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
11,Real Sociedad de Fútbol,Álex Sola,DF,0,0,310000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
11,Real Sociedad de Fútbol,Mikel Merino,MD,18,6,10960000,100,"['11', '6', '1', 0, 0]",11,6,1,0,0,3.6
11,Real Sociedad de Fútbol,Brais Méndez,MD,18,6,7540000,100,"['5', '2', '11', 0, 0]",5,2,11,0,0,3.6
11,Real Sociedad de Fútbol,Zubimendi,MD,17,5.7,4370000,100,"['4', '2', '11', 0, 0]",4,2,11,0,0,3.4
11,Real Sociedad de Fútbol,Kubo,MD,14,4.7,5920000,100,"['6', '4', '4', 0, 0]",6,4,4,0,0,2.8
11,Real Sociedad de Fútbol,Silva,MD,14,4.7,7330000,100,"['9', '3', '2', 0, 0]",9,3,2,0,0,2.8
11,Real Sociedad de Fútbol,Illarramendi,MD,4,2,1350000,0,"['3', '-', '1', 0, 0]",3,0,1,0,0,0.8
11,Real Sociedad de Fútbol,Ander Barrenetxea,MD,3,1.5,870000,0,"['2', '-', '1', 0, 0]",2,0,1,0,0,0.6
11,Real Sociedad de Fútbol,Beñat Turrientes,MD,2,2,390000,0,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4
11,Real Sociedad de Fútbol,Robert Navarro,MD,2,2,380000,0,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4
11,Real Sociedad de Fútbol,Merquelanz,MD,0,0,300000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
11,Real Sociedad de Fútbol,Ander Martín,MD,0,0,210000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
11,Real Sociedad de Fútbol,Guevara,MD,0,0,290000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
11,Real Sociedad de Fútbol,Karrikaburu,DL,10,3.3,1770000,0,"['6', '2', '2', 0, 0]",6,2,2,0,0,2.0
11,Real Sociedad de Fútbol,Ali Cho,DL,6,2,6740000,33,"['0', '2', '4', 0, 0]",0,2,4,0,0,1.2
11,Real Sociedad de Fútbol,Carlos Fernández,DL,0,0,990000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
11,Real Sociedad de Fútbol,Sorloth,DL,0,0,2000000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
11,Real Sociedad de Fútbol,Oyarzabal,DL,0,0,4890000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
