Player,Matchs,Goals,Assists
Robin ,3,0,0
Brais Méndez,3,1,0
Álex Remiro,3,0,0
Martín Zubimendi,3,0,1
Mikel Merino,3,0,1
Igor Zubeldia,3,0,0
Takefusa Kubo,3,1,0
David Silva,3,0,0
Aritz Elustondo,3,0,0
Aihen Muñoz,3,0,0
Alexander Isak,2,1,0
Andoni Gorosabel,2,0,0
Mohamed A,3,0,0
Diego Rico,1,0,0
Jon Karrikaburu,3,0,0
Ander Barrenetxea,2,0,0
Asier Illarramendi,2,0,0
Roberto Navarro,1,0,0
Beñat Turrientes,1,0,0
Jon Pacheco,1,0,0
Urko González,0,0,0
Ander Guevara,0,0,0
Unai Marrero,0,0,0
Ander Martin,0,0,0
Olasagasti,0,0,0
Alex Sola,0,0,0
Andoni Zubiaurre,0,0,0
