Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
14,Real Valladolid CF,Masip,PT,3,3,1400000,33,"['-', '-', '3', 0, 0]",0,0,3,0,0,0.6
14,Real Valladolid CF,Sergio Asenjo,PT,-1,-0.5,1710000,67,"['-1', '0', '-', 0, 0]",-1,0,0,0,0,-0.2
14,Real Valladolid CF,Javi Sánchez,DF,7,3.5,1120000,67,"['6', '1', '-', 0, 0]",6,1,0,0,0,1.4
14,Real Valladolid CF,Jawad El Yamiq,DF,7,3.5,1760000,67,"['-', '5', '2', 0, 0]",0,5,2,0,0,1.4
14,Real Valladolid CF,Joaquín Fernández,DF,5,1.7,1320000,67,"['1', '2', '2', 0, 0]",1,2,2,0,0,1.0
14,Real Valladolid CF,Luis Pérez,DF,4,1.3,1420000,100,"['2', '2', '0', 0, 0]",2,2,0,0,0,0.8
14,Real Valladolid CF,Lucas Olaza,DF,3,1.5,670000,0,"['1', '2', '-', 0, 0]",1,2,0,0,0,0.6
14,Real Valladolid CF,Sergio Escudero,DF,2,0.7,1430000,100,"['1', '2', '-1', 0, 0]",1,2,-1,0,0,0.4
14,Real Valladolid CF,Zouhair Feddal,DF,0,0,1100000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
14,Real Valladolid CF,Anuar,MD,15,7.5,1810000,67,"['-', '14', '1', 0, 0]",0,14,1,0,0,3.0
14,Real Valladolid CF,Iván Sánchez,MD,12,4,2160000,67,"['6', '4', '2', 0, 0]",6,4,2,0,0,2.4
14,Real Valladolid CF,Álvaro Aguado,MD,11,3.7,2690000,100,"['3', '6', '2', 0, 0]",3,6,2,0,0,2.2
14,Real Valladolid CF,Óscar Plano,MD,10,3.3,1490000,0,"['2', '2', '6', 0, 0]",2,2,6,0,0,2.0
14,Real Valladolid CF,Kike Pérez,MD,9,3,1450000,67,"['6', '2', '1', 0, 0]",6,2,1,0,0,1.8
14,Real Valladolid CF,Monchu,MD,8,2.7,1180000,67,"['4', '2', '2', 0, 0]",4,2,2,0,0,1.6
14,Real Valladolid CF,Roque Mesa,MD,6,2,2530000,67,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2
14,Real Valladolid CF,Toni Villa,MD,3,1.5,1360000,33,"['1', '-', '2', 0, 0]",1,0,2,0,0,0.6
14,Real Valladolid CF,Gonzalo Plata,MD,2,2,3860000,33,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
14,Real Valladolid CF,Mickael Malsa,MD,0,0,850000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
14,Real Valladolid CF,Hugo Vallejo,MD,0,0,280000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
14,Real Valladolid CF,Sergio León,DL,8,2.7,2140000,33,"['2', '5', '1', 0, 0]",2,5,1,0,0,1.6
14,Real Valladolid CF,Sergi Guardiola,DL,4,2,3660000,67,"['-', '2', '2', 0, 0]",0,2,2,0,0,0.8
14,Real Valladolid CF,Roberto Arroyo,DL,2,2,160000,0,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
14,Real Valladolid CF,Shon Weissman,DL,0,0,3580000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
