Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
20,Sevilla FC,Bono,PT,7,2.3,6090000,100,"['2', '3', '2', 0, 0]",2,3,2,0,0,1.4
20,Sevilla FC,Dmitrovic,PT,0,0,530000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
20,Sevilla FC,Rekik,DF,15,5,2960000,100,"['1', '12', '2', 0, 0]",1,12,2,0,0,3.0
20,Sevilla FC,Álex Telles,DF,10,3.3,2390000,33,"['2', '1', '7', 0, 0]",2,1,7,0,0,2.0
20,Sevilla FC,Marcos Acuña,DF,8,4,6290000,67,"['4', '4', '-', 0, 0]",4,4,0,0,0,1.6
20,Sevilla FC,Nianzou,DF,8,4,3660000,67,"['-', '4', '4', 0, 0]",0,4,4,0,0,1.6
20,Sevilla FC,Gonzalo Montiel,DF,2,2,940000,33,"['-', '2', '-', 0, 0]",0,2,0,0,0,0.4
20,Sevilla FC,José Ángel Carmona,DF,2,2,330000,0,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
20,Sevilla FC,Jesús Navas,DF,1,0.5,5250000,67,"['1', '-', '0', 0, 0]",1,0,0,0,0,0.2
20,Sevilla FC,Marcão,DF,0,0,4640000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
20,Sevilla FC,Fernando Reges,MD,16,5.3,6130000,100,"['7', '5', '4', 0, 0]",7,5,4,0,0,3.2
20,Sevilla FC,Papu Gómez,MD,16,5.3,6150000,100,"['6', '5', '5', 0, 0]",6,5,5,0,0,3.2
20,Sevilla FC,Óliver Torres,MD,14,7,920000,67,"['-', '6', '8', 0, 0]",0,6,8,0,0,2.8
20,Sevilla FC,Delaney,MD,8,4,2320000,33,"['5', '-', '3', 0, 0]",5,0,3,0,0,1.6
20,Sevilla FC,Joan Jordan,MD,7,3.5,4940000,67,"['-', '2', '5', 0, 0]",0,2,5,0,0,1.4
20,Sevilla FC,Isco,MD,7,3.5,9380000,0,"['-', '4', '3', 0, 0]",0,4,3,0,0,1.4
20,Sevilla FC,Gudelj,MD,4,4,850000,33,"['2', '2', '-', 0, 0]",2,2,0,0,0,0.8
20,Sevilla FC,Rakitic,MD,4,2,5200000,0,"['4', '-', '-', 0, 0]",4,0,0,0,0,0.8
20,Sevilla FC,Pedro Ortiz,MD,0,0,220000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
20,Sevilla FC,Erik Lamela,DL,11,3.7,5740000,67,"['9', '-1', '3', 0, 0]",9,-1,3,0,0,2.2
20,Sevilla FC,Rafa Mir,DL,11,3.7,7950000,100,"['2', '8', '1', 0, 0]",2,8,1,0,0,2.2
20,Sevilla FC,Ocampos,DL,8,2.7,8450000,33,"['5', '1', '2', 0, 0]",5,1,2,0,0,1.6
20,Sevilla FC,En-Nesyri,DL,6,2,7490000,0,"['2', '2', '2', 0, 0]",2,2,2,0,0,1.2
20,Sevilla FC,Iván Romero,DL,2,2,270000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
20,Sevilla FC,Jesús Corona,DL,2,2,5480000,33,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
20,Sevilla FC,Munir El Haddadi,DL,0,0,1380000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
20,Sevilla FC,Suso,DL,0,0,1740000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
