Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
20,Sevilla FC,Bono,PT,146,5.4,4610000,82,"['-', '8', '3', '0', '4']",0,8,3,0,4,3.0
20,Sevilla FC,Dmitrovic,PT,28,5.6,980000,15,"['9', '-', '-', '-', '-']",9,0,0,0,0,1.8
20,Sevilla FC,Javi Díaz,PT,2,2,220000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Diego Carlos,DF,163,5.6,7530000,88,"['-', '7', '14', '2', '2']",0,7,14,2,2,5.0
20,Sevilla FC,Marcos Acuña,DF,140,5.4,5750000,64,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8
20,Sevilla FC,Kounde,DF,134,5,7320000,79,"['8', '6', '7', '4', '11']",8,6,7,4,11,7.2
20,Sevilla FC,Jesús Navas,DF,96,4.8,6600000,48,"['6', '2', '6', '1', '2']",6,2,6,1,2,3.4
20,Sevilla FC,Gonzalo Montiel,DF,63,3.9,1530000,39,"['2', '2', '-', '-', '2']",2,2,0,0,2,1.2
20,Sevilla FC,Augustinsson,DF,60,3.2,780000,27,"['7', '4', '4', '3', '1']",7,4,4,3,1,3.8
20,Sevilla FC,Rekik,DF,54,3.4,920000,33,"['-', '2', '-', '-', '-']",0,2,0,0,0,0.4
20,Sevilla FC,José Ángel Carmona,DF,3,3,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Rakitic,MD,175,5.8,8200000,70,"['5', '1', '11', '10', '10']",5,1,11,10,10,7.4
20,Sevilla FC,Joan Jordan,MD,131,4.1,5410000,82,"['2', '5', '6', '2', '4']",2,5,6,2,4,3.8
20,Sevilla FC,Papu Gómez,MD,115,4.8,4580000,45,"['-', '-', '11', '2', '4']",0,0,11,2,4,3.4
20,Sevilla FC,Fernando Reges,MD,104,4.3,3630000,64,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Delaney,MD,92,4.4,2940000,36,"['6', '-', '-', '-', '4']",6,0,0,0,4,2.0
20,Sevilla FC,Óliver Torres,MD,77,3.5,1570000,30,"['7', '-', '6', '2', '1']",7,0,6,2,1,3.2
20,Sevilla FC,Gudelj,MD,66,3.7,930000,21,"['8', '4', '2', '2', '-']",8,4,2,2,0,3.2
20,Sevilla FC,Pedro Ortiz,MD,5,5,260000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Luismi Cruz,MD,3,3,320000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Juanlu Sánchez,MD,2,2,320000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Rafa Mir,DL,126,4.2,6360000,52,"['-', '2', '9', '-1', '4']",0,2,9,-1,4,2.8
20,Sevilla FC,Ocampos,DL,119,4.6,7010000,64,"['1', '0', '10', '2', '12']",1,0,10,2,12,5.0
20,Sevilla FC,Erik Lamela,DL,88,5.5,5910000,21,"['5', '2', '4', '8', '-']",5,2,4,8,0,3.8
20,Sevilla FC,En-Nesyri,DL,62,3.4,5220000,33,"['2', '2', '2', '-', '2']",2,2,2,0,2,1.6
20,Sevilla FC,Jesús Corona,DL,62,4.8,7790000,27,"['2', '2', '8', '5', '16']",2,2,8,5,16,6.6
20,Sevilla FC,Munir El Haddadi,DL,54,3.4,1020000,12,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4
20,Sevilla FC,Suso,DL,27,3.4,940000,18,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
20,Sevilla FC,Martial,DL,18,2.3,8320000,21,"['2', '1', '1', '2', '-']",2,1,1,2,0,1.2
20,Sevilla FC,Iván Romero,DL,5,1.7,280000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
