Player,Matchs,Goals,Assists
Yassine Bounou,3,0,0
Fernando,3,0,0
Karim Rekik,3,1,0
Papu Gómez,3,0,1
Rafa Mir,3,1,0
Érik Lamela,3,0,0
Tanguy Nianzou,2,0,0
Marcos Acuña,2,0,0
Jesús Navas,2,0,0
Óliver Torres,2,1,0
Joan Jordán,2,0,0
Lucas Ocampos,3,0,0
Alex Telles,3,0,1
Thomas Delaney,2,0,0
Nemanja Gudelj,1,0,0
Gonzalo Montiel,1,0,0
Jesús Corona,1,0,0
Youssef En-Nesyri,3,0,0
Isco,2,0,0
Carmona,1,0,0
Ivan Rakitić,2,0,0
Iván Romero,1,0,0
Marko Dmitrović,0,0,0
Munir ,0,0,0
Alberto López,0,0,0
Marcão,0,0,0
Suso,0,0,0
Enrique Valiente,0,0,0
