Player,Matchs,Goals,Assists
Sergio Akieme,3,0,0
Srđan Babić,3,0,0
Samu Costa,3,0,0
Rodrigo Ely,3,0,0
Fernando,3,0,0
Kaiky,3,0,0
Umar Sadiq,3,2,0
Largie Ramazani,3,2,0
Íñigo Eguaras,3,0,1
Lucas Robertone,3,0,1
Juan Brandáriz,3,0,0
Arnau Puigmal,2,0,0
Alejandro Po,1,0,1
César ,1,0,0
Curro,2,0,0
Dyego Sousa,2,0,0
Léo Baptistão,2,0,0
José Carl,1,0,0
Houboulang Mendes,1,0,0
Francisco Portillo,2,0,0
Álex Centelles,0,0,0
Arvin Appiahe,0,0,0
Diego Fuoli,0,0,0
Marko Milovanović,0,0,0
Carlos Humber,0,0,0
Fernando Pacheco,0,0,0
