Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
15,Valencia CF,Mamardashvili,PT,74,4.9,2070000,45,"['8', '7', '4', '1', '-']",8,7,4,1,0,4.0
15,Valencia CF,Cillessen,PT,59,3.7,1010000,48,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
15,Valencia CF,Jaume Doménech,PT,4,1.3,300000,6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
15,Valencia CF,Omar Alderete,DF,108,4.3,2830000,73,"['6', '4', '4', '-', '-']",6,4,4,0,0,2.8
15,Valencia CF,Gabriel Paulista,DF,93,5.8,5250000,48,"['-', '7', '5', '-', '-']",0,7,5,0,0,2.4
15,Valencia CF,Gayà,DF,89,4.2,4250000,58,"['-', '2', '2', '2', '2']",0,2,2,2,2,1.6
15,Valencia CF,Foulquier,DF,77,3,1300000,70,"['4', '-', '2', '4', '-']",4,0,2,4,0,2.0
15,Valencia CF,Diakhaby,DF,75,3,1080000,52,"['3', '5', '-', '6', '-']",3,5,0,6,0,2.8
15,Valencia CF,Thierry Correia,DF,51,3.6,1390000,39,"['-', '3', '1', '-', '5']",0,3,1,0,5,1.8
15,Valencia CF,Jesús Vázquez,DF,36,3.3,730000,18,"['7', '5', '2', '2', '5']",7,5,2,2,5,4.2
15,Valencia CF,Lato,DF,29,2.6,440000,21,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
15,Valencia CF,Cömert,DF,11,1.6,1240000,12,"['-', '-', '2', '-', '0']",0,0,2,0,0,0.4
15,Valencia CF,Cristhian Mosquera,DF,7,1.2,360000,9,"['-', '-', '-', '2', '2']",0,0,0,2,2,0.8
15,Valencia CF,Rubén Iranzo,DF,3,1,230000,3,"['-', '-', '-', '-', '1']",0,0,0,0,1,0.2
15,Valencia CF,Carlos Soler,MD,182,6.7,12170000,70,"['6', '5', '12', '7', '2']",6,5,12,7,2,6.4
15,Valencia CF,Guillamón,MD,85,2.9,2100000,82,"['6', '6', '4', '5', '-']",6,6,4,5,0,4.2
15,Valencia CF,Yunus Musah,MD,60,2.5,850000,36,"['2', '-', '3', '-', '1']",2,0,3,0,1,1.2
15,Valencia CF,Racic,MD,58,2.5,740000,30,"['2', '-', '0', '5', '6']",2,0,0,5,6,2.6
15,Valencia CF,Hélder Costa,MD,43,2,660000,39,"['2', '3', '-', '1', '2']",2,3,0,1,2,1.6
15,Valencia CF,Denis Cheryshev,MD,41,2.9,690000,15,"['2', '1', '-', '2', '2']",2,1,0,2,2,1.4
15,Valencia CF,Bryan Gil,MD,33,3.7,6190000,21,"['3', '4', '-', '3', '-']",3,4,0,3,0,2.0
15,Valencia CF,Ilaix Moriba,MD,23,2.3,2450000,15,"['5', '2', '1', '5', '3']",5,2,1,5,3,3.2
15,Valencia CF,Koba,MD,21,2.1,340000,3,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
15,Valencia CF,Jesús Santiago,MD,2,2,230000,0,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
15,Valencia CF,Guedes,DL,208,6.7,13770000,88,"['7', '4', '5', '7', '-']",7,4,5,7,0,4.6
15,Valencia CF,Hugo Duro,DL,107,3.7,4630000,61,"['2', '2', '0', '2', '-']",2,2,0,2,0,1.2
15,Valencia CF,Maxi Gómez,DL,95,4,3400000,55,"['3', '6', '-', '-', '-']",3,6,0,0,0,1.8
15,Valencia CF,Marcos André,DL,83,3.1,1100000,18,"['-', '-', '2', '2', '3']",0,0,2,2,3,1.4
