Player,Matchs,Goals,Assists
Mouctar Diakhaby,3,0,0
Giorgi Mamardashvili,3,0,0
Samuel,3,0,0
Carlos Soler,3,1,0
Yunus Musah,3,0,0
Samu Castillejo,3,0,0
Thierry Correia,3,0,0
Hugo Guillamón,3,0,0
Eray Cömert,2,0,0
Jesus Vazquez,2,0,0
Hugo Duro,2,0,0
Toni Lato,3,0,0
Gabriel Paulista,1,0,0
Maranhão,2,0,0
Maxi Gómez,3,0,0
Nicolás González,3,0,0
Dimitri Foulquier,3,0,0
Cristhian Mosquera,1,0,0
Francisco Perez,1,0,0
Diego Noguerol,1,0,0
Domingos And,0,0,0
Cristian,0,0,0
Jaume Doménech,0,0,0
Koba Koindredi,0,0,0
Cenk Özkacar,0,0,0
Charlie Perez,0,0,0
Uroš Račić,0,0,0
Manu Vallejo,0,0,0
