Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
14,Villarreal CF,Rulli,PT,16,89,0,0,86,5.4,"['0', '4', '12', '4', '-']",0,4,12,4,0,4.0,4140000
14,Villarreal CF,Sergio Asenjo,PT,2,11,0,0,2,1,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1170000
14,Villarreal CF,Pau Torres,DF,15,83,1,0,75,5,"['3', '4', '8', '4', '-']",3,4,8,4,0,3.8,6100000
14,Villarreal CF,Alberto Moreno,DF,16,39,2,1,72,4.5,"['-', '2', '2', '9', '-']",0,2,2,9,0,2.6,2510000
14,Villarreal CF,Albiol,DF,13,72,0,0,64,4.9,"['3', '6', '-', '2', '-']",3,6,0,2,0,2.2,4060000
14,Villarreal CF,Juan Foyth,DF,13,72,0,0,59,4.5,"['-1', '3', '-', '7', '-']",-1,3,0,7,0,1.8,3790000
14,Villarreal CF,Estupiñán,DF,14,44,0,0,44,3.1,"['-4', '6', '-', '1', '-']",-4,6,0,1,0,0.6,2120000
14,Villarreal CF,Aïssa Mandi,DF,8,44,1,0,42,5.3,"['-', '-', '16', '-', '-']",0,0,16,0,0,3.2,1830000
14,Villarreal CF,Alfonso Pedraza,DF,12,44,0,2,42,3.5,"['0', '2', '5', '3', '-']",0,2,5,3,0,2.0,1790000
14,Villarreal CF,Aurier,DF,5,11,0,1,17,3.4,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1690000
14,Villarreal CF,Rubén Peña,DF,6,6,0,0,14,2.3,"['-', '-', '5', '-', '-']",0,0,5,0,0,1.0,500000
14,Villarreal CF,Mario Gaspar,DF,5,17,0,0,14,2.8,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,750000
14,Villarreal CF,Parejo,MD,15,78,0,6,105,7,"['7', '5', '7', '8', '-']",7,5,7,8,0,5.4,14490000
14,Villarreal CF,Yéremi Pino,MD,17,72,2,3,79,4.6,"['1', '3', '5', '5', '-']",1,3,5,5,0,2.8,6710000
14,Villarreal CF,Trigueros,MD,17,78,3,1,75,4.4,"['5', '5', '5', '2', '-']",5,5,5,2,0,3.4,5860000
14,Villarreal CF,Raba,MD,4,0,0,0,13,3.3,"['2', '-', '-', '-', '-']",2,0,0,0,0,0.4,600000
14,Villarreal CF,Capoue,MD,16,83,0,0,72,4.5,"['3', '4', '4', '4', '-']",3,4,4,4,0,3.0,4450000
14,Villarreal CF,Coquelin,MD,13,33,1,1,64,4.9,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,3550000
14,Villarreal CF,Moi Gómez,MD,15,28,0,1,46,3.1,"['3', '3', '4', '4', '-']",3,3,4,4,0,2.8,2440000
14,Villarreal CF,Samu Chukwueze,MD,11,6,2,0,44,4,"['9', '2', '2', '9', '-']",9,2,2,9,0,4.4,3820000
14,Villarreal CF,Iborra,MD,6,17,0,0,7,1.2,"['-', '-', '4', '-', '-']",0,0,4,0,0,0.8,790000
14,Villarreal CF,Gerard Moreno,DL,9,44,6,1,78,8.7,"['-', '2', '12', '20', '-']",0,2,12,20,0,6.8,18810000
14,Villarreal CF,Boulaye Dia,DL,14,44,3,3,70,5,"['-', '2', '3', '2', '-']",0,2,3,2,0,1.4,5640000
14,Villarreal CF,Alcácer,DL,9,28,0,2,30,3.3,"['-', '4', '2', '-', '-']",0,4,2,0,0,1.2,3060000
