Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_3,J_2,J_1,J_0,J_-1,Avg_last_5_games
12,Villarreal CF,Rulli,PT,31,10.3,4610000,100,"['12', '11', '8', 0, 0]",12,11,8,0,0,6.2
12,Villarreal CF,Pepe Reina,PT,0,0,980000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
12,Villarreal CF,Alfonso Pedraza,DF,18,6,3770000,100,"['4', '8', '6', 0, 0]",4,8,6,0,0,3.6
12,Villarreal CF,Pau Torres,DF,17,5.7,7870000,100,"['3', '7', '7', 0, 0]",3,7,7,0,0,3.4
12,Villarreal CF,Albiol,DF,15,5,4480000,100,"['3', '10', '2', 0, 0]",3,10,2,0,0,3.0
12,Villarreal CF,Juan Foyth,DF,15,5,5410000,100,"['4', '7', '4', 0, 0]",4,7,4,0,0,3.0
12,Villarreal CF,Kiko Femenía,DF,2,2,1180000,0,"['-', '-', '2', 0, 0]",0,0,2,0,0,0.4
12,Villarreal CF,Aïssa Mandi,DF,2,2,970000,0,"['2', '-', '-', 0, 0]",2,0,0,0,0,0.4
12,Villarreal CF,Jorge Cuenca,DF,0,0,1040000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
12,Villarreal CF,Álex Baena,MD,25,8.3,3840000,0,"['19', '4', '2', 0, 0]",19,4,2,0,0,5.0
12,Villarreal CF,Parejo,MD,21,7,16620000,100,"['10', '8', '3', 0, 0]",10,8,3,0,0,4.2
12,Villarreal CF,Yéremi Pino,MD,16,5.3,8750000,100,"['7', '8', '1', 0, 0]",7,8,1,0,0,3.2
12,Villarreal CF,Capoue,MD,14,4.7,5410000,100,"['5', '4', '5', 0, 0]",5,4,5,0,0,2.8
12,Villarreal CF,Samu Chukwueze,MD,11,3.7,3410000,0,"['5', '2', '4', 0, 0]",5,2,4,0,0,2.2
12,Villarreal CF,Lo Celso,MD,9,4.5,9380000,67,"['-', '3', '6', 0, 0]",0,3,6,0,0,1.8
12,Villarreal CF,Coquelin,MD,9,3,3590000,33,"['6', '2', '1', 0, 0]",6,2,1,0,0,1.8
12,Villarreal CF,Morlanes,MD,0,0,710000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
12,Villarreal CF,Alberto Moreno,MD,0,0,920000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
12,Villarreal CF,Carlo Adriano,MD,0,0,330000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
12,Villarreal CF,Trigueros,MD,0,0,2810000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
12,Villarreal CF,Nicolas Jackson,DL,14,4.7,4480000,67,"['10', '2', '2', 0, 0]",10,2,2,0,0,2.8
12,Villarreal CF,Gerard Moreno,DL,13,4.3,19120000,100,"['2', '6', '5', 0, 0]",2,6,5,0,0,2.6
12,Villarreal CF,Morales,DL,7,2.3,7220000,33,"['2', '2', '3', 0, 0]",2,2,3,0,0,1.4
12,Villarreal CF,Danjuma,DL,0,0,7860000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
12,Villarreal CF,Fernando Niño,DL,0,0,930000,0,"['-', '-', '-', 0, 0]",0,0,0,0,0,0.0
