Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
14,Villarreal CF,Rulli,PT,147,5.3,4220000,85,"['-', '1', '-', '6', '6']",0,1,0,6,6,2.6
14,Villarreal CF,Sergio Asenjo,PT,22,4.4,1210000,15,"['9', '-', '7', '-', '-']",9,0,7,0,0,3.2
14,Villarreal CF,Pau Torres,DF,164,5.9,7310000,85,"['6', '2', '-', '7', '-']",6,2,0,7,0,3.0
14,Villarreal CF,Alberto Moreno,DF,111,4.6,3140000,39,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
14,Villarreal CF,Albiol,DF,109,4.5,2890000,73,"['-', '4', '-', '-', '6']",0,4,0,0,6,2.0
14,Villarreal CF,Juan Foyth,DF,100,4.8,2920000,58,"['2', '2', '15', '5', '-']",2,2,15,5,0,4.8
14,Villarreal CF,Alfonso Pedraza,DF,100,4.3,2670000,48,"['-', '9', '1', '-', '8']",0,9,1,0,8,3.6
14,Villarreal CF,Aïssa Mandi,DF,77,5.1,1470000,39,"['4', '-', '8', '3', '6']",4,0,8,3,6,4.2
14,Villarreal CF,Estupiñán,DF,76,3.2,1700000,45,"['-', '-4', '-', '-', '5']",0,-4,0,0,5,0.2
14,Villarreal CF,Aurier,DF,55,3.4,1620000,27,"['-', '2', '7', '4', '0']",0,2,7,4,0,2.6
14,Villarreal CF,Mario Gaspar,DF,25,2.8,470000,18,"['4', '-', '3', '-', '-']",4,0,3,0,0,1.4
14,Villarreal CF,Rubén Peña,DF,14,2.3,330000,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
14,Villarreal CF,Parejo,MD,199,7.1,13600000,82,"['5', '5', '-', '6', '9']",5,5,0,6,9,5.0
14,Villarreal CF,Trigueros,MD,148,4.9,6080000,73,"['-', '3', '4', '10', '1']",0,3,4,10,1,3.6
14,Villarreal CF,Yéremi Pino,MD,147,4.7,6630000,64,"['3', '5', '2', '2', '1']",3,5,2,2,1,2.6
14,Villarreal CF,Danjuma,MD,140,6.1,10130000,52,"['3', '3', '4', '5', '17']",3,3,4,5,17,6.4
14,Villarreal CF,Capoue,MD,121,4.8,4110000,67,"['2', '3', '-', '5', '6']",2,3,0,5,6,3.2
14,Villarreal CF,Moi Gómez,MD,88,3.3,1920000,33,"['2', '-', '4', '2', '6']",2,0,4,2,6,2.8
14,Villarreal CF,Samu Chukwueze,MD,84,3.8,3400000,24,"['1', '-', '5', '3', '1']",1,0,5,3,1,2.0
14,Villarreal CF,Coquelin,MD,76,4.2,1710000,18,"['3', '3', '2', '-', '-']",3,3,2,0,0,1.6
14,Villarreal CF,Lo Celso,MD,53,4.8,11690000,21,"['7', '1', '2', '2', '6']",7,1,2,2,6,3.6
14,Villarreal CF,Iborra,MD,44,2.4,940000,33,"['4', '-', '2', '6', '2']",4,0,2,6,2,2.8
14,Villarreal CF,Carlo Adriano,MD,2,2,280000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
14,Villarreal CF,Gerard Moreno,DL,128,7.5,15340000,42,"['2', '2', '3', '15', '-']",2,2,3,15,0,4.4
14,Villarreal CF,Boulaye Dia,DL,105,5,2520000,30,"['2', '-', '-', '-', '2']",2,0,0,0,2,0.8
14,Villarreal CF,Alcácer,DL,45,3.5,1900000,24,"['-', '2', '5', '5', '-']",0,2,5,5,0,2.4
14,Villarreal CF,Nicolas Jackson,DL,11,3.7,380000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
