Team_id,Team,Player,Position,Matchs,On_start_%,Goals,Assists,Total_Points,Points_Average,Last_5_games_points,J_15,J_16,J_17,J_18,J_19,Avg_last_5_games,Value
1,Athletic Club,Unai Simón,PT,15,79,0,0,79,5.3,"['0', '10', '1', '-', '-']",0,10,1,0,0,2.2,4310000
1,Athletic Club,Agirrezabala,PT,4,21,0,0,20,5,"['-', '-', '-', '6', '4']",0,0,0,6,4,2.0,450000
1,Athletic Club,Ezkieta,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,220000
1,Athletic Club,Iñigo Martínez,DF,14,74,2,0,78,5.6,"['-3', '8', '6', '-', '-']",-3,8,6,0,0,2.2,6600000
1,Athletic Club,Lekue,DF,19,89,0,2,75,3.9,"['3', '8', '1', '3', '2']",3,8,1,3,2,3.4,2760000
1,Athletic Club,Balenziaga,DF,15,79,0,0,51,3.4,"['0', '-', '5', '2', '0']",0,0,5,2,0,1.4,1970000
1,Athletic Club,Daniel Vivian,DF,9,47,1,0,50,5.6,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,2430000
1,Athletic Club,Dani García,MD,18,84,0,0,46,2.6,"['1', '5', '4', '-', '2']",1,5,4,0,2,2.4,1800000
1,Athletic Club,Yeray Álvarez,DF,10,53,0,0,46,4.6,"['-', '5', '-', '13', '4']",0,5,0,13,4,4.4,3630000
1,Athletic Club,Unai Núñez,DF,7,26,0,0,21,3,"['-', '-', '-', '5', '-1']",0,0,0,5,-1,0.8,860000
1,Athletic Club,Álex Petxarroman,DF,4,0,0,0,9,2.3,"['2', '2', '4', '-', '-']",2,2,4,0,0,1.6,450000
1,Athletic Club,Unai Vencedor,MD,18,89,0,0,70,3.9,"['4', '4', '5', '6', '4']",4,4,5,6,4,4.6,3490000
1,Athletic Club,Capa,DF,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,930000
1,Athletic Club,Muniain,MD,18,95,2,5,121,6.7,"['9', '-', '0', '7', '6']",9,0,0,7,6,4.4,9700000
1,Athletic Club,Nico Williams,MD,19,32,0,0,46,2.4,"['2', '5', '2', '4', '0']",2,5,2,4,0,2.6,3290000
1,Athletic Club,Álex Berenguer,MD,17,58,0,1,43,2.5,"['-', '2', '2', '3', '-']",0,2,2,3,0,1.4,4290000
1,Athletic Club,Zarraga,MD,15,21,0,0,33,2.2,"['3', '3', '2', '1', '1']",3,3,2,1,1,2.0,930000
1,Athletic Club,Mikel Vesga,MD,14,21,0,0,27,1.9,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,770000
1,Athletic Club,Jon Morcillo,MD,7,0,0,0,10,1.4,"['-', '-', '-', '2', '-']",0,0,0,2,0,0.4,490000
1,Athletic Club,Williams,DL,19,89,5,1,100,5.3,"['2', '4', '4', '16', '3']",2,4,4,16,3,5.8,10310000
1,Athletic Club,Raúl García,DL,18,68,3,0,78,4.3,"['11', '4', '2', '2', '5']",11,4,2,2,5,4.8,5700000
1,Athletic Club,Sancet,DL,15,37,1,3,61,4.1,"['0', '4', '2', '11', '8']",0,4,2,11,8,5.0,2350000
1,Athletic Club,Villalibre,DL,7,5,0,0,16,2.3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,1060000
2,Club Atlético de Madrid,Oblak,PT,18,100,0,0,50,2.8,"['1', '1', '0', '0', '-']",1,1,0,0,0,0.4,5140000
2,Club Atlético de Madrid,Lecomte,PT,0,0,0,0,0,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,270000
2,Club Atlético de Madrid,Mario Hermoso,DF,17,83,0,1,55,3.2,"['2', '2', '2', '2', '-']",2,2,2,2,0,1.6,3340000
2,Club Atlético de Madrid,Felipe,DF,11,50,2,1,53,4.8,"['2', '5', '1', '12', '-']",2,5,1,12,0,4.0,3060000
2,Club Atlético de Madrid,Trippier,DF,14,61,0,0,50,3.6,"['-', '-', '-', '6', '-']",0,0,0,6,0,1.2,3830000
2,Club Atlético de Madrid,Renan Lodi,DF,14,22,0,0,35,2.5,"['-', '6', '3', '-', '-']",0,6,3,0,0,1.8,1820000
2,Club Atlético de Madrid,Vrsaljko,DF,6,6,1,1,28,4.7,"['-', '1', '-', '-', '-']",0,1,0,0,0,0.2,1250000
2,Club Atlético de Madrid,Rodrigo de Paul,MD,17,61,0,1,85,5,"['8', '5', '6', '4', '-']",8,5,6,4,0,4.6,8890000
2,Club Atlético de Madrid,Lemar,MD,12,50,3,4,74,6.2,"['14', '2', '4', '9', '-']",14,2,4,9,0,5.8,7300000
2,Club Atlético de Madrid,Koke,MD,15,83,0,0,64,4.3,"['3', '8', '4', '6', '-']",3,8,4,6,0,4.2,6970000
2,Club Atlético de Madrid,Kondogbia,MD,13,44,0,0,58,4.5,"['-', '6', '4', '4', '-']",0,6,4,4,0,2.8,3740000
2,Club Atlético de Madrid,Marcos Llorente,MD,13,72,0,1,53,4.1,"['7', '4', '4', '1', '-']",7,4,4,1,0,3.2,10750000
2,Club Atlético de Madrid,Héctor Herrera,MD,9,11,0,0,38,4.2,"['-', '-', '5', '-', '-']",0,0,5,0,0,1.0,990000
2,Club Atlético de Madrid,Carlos Martín,MD,1,0,0,0,3,3,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0,330000
2,Club Atlético de Madrid,Correa,DL,18,67,4,4,91,5.1,"['1', '2', '2', '2', '-']",1,2,2,2,0,1.4,9810000
2,Club Atlético de Madrid,Luis Suárez,DL,18,67,7,1,90,5,"['10', '6', '2', '3', '-']",10,6,2,3,0,4.2,15000000
2,Club Atlético de Madrid,Griezmann,DL,13,83,3,1,84,5.3,"['15', '5', '3', '-', '-']",15,5,3,0,0,4.6,17250000
