Team_id,Team,Player,Position,Total_Points,Points_Average,Value,On_start_%,Last_5_games_points,J_29,J_30,J_31,J_32,J_33,Avg_last_5_games
1,Athletic Club,Unai Simón,PT,130,4.5,3370000,88,"['2', '2', '5', '1', '7']",2,2,5,1,7,3.4
1,Athletic Club,Agirrezabala,PT,20,5,360000,12,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
1,Athletic Club,Ezkieta,PT,0,0,180000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
1,Athletic Club,Iñigo Martínez,DF,117,5.3,5540000,64,"['-', '-', '-', '-', '2']",0,0,0,0,2,0.4
1,Athletic Club,Daniel Vivian,DF,108,5.1,3410000,61,"['6', '2', '3', '4', '1']",6,2,3,4,1,3.2
1,Athletic Club,De Marcos,DF,85,4.7,1530000,45,"['2', '3', '3', '-', '4']",2,3,3,0,4,2.4
1,Athletic Club,Yeray Álvarez,DF,84,4.4,2850000,55,"['4', '-', '3', '3', '2']",4,0,3,3,2,2.4
1,Athletic Club,Lekue,DF,82,3.6,1330000,64,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
1,Athletic Club,Balenziaga,DF,79,3.2,1140000,70,"['-', '-', '6', '-', '2']",0,0,6,0,2,1.6
1,Athletic Club,Yuri Berchiche,DF,51,5.7,4510000,18,"['13', '8', '-', '1', '5']",13,8,0,1,5,5.4
1,Athletic Club,Álex Petxarroman,DF,25,1.8,500000,3,"['2', '3', '4', '0', '2']",2,3,4,0,2,2.2
1,Athletic Club,Unai Núñez,DF,24,2.7,490000,21,"['-', '4', '-', '-', '-']",0,4,0,0,0,0.8
1,Athletic Club,Capa,DF,0,0,550000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
1,Athletic Club,Muniain,MD,211,7,10750000,88,"['8', '4', '9', '4', '15']",8,4,9,4,15,8.0
1,Athletic Club,Álex Berenguer,MD,118,4.1,4400000,67,"['8', '13', '2', '4', '-']",8,13,2,4,0,5.4
1,Athletic Club,Unai Vencedor,MD,94,3.2,2120000,79,"['1', '3', '3', '5', '2']",1,3,3,5,2,2.8
1,Athletic Club,Mikel Vesga,MD,76,2.7,1250000,42,"['5', '4', '1', '3', '2']",5,4,1,3,2,3.0
1,Athletic Club,Dani García,MD,73,2.7,1040000,70,"['-', '-', '2', '-', '2']",0,0,2,0,2,0.8
1,Athletic Club,Nico Williams,MD,69,2.3,3880000,21,"['1', '2', '2', '2', '2']",1,2,2,2,2,1.8
1,Athletic Club,Zarraga,MD,67,2.6,940000,24,"['-', '2', '2', '2', '2']",0,2,2,2,2,1.6
1,Athletic Club,Nico Serrano,MD,39,3,520000,9,"['1', '-', '-', '4', '-']",1,0,0,4,0,1.0
1,Athletic Club,Williams,DL,163,4.9,9750000,85,"['5', '6', '4', '4', '3']",5,6,4,4,3,4.4
1,Athletic Club,Raúl García,DL,140,4.7,4550000,61,"['2', '5', '9', '5', '10']",2,5,9,5,10,6.2
1,Athletic Club,Sancet,DL,128,4.7,4570000,48,"['2', '6', '2', '2', '-']",2,6,2,2,0,2.4
1,Athletic Club,Villalibre,DL,41,2.7,800000,6,"['4', '10', '-', '2', '-']",4,10,0,2,0,3.2
2,Club Atlético de Madrid,Oblak,PT,107,3.2,3930000,100,"['8', '1', '4', '3', '7']",8,1,4,3,7,4.6
2,Club Atlético de Madrid,Lecomte,PT,0,0,250000,0,"['-', '-', '-', '-', '-']",0,0,0,0,0,0.0
2,Club Atlético de Madrid,Savic,DF,103,4.3,4280000,73,"['6', '2', '4', '1', '6']",6,2,4,1,6,3.8
2,Club Atlético de Madrid,Mario Hermoso,DF,96,3.8,2250000,61,"['-', '-', '-', '-', '9']",0,0,0,0,9,1.8
2,Club Atlético de Madrid,José Giménez,DF,95,4.8,3250000,61,"['5', '4', '-', '-', '-']",5,4,0,0,0,1.8
